1	My	_	PRP$	PRP$	_	2	poss	_	_
2	boyfriend	_	NN	NN	_	6	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	just	_	RB	RB	_	6	advmod	_	_
6	stayed	_	VBD	VBD	_	0	root	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	this	_	DT	DT	_	9	det	_	_
9	hotel	_	NN	NN	_	7	pobj	_	_
10	last	_	JJ	JJ	_	11	amod	_	_
11	weekend	_	NN	NN	_	6	dobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	6	cc	_	_
14	can	_	MD	MD	_	16	aux	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	tell	_	VB	VB	_	6	conj	_	_
17	you	_	PRP	PRP	_	16	dobj	_	_
18	what	_	WP	WP	_	21	dobj	_	_
19	a	_	DT	DT	_	20	det	_	_
20	pleasent	_	NN	NN	_	21	nsubj	_	_
21	surprise	_	VB	VB	_	16	dep	_	_
22	it	_	PRP	PRP	_	23	nsubj	_	_
23	was	_	VBD	VBD	_	21	ccomp	_	_
24	.	_	.	.	_	0	erased	_	_

1	Between	_	IN	IN	_	27	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	price	_	NN	NN	_	1	pobj	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	paid	_	VBD	VBD	_	3	rcmod	_	_
6	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
7	very	_	RB	RB	_	8	advmod	_	_
8	little	_	JJ	JJ	_	5	dep	_	_
9	considering	_	VBG	VBG	_	8	dep	_	_
10	location	_	NN	NN	_	9	dobj	_	_
11	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
12	,	_	,	,	_	0	erased	_	_
13	the	_	DT	DT	_	14	det	_	_
14	location	_	NN	NN	_	3	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	3	cc	_	_
17	the	_	DT	DT	_	20	det	_	_
18	incrediably	_	RB	RB	_	19	advmod	_	_
