1	Such	_	PDT	PDT	_	4	predet	_	_
2	a	_	DT	DT	_	4	det	_	_
3	great	_	JJ	JJ	_	4	amod	_	_
4	time	_	NN	NN	_	5	nsubj	_	_
5	!!	_	VBD	VBD	_	0	root	_	_
6	Jonathan	_	NNP	NNP	_	10	nsubj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	Joel	_	NNP	NNP	_	6	conj	_	_
9	were	_	VBD	VBD	_	10	cop	_	_
10	awesome	_	JJ	JJ	_	5	ccomp	_	_
11	!	_	.	.	_	0	erased	_	_

1	Learning	_	NNP	NNP	_	10	nsubj	_	_
2	how	_	WRB	WRB	_	4	advmod	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	use	_	VB	VB	_	1	vmod	_	_
5	the	_	DT	DT	_	6	det	_	_
6	Segway	_	NN	NN	_	4	dobj	_	_
7	was	_	VBD	VBD	_	10	cop	_	_
8	super	_	JJ	JJ	_	10	amod	_	_
9	easy	_	JJ	JJ	_	10	amod	_	_
10	thanks	_	NNS	NNS	_	0	root	_	_
11	to	_	TO	TO	_	10	prep	_	_
12	them	_	PRP	PRP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Lots	_	NNS	NNS	_	0	root	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	great	_	JJ	JJ	_	5	amod	_	_
4	photo	_	NN	NN	_	5	nn	_	_
5	ops	_	NN	NN	_	2	pobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	Chicago	_	NNP	NNP	_	8	nn	_	_
8	history	_	NN	NN	_	5	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Both	_	DT	DT	_	2	det	_	_
2	guys	_	NNS	NNS	_	3	nsubj	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	6	det	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	sense	_	NN	NN	_	3	dobj	_	_
7	of	_	IN	IN	_	6	prep	_	_
8	humor	_	NN	NN	_	7	pobj	_	_
9	and	_	CC	CC	_	3	cc	_	_
10	were	_	VBD	VBD	_	12	cop	_	_
11	extremely	_	RB	RB	_	12	advmod	_	_
12	personable	_	JJ	JJ	_	3	conj	_	_
13	.	_	.	.	_	0	erased	_	_

1	A	_	DT	DT	_	2	det	_	_
2	definite	_	JJ	JJ	_	4	nsubj	_	_
3	must	_	MD	MD	_	4	aux	_	_
4	for	_	IN	IN	_	0	root	_	_
5	any	_	DT	DT	_	6	det	_	_
6	tourist	_	NN	NN	_	4	pobj	_	_
7	or	_	CC	CC	_	6	cc	_	_
8	local	_	JJ	JJ	_	9	amod	_	_
9	Chicagoan	_	NN	NN	_	6	conj	_	_
10	as	_	IN	IN	_	12	mark	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	are	_	VBP	VBP	_	4	advcl	_	_
13	!	_	.	.	_	0	erased	_	_

