1	Yes	_	UH	UH	_	3	discourse	_	_
2	it	_	PRP	PRP	_	3	nsubj	_	_
3	exists	_	VBZ	VBZ	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	it	_	PRP	PRP	_	9	nsubj	_	_
6	is	_	VBZ	VBZ	_	9	cop	_	_
7	a	_	DT	DT	_	9	det	_	_
8	decent	_	JJ	JJ	_	9	amod	_	_
9	ride	_	NN	NN	_	3	conj	_	_
10	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	may	_	MD	MD	_	4	aux	_	_
3	be	_	VB	VB	_	4	cop	_	_
4	faster	_	JJR	JJR	_	0	root	_	_
5	than	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	bus	_	NN	NN	_	5	pobj	_	_
8	if	_	IN	IN	_	10	mark	_	_
9	it	_	PRP	PRP	_	10	nsubj	_	_
10	goes	_	VBZ	VBZ	_	4	advcl	_	_
11	where	_	WRB	WRB	_	13	advmod	_	_
12	you	_	PRP	PRP	_	13	nsubj	_	_
13	want	_	VBP	VBP	_	10	advcl	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	go	_	VB	VB	_	13	xcomp	_	_
16	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	's	_	VBZ	VBZ	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	fun	_	NN	NN	_	5	nn	_	_
5	alternative	_	NN	NN	_	0	root	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	other	_	JJ	JJ	_	9	amod	_	_
8	transit	_	NN	NN	_	9	nn	_	_
9	options	_	NNS	NNS	_	6	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	particularly	_	RB	RB	_	6	dep	_	_
12	on	_	IN	IN	_	6	prep	_	_
13	a	_	DT	DT	_	15	det	_	_
14	nice	_	JJ	JJ	_	15	amod	_	_
15	day	_	NN	NN	_	12	pobj	_	_
16	or	_	CC	CC	_	15	cc	_	_
17	evening	_	NN	NN	_	15	conj	_	_
18	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	price	_	NN	NN	_	0	root	_	_
4	competitive	_	JJ	JJ	_	3	amod	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	a	_	DT	DT	_	8	det	_	_
7	bus	_	NN	NN	_	8	nn	_	_
8	ride	_	NN	NN	_	5	pobj	_	_
9	too	_	RB	RB	_	3	advmod	_	_
10	,	_	,	,	_	0	erased	_	_
11	maybe	_	RB	RB	_	9	advmod	_	_
12	a	_	DT	DT	_	13	det	_	_
13	little	_	RB	RB	_	14	npadvmod	_	_
14	more	_	RBR	RBR	_	9	advmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	Toot	_	VB	VB	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

