1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	7	nsubj	_	_
3	are	_	VBP	VBP	_	7	cop	_	_
4	friendly	_	JJ	JJ	_	7	amod	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	helpful.Breakfast	_	JJ	JJ	_	4	conj	_	_
7	buffet	_	NN	NN	_	0	root	_	_
8	was	_	VBD	VBD	_	9	cop	_	_
9	excellent	_	JJ	JJ	_	7	rcmod	_	_
10	;	_	:	:	_	0	erased	_	_
11	variety	_	NN	NN	_	7	conj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	breakfast	_	NN	NN	_	14	nn	_	_
14	items	_	NNS	NNS	_	12	pobj	_	_
15	and	_	CC	CC	_	7	cc	_	_
16	option	_	NN	NN	_	7	conj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	cooked	_	VBN	VBN	_	17	dep	_	_
19	to	_	TO	TO	_	18	prep	_	_
20	order	_	NN	NN	_	21	nn	_	_
21	omelettes	_	NNS	NNS	_	19	pobj	_	_
22	.	_	.	.	_	0	erased	_	_
23	.	_	.	.	_	0	erased	_	_
24	Great	_	JJ	JJ	_	26	amod	_	_
25	fitness	_	NN	NN	_	26	nn	_	_
26	room	_	NN	NN	_	16	dep	_	_
27	with	_	IN	IN	_	26	prep	_	_
28	open	_	JJ	JJ	_	30	amod	_	_
29	hour	_	NN	NN	_	30	nn	_	_
30	access	_	NN	NN	_	27	pobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	Business	_	NNP	NNP	_	2	nn	_	_
2	center	_	NN	NN	_	3	nsubj	_	_
3	has	_	VBZ	VBZ	_	0	root	_	_
4	several	_	JJ	JJ	_	5	amod	_	_
5	computers	_	NNS	NNS	_	3	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	but	_	CC	CC	_	3	cc	_	_
8	credit	_	NN	NN	_	9	nn	_	_
9	card	_	NN	NN	_	10	nsubj	_	_
10	needed	_	VBD	VBD	_	3	conj	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	use	_	NN	NN	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

