1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	in	_	IN	IN	_	5	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	middle	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	February	_	NNP	NNP	_	10	pobj	_	_
12	2005	_	CD	CD	_	11	num	_	_
13	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	took	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	7	det	_	_
4	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
5	EL	_	NNP	NNP	_	7	appos	_	_
6	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
7	subway	_	NN	NN	_	2	dobj	_	_
8	to	_	TO	TO	_	2	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	hotel	_	NN	NN	_	8	pobj	_	_
11	from	_	IN	IN	_	2	prep	_	_
12	O'Hare	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	convenient	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	lobby	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	nice	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	the	_	DT	DT	_	7	det	_	_
7	room	_	NN	NN	_	9	nsubj	_	_
8	was	_	VBD	VBD	_	9	cop	_	_
9	clean	_	JJ	JJ	_	4	conj	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	comfortable	_	JJ	JJ	_	9	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	stayed	_	VBN	VBN	_	15	ccomp	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	many	_	PDT	PDT	_	8	predet	_	_
6	a	_	DT	DT	_	8	det	_	_
7	hotel	_	NN	NN	_	8	nn	_	_
8	room	_	NN	NN	_	4	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	this	_	DT	DT	_	11	det	_	_
11	bed	_	NN	NN	_	15	nsubj	_	_
12	was	_	VBD	VBD	_	15	cop	_	_
13	the	_	DT	DT	_	15	det	_	_
14	most	_	RBS	RBS	_	15	advmod	_	_
15	comfortable	_	JJ	JJ	_	0	root	_	_
16	I	_	PRP	PRP	_	19	nsubj	_	_
17	've	_	VBP	VBP	_	19	aux	_	_
18	ever	_	RB	RB	_	19	advmod	_	_
19	slept	_	VBD	VBD	_	15	rcmod	_	_
20	in	_	RP	RP	_	19	prt	_	_
21	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	3	nsubj	_	_
3	is	_	VBZ	VBZ	_	0	root	_	_
4	located	_	VBN	VBN	_	3	dep	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	8	det	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	area	_	NN	NN	_	5	pobj	_	_
9	and	_	CC	CC	_	4	cc	_	_
10	close	_	JJ	JJ	_	4	conj	_	_
11	to	_	TO	TO	_	10	prep	_	_
12	everything	_	NN	NN	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Walking	_	VBG	VBG	_	2	amod	_	_
2	distance	_	NN	NN	_	10	nsubj	_	_
3	to	_	TO	TO	_	2	prep	_	_
4	almost	_	RB	RB	_	6	advmod	_	_
5	all	_	PDT	PDT	_	6	predet	_	_
6	the	_	DT	DT	_	3	pobj	_	_
7	interesting	_	JJ	JJ	_	8	amod	_	_
8	sites	_	NNS	NNS	_	6	dep	_	_
9	Chicago	_	NNP	NNP	_	8	appos	_	_
10	has	_	VBZ	VBZ	_	0	root	_	_
11	.	_	.	.	_	0	erased	_	_

1	Would	_	MD	MD	_	3	aux	_	_
2	definetly	_	RB	RB	_	3	advmod	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	dobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	anyone	_	NN	NN	_	6	pobj	_	_
8	visiting	_	VBG	VBG	_	7	vmod	_	_
9	this	_	DT	DT	_	11	det	_	_
10	great	_	JJ	JJ	_	11	amod	_	_
11	city	_	NN	NN	_	8	dobj	_	_
12	.	_	.	.	_	0	erased	_	_

