1	Been	_	VBN	VBN	_	2	aux	_	_
2	using	_	VBG	VBG	_	0	root	_	_
3	them	_	PRP	PRP	_	2	dobj	_	_
4	during	_	IN	IN	_	2	prep	_	_
5	my	_	PRP$	PRP$	_	7	poss	_	_
6	consulting	_	VBG	VBG	_	7	amod	_	_
7	days	_	NNS	NNS	_	4	pobj	_	_
8	on	_	IN	IN	_	7	prep	_	_
9	a	_	DT	DT	_	11	det	_	_
10	weekly	_	JJ	JJ	_	11	amod	_	_
11	basis	_	NN	NN	_	8	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Very	_	NNP	NNP	_	0	root	_	_
2	reliable	_	:	:	_	1	punct	_	_
3	services	_	NNS	NNS	_	1	dep	_	_
4	.	_	.	.	_	0	erased	_	_
5	.	_	.	.	_	0	erased	_	_
6	Safe	_	:	:	_	1	punct	_	_
7	drivers	_	NNS	NNS	_	1	dep	_	_
8	&	_	CC	CC	_	7	cc	_	_
9	clean	_	NNS	NNS	_	7	conj	_	_
10	cars	_	NNS	NNS	_	7	dep	_	_
11	.	_	.	.	_	0	erased	_	_
12	.	_	.	.	_	0	erased	_	_
13	Great	_	:	:	_	1	punct	_	_
14	prices	_	NNS	NNS	_	1	dep	_	_
15	.	_	.	.	_	0	erased	_	_

1	Still	_	RB	RB	_	2	discourse	_	_
2	use	_	VB	VB	_	0	root	_	_
3	their	_	PRP$	PRP$	_	4	poss	_	_
4	services	_	NNS	NNS	_	2	dobj	_	_
5	&	_	CC	CC	_	4	cc	_	_
6	I	_	PRP	PRP	_	4	conj	_	_
7	highly	_	RB	RB	_	2	advmod	_	_
8	recommend	_	VB	VB	_	2	dep	_	_
9	them	_	PRP	PRP	_	8	dobj	_	_
10	for	_	IN	IN	_	8	prep	_	_
11	Airports	_	NNP	NNP	_	12	nn	_	_
12	rides	_	NNS	NNS	_	10	pobj	_	_
13	or	_	CC	CC	_	12	cc	_	_
14	local	_	JJ	JJ	_	15	amod	_	_
15	rides	_	NNS	NNS	_	12	conj	_	_
16	.	_	.	.	_	0	erased	_	_

