1	Wow	_	UH	UH	_	5	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	have	_	VBP	VBP	_	5	aux	_	_
5	been	_	VBN	VBN	_	0	root	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	many	_	JJ	JJ	_	8	amod	_	_
8	hotels	_	NNS	NNS	_	6	pobj	_	_
9	as	_	IN	IN	_	5	prep	_	_
10	a	_	DT	DT	_	12	det	_	_
11	business	_	NN	NN	_	12	nn	_	_
12	man	_	NN	NN	_	9	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	and	_	CC	CC	_	5	cc	_	_
15	have	_	VB	VB	_	16	aux	_	_
16	seen	_	VBN	VBN	_	5	conj	_	_
17	my	_	PRP$	PRP$	_	19	poss	_	_
18	fair	_	JJ	JJ	_	19	amod	_	_
19	share	_	NN	NN	_	16	dobj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	garbage	_	NN	NN	_	23	nn	_	_
22	dump	_	NN	NN	_	23	nn	_	_
23	hotels	_	NNS	NNS	_	20	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	7	cc	_	_
2	wow	_	RB	RB	_	7	advmod	_	_
3	,	_	,	,	_	0	erased	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	7	nsubj	_	_
6	was	_	VBD	VBD	_	7	cop	_	_
7	great	_	JJ	JJ	_	0	root	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	prompt	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	room	_	NN	NN	_	10	nsubj	_	_
8	was	_	VBD	VBD	_	10	cop	_	_
9	extremely	_	RB	RB	_	10	advmod	_	_
10	clean	_	JJ	JJ	_	4	dep	_	_
11	,	_	,	,	_	0	erased	_	_
12	and	_	CC	CC	_	4	cc	_	_
13	everything	_	NN	NN	_	15	nsubj	_	_
14	just	_	RB	RB	_	15	advmod	_	_
15	ran	_	VBD	VBD	_	4	conj	_	_
16	like	_	IN	IN	_	15	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	well-oiled	_	JJ	JJ	_	19	amod	_	_
19	machine	_	NN	NN	_	16	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	aux	_	_
3	particularly	_	RB	RB	_	4	advmod	_	_
4	impressed	_	JJ	JJ	_	0	root	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	fact	_	NN	NN	_	5	pobj	_	_
