1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	6	pobj	_	_
9	two	_	CD	CD	_	10	num	_	_
10	weeks	_	NNS	NNS	_	5	tmod	_	_
11	ago	_	RB	RB	_	10	advmod	_	_
12	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	``	_	``	``	_	0	erased	_	_
5	girls	_	NNS	NNS	_	0	root	_	_
6	''	_	''	''	_	0	erased	_	_
7	weekend	_	NN	NN	_	5	dep	_	_
8	.	_	.	.	_	0	erased	_	_

1	Perfect	_	JJ	JJ	_	2	amod	_	_
2	location	_	NN	NN	_	0	root	_	_
3	as	_	IN	IN	_	7	mark	_	_
4	it	_	PRP	PRP	_	7	nsubj	_	_
5	is	_	VBZ	VBZ	_	7	cop	_	_
6	just	_	RB	RB	_	7	advmod	_	_
7	steps	_	NNS	NNS	_	2	dep	_	_
8	from	_	IN	IN	_	7	prep	_	_
9	Michigan	_	NNP	NNP	_	10	nn	_	_
10	Ave.	_	NNP	NNP	_	8	pobj	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	beautiful	_	JJ	JJ	_	5	amod	_	_
5	room	_	NN	NN	_	2	dobj	_	_
6	with	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	11	det	_	_
8	really	_	RB	RB	_	9	advmod	_	_
9	nice	_	JJ	JJ	_	11	amod	_	_
10	sitting	_	VBG	VBG	_	11	amod	_	_
11	area	_	NN	NN	_	6	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	rain	_	NN	NN	_	3	nn	_	_
3	shower	_	NN	NN	_	5	nsubj	_	_
4	is	_	VBZ	VBZ	_	5	cop	_	_
5	heavenly	_	JJ	JJ	_	0	root	_	_
6	!	_	.	.	_	0	erased	_	_

1	Two	_	CD	CD	_	2	num	_	_
2	sinks	_	NNS	NNS	_	0	root	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	a	_	DT	DT	_	6	det	_	_
5	huge	_	JJ	JJ	_	6	amod	_	_
6	bathtub	_	NN	NN	_	2	conj	_	_
7	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	huge	_	JJ	JJ	_	3	amod	_	_
3	TV	_	NN	NN	_	0	root	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	each	_	DT	DT	_	6	det	_	_
6	room	_	NN	NN	_	4	pobj	_	_
7	-	_	:	:	_	0	erased	_	_
8	and	_	CC	CC	_	3	cc	_	_
9	one	_	CD	CD	_	3	conj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	mirror	_	NN	NN	_	10	pobj	_	_
13	in	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	bathroom	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	A	_	DT	DT	_	2	det	_	_
2	fav	_	NN	NN	_	3	nsubj	_	_
3	feature	_	VBP	VBP	_	0	root	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	usually	_	RB	RB	_	6	advmod	_	_
6	find	_	VBP	VBP	_	3	ccomp	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	Vegas	_	NNP	NNP	_	10	nn	_	_
9	hotel	_	NN	NN	_	10	nn	_	_
10	rooms	_	NNS	NNS	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	incredible	_	JJ	JJ	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	always	_	RB	RB	_	3	advmod	_	_
3	greeted	_	VBD	VBD	_	0	root	_	_
4	us	_	PRP	PRP	_	5	nsubj	_	_
5	like	_	VBP	VBP	_	3	ccomp	_	_
6	we	_	PRP	PRP	_	8	nsubj	_	_
7	were	_	VBD	VBD	_	8	cop	_	_
8	friends	_	NNS	NNS	_	5	ccomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	6	cc	_	_
2	Albert	_	NNP	NNP	_	6	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	Anna	_	NNP	NNP	_	2	conj	_	_
5	were	_	VBD	VBD	_	6	cop	_	_
6	amazing	_	JJ	JJ	_	0	root	_	_
7	!	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	went	_	VBD	VBD	_	0	root	_	_
3	above	_	IN	IN	_	2	advmod	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	beyond	_	IN	IN	_	3	conj	_	_
6	for	_	IN	IN	_	2	prep	_	_
7	us	_	PRP	PRP	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	!!	_	JJ	JJ	_	1	xcomp	_	_

1	The	_	DT	DT	_	3	det	_	_
2	rooftop	_	NN	NN	_	3	nn	_	_
3	bar	_	NN	NN	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	a	_	DT	DT	_	7	det	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	spot	_	NN	NN	_	0	root	_	_
8	as	_	RB	RB	_	9	advmod	_	_
9	well	_	RB	RB	_	7	advmod	_	_
10	!	_	.	.	_	0	erased	_	_

1	Def	_	NNP	NNP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	have	_	VB	VB	_	0	root	_	_
4	drinks	_	NNS	NNS	_	3	dobj	_	_
5	there	_	RB	RB	_	6	advmod	_	_
6	again	_	RB	RB	_	3	advmod	_	_
7	!	_	.	.	_	0	erased	_	_

1	Will	_	MD	MD	_	3	aux	_	_
2	definitely	_	NNP	NNP	_	3	nsubj	_	_
3	stay	_	VB	VB	_	0	root	_	_
4	here	_	RB	RB	_	5	advmod	_	_
5	again	_	RB	RB	_	3	advmod	_	_
6	when	_	WRB	WRB	_	8	advmod	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	am	_	VBP	VBP	_	5	advcl	_	_
9	back	_	RB	RB	_	8	advmod	_	_
10	in	_	IN	IN	_	8	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	!	_	.	.	_	0	erased	_	_

