1	Using	_	VBG	VBG	_	8	vmod	_	_
2	the	_	DT	DT	_	3	det	_	_
3	tips	_	NNS	NNS	_	1	dobj	_	_
4	on	_	IN	IN	_	1	prep	_	_
5	here	_	RB	RB	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	reserved	_	VBD	VBD	_	0	root	_	_
9	the	_	DT	DT	_	12	det	_	_
10	queen	_	NN	NN	_	12	nn	_	_
11	business	_	NN	NN	_	12	nn	_	_
12	room	_	NN	NN	_	8	dobj	_	_
13	and	_	CC	CC	_	8	cc	_	_
14	I	_	PRP	PRP	_	17	nsubj	_	_
15	am	_	VBP	VBP	_	17	cop	_	_
16	so	_	RB	RB	_	17	advmod	_	_
17	happy	_	JJ	JJ	_	8	conj	_	_
18	I	_	PRP	PRP	_	19	nsubj	_	_
19	did	_	VBD	VBD	_	17	ccomp	_	_
20	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	can	_	MD	MD	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	imagine	_	VB	VB	_	0	root	_	_
5	the	_	DT	DT	_	6	det	_	_
6	size	_	NN	NN	_	4	dobj	_	_
7	of	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	other	_	JJ	JJ	_	10	amod	_	_
10	rooms	_	NNS	NNS	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Because	_	IN	IN	_	5	prep	_	_
2	even	_	RB	RB	_	1	pcomp	_	_
3	this	_	DT	DT	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	small	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	but	_	CC	CC	_	5	cc	_	_
8	cozy	_	JJ	JJ	_	5	conj	_	_
9	!	_	.	.	_	0	erased	_	_

1	Gorgeous	_	JJ	JJ	_	2	amod	_	_
2	bathroom	_	NN	NN	_	17	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	comfortable	_	JJ	JJ	_	5	amod	_	_
5	bed	_	NN	NN	_	2	conj	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	right	_	RB	RB	_	2	advmod	_	_
9	by	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	courtyard	_	NN	NN	_	12	npadvmod	_	_
12	so	_	RB	RB	_	9	pcomp	_	_
13	noise	_	NN	NN	_	2	conj	_	_
14	was	_	VBD	VBD	_	17	cop	_	_
15	never	_	RB	RB	_	17	neg	_	_
16	an	_	DT	DT	_	17	det	_	_
17	issue	_	NN	NN	_	0	root	_	_
18	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
19	we	_	PRP	PRP	_	20	nsubj	_	_
20	had	_	VBD	VBD	_	17	dep	_	_
21	room	_	NN	NN	_	22	nn	_	_
22	435	_	NNS	NNS	_	20	dobj	_	_
23	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
24	.	_	.	.	_	0	erased	_	_

1	Very	_	RB	RB	_	2	advmod	_	_
2	clean	_	JJ	JJ	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

1	Nice	_	VB	VB	_	0	root	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	polite	_	VB	VB	_	1	conj	_	_
4	staff	_	NN	NN	_	1	dobj	_	_
5	.	_	.	.	_	0	erased	_	_

1	Breakfast	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	the	_	DT	DT	_	4	det	_	_
4	best	_	JJS	JJS	_	0	root	_	_
5	we	_	PRP	PRP	_	7	nsubj	_	_
6	had	_	VBD	VBD	_	7	aux	_	_
7	seen	_	VBN	VBN	_	4	rcmod	_	_
8	all	_	DT	DT	_	9	det	_	_
9	trip	_	NN	NN	_	7	dobj	_	_
10	with	_	IN	IN	_	7	prep	_	_
11	a	_	DT	DT	_	14	det	_	_
12	great	_	JJ	JJ	_	14	amod	_	_
13	sized	_	JJ	JJ	_	14	amod	_	_
14	space	_	NN	NN	_	10	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	can	_	MD	MD	_	4	aux	_	_
3	either	_	DT	DT	_	4	preconj	_	_
4	park	_	VB	VB	_	0	root	_	_
5	yourself	_	PRP	PRP	_	4	dobj	_	_
6	behind	_	IN	IN	_	4	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	building	_	NN	NN	_	6	pobj	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	parking	_	NN	NN	_	12	nn	_	_
12	ramp	_	NN	NN	_	9	pobj	_	_
13	or	_	CC	CC	_	4	cc	_	_
14	pay	_	VB	VB	_	4	conj	_	_
15	one	_	CD	CD	_	17	num	_	_
16	more	_	JJR	JJR	_	17	amod	_	_
17	dollar	_	NN	NN	_	14	dobj	_	_
18	and	_	CC	CC	_	14	cc	_	_
19	do	_	VB	VB	_	14	conj	_	_
20	valet	_	NN	NN	_	19	dobj	_	_
21	,	_	,	,	_	0	erased	_	_
22	which	_	WDT	WDT	_	27	nsubj	_	_
23	is	_	VBZ	VBZ	_	27	cop	_	_
24	so	_	RB	RB	_	27	advmod	_	_
25	much	_	RB	RB	_	27	advmod	_	_
26	more	_	RBR	RBR	_	27	advmod	_	_
27	convenient	_	JJ	JJ	_	20	rcmod	_	_
28	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	5	cc	_	_
2	my	_	PRP$	PRP$	_	3	poss	_	_
3	car	_	NN	NN	_	5	nsubjpass	_	_
4	was	_	VBD	VBD	_	5	auxpass	_	_
5	kept	_	VBN	VBN	_	0	root	_	_
6	safe	_	JJ	JJ	_	5	xcomp	_	_
7	!	_	.	.	_	0	erased	_	_

1	Overall	_	JJ	JJ	_	0	root	_	_
2	,	_	,	,	_	0	erased	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	impressed	_	JJ	JJ	_	1	conj	_	_
5	and	_	CC	CC	_	1	cc	_	_
6	happy	_	JJ	JJ	_	1	conj	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	stay	_	NN	NN	_	7	pobj	_	_
10	!	_	.	.	_	0	erased	_	_

