1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	time	_	NN	NN	_	0	root	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	public	_	JJ	JJ	_	7	amod	_	_
7	train	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Train	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	clean	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Staff	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	friendly	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	conductor	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	even	_	RB	RB	_	5	advmod	_	_
5	funny	_	JJ	JJ	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	times	_	NNS	NNS	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Very	_	RB	RB	_	2	advmod	_	_
2	smooth	_	VB	VB	_	0	root	_	_
3	ride	_	NN	NN	_	2	dobj	_	_
4	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	did	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	trip	_	NN	NN	_	2	dobj	_	_
5	from	_	IN	IN	_	2	prep	_	_
6	whole	_	JJ	JJ	_	7	amod	_	_
7	Wisconsin	_	NNP	NNP	_	5	pobj	_	_
8	into	_	IN	IN	_	2	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	Definally	_	RB	RB	_	4	advmod	_	_
4	ride	_	VB	VB	_	0	root	_	_
5	again	_	RB	RB	_	4	advmod	_	_
6	!	_	.	.	_	0	erased	_	_

