1	Such	_	PDT	PDT	_	2	predet	_	_
2	a	_	DT	DT	_	4	nsubj	_	_
3	great	_	JJ	JJ	_	4	advmod	_	_
4	find	_	VBP	VBP	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	triple	_	JJ	JJ	_	8	dep	_	_
7	A	_	DT	DT	_	8	det	_	_
8	discount	_	NN	NN	_	14	dep	_	_
9	!	_	.	.	_	0	erased	_	_
10	this	_	DT	DT	_	11	det	_	_
11	place	_	NN	NN	_	14	nsubj	_	_
12	is	_	VBZ	VBZ	_	14	cop	_	_
13	super	_	RB	RB	_	14	advmod	_	_
14	clean	_	JJ	JJ	_	4	conj	_	_
15	and	_	CC	CC	_	14	cc	_	_
16	the	_	DT	DT	_	17	det	_	_
17	staff	_	NN	NN	_	20	nsubj	_	_
18	is	_	VBZ	VBZ	_	20	cop	_	_
19	very	_	RB	RB	_	20	advmod	_	_
20	friendly	_	JJ	JJ	_	14	conj	_	_
21	!	_	.	.	_	0	erased	_	_

1	we	_	PRP	PRP	_	3	nsubj	_	_
2	got	_	VBD	VBD	_	3	dep	_	_
3	stuck	_	JJ	JJ	_	0	root	_	_
4	at	_	IN	IN	_	3	advmod	_	_
5	midway	_	NN	NN	_	4	dep	_	_
6	,	_	,	,	_	0	erased	_	_
7	missed	_	VBD	VBD	_	3	dep	_	_
8	our	_	PRP$	PRP$	_	9	poss	_	_
9	flight	_	NN	NN	_	7	dobj	_	_
10	and	_	CC	CC	_	3	cc	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	found	_	VBD	VBD	_	3	conj	_	_
13	the	_	DT	DT	_	15	det	_	_
14	Carton	_	NNP	NNP	_	15	nn	_	_
15	Inn	_	NNP	NNP	_	12	dobj	_	_
16	using	_	VBG	VBG	_	15	vmod	_	_
17	Hotels.com	_	NNP	NNP	_	16	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	did	_	VBD	VBD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	have	_	VB	VB	_	0	root	_	_
5	any	_	DT	DT	_	4	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	my	_	PRP$	PRP$	_	9	poss	_	_
8	shower	_	NN	NN	_	9	nn	_	_
9	things	_	NNS	NNS	_	6	pobj	_	_
10	so	_	IN	IN	_	12	mark	_	_
11	they	_	PRP	PRP	_	12	nsubj	_	_
12	brought	_	VBD	VBD	_	4	advcl	_	_
13	us	_	PRP	PRP	_	12	iobj	_	_
14	a	_	DT	DT	_	15	det	_	_
15	bag	_	NN	NN	_	12	dobj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	shower	_	NN	NN	_	18	nn	_	_
18	stuff	_	NN	NN	_	16	pobj	_	_
19	and	_	CC	CC	_	15	cc	_	_
20	a	_	DT	DT	_	21	det	_	_
21	crib	_	NN	NN	_	15	conj	_	_
22	for	_	IN	IN	_	21	prep	_	_
23	our	_	PRP$	PRP$	_	24	poss	_	_
24	twins	_	NNS	NNS	_	22	pobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	Such	_	JJ	JJ	_	0	root	_	_
2	a	_	DT	DT	_	4	det	_	_
3	great	_	JJ	JJ	_	4	amod	_	_
4	experience	_	NN	NN	_	1	dep	_	_
5	!	_	.	.	_	0	erased	_	_

1	Ordered	_	NNP	NNP	_	2	nn	_	_
2	Giordano	_	NNP	NNP	_	5	poss	_	_
3	's	_	POS	POS	_	2	possessive	_	_
4	pizza	_	NN	NN	_	5	nn	_	_
5	delivery	_	NN	NN	_	12	nsubj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	9	det	_	_
8	shuttle	_	NN	NN	_	9	nn	_	_
9	guy	_	NN	NN	_	5	conj	_	_
10	was	_	VBD	VBD	_	12	cop	_	_
11	super	_	RB	RB	_	12	advmod	_	_
12	nice	_	JJ	JJ	_	0	root	_	_
13	too	_	RB	RB	_	12	advmod	_	_
14	!	_	.	.	_	0	erased	_	_

