1	Just	_	RB	RB	_	2	advmod	_	_
2	got	_	VBN	VBN	_	10	csubj	_	_
3	back	_	RP	RP	_	2	prt	_	_
4	from	_	IN	IN	_	2	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	fantastic	_	JJ	JJ	_	7	amod	_	_
7	trip	_	NN	NN	_	4	pobj	_	_
8	to	_	TO	TO	_	7	prep	_	_
9	Tanzania	_	NNP	NNP	_	8	pobj	_	_
10	coordinated	_	VBN	VBN	_	0	root	_	_
11	by	_	IN	IN	_	10	prep	_	_
12	Global	_	NNP	NNP	_	13	nn	_	_
13	Adrenaline	_	NNP	NNP	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	were	_	VBD	VBD	_	3	cop	_	_
3	great	_	JJ	JJ	_	0	root	_	_
4	during	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	9	det	_	_
6	booking	_	NN	NN	_	9	nn	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	pre-trip	_	NN	NN	_	6	conj	_	_
9	process	_	NN	NN	_	4	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	3	cc	_	_
12	their	_	PRP$	PRP$	_	14	poss	_	_
13	African	_	JJ	JJ	_	14	amod	_	_
14	partners	_	NNS	NNS	_	30	nsubj	_	_
15	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
16	African	_	NNP	NNP	_	17	nn	_	_
17	Endeavors	_	NNP	NNP	_	14	dep	_	_
18	for	_	IN	IN	_	17	prep	_	_
19	our	_	PRP$	PRP$	_	21	poss	_	_
20	Kilimanjaro	_	NNP	NNP	_	21	nn	_	_
21	climb	_	NN	NN	_	18	pobj	_	_
22	and	_	CC	CC	_	17	cc	_	_
23	Asilia	_	NNP	NNP	_	24	nn	_	_
24	Africa	_	NNP	NNP	_	17	conj	_	_
25	for	_	IN	IN	_	24	prep	_	_
26	our	_	PRP$	PRP$	_	27	poss	_	_
27	safari	_	JJ	JJ	_	25	pobj	_	_
28	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
29	were	_	VBD	VBD	_	30	cop	_	_
30	outstanding	_	JJ	JJ	_	3	conj	_	_
31	!	_	.	.	_	0	erased	_	_

1	Every	_	DT	DT	_	2	det	_	_
2	detail	_	NN	NN	_	4	nsubjpass	_	_
3	was	_	VBD	VBD	_	4	auxpass	_	_
4	covered	_	VBN	VBN	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Highly	_	NNP	NNP	_	2	nsubj	_	_
2	recommended	_	VBD	VBD	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

