1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	6	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	have	_	VBP	VBP	_	6	aux	_	_
6	been	_	VBN	VBN	_	0	root	_	_
7	on	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	Old	_	NNP	NNP	_	10	nn	_	_
10	Town	_	NNP	NNP	_	7	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	the	_	DT	DT	_	14	det	_	_
13	Pilsen	_	JJ	JJ	_	14	amod	_	_
14	tours	_	NNS	NNS	_	10	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	both	_	DT	DT	_	7	advmod	_	_
17	with	_	IN	IN	_	6	prep	_	_
18	Joyce	_	NNP	NNP	_	17	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	very	_	RB	RB	_	5	advmod	_	_
4	well	_	RB	RB	_	5	advmod	_	_
5	informed	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	speaks	_	VBZ	VBZ	_	5	conj	_	_
8	clearly	_	RB	RB	_	7	advmod	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	well	_	RB	RB	_	8	conj	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	makes	_	VBZ	VBZ	_	5	conj	_	_
13	the	_	DT	DT	_	15	det	_	_
14	whole	_	JJ	JJ	_	15	amod	_	_
15	experience	_	NN	NN	_	12	iobj	_	_
16	a	_	DT	DT	_	17	det	_	_
17	delight	_	NN	NN	_	12	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	helped	_	VBD	VBD	_	0	root	_	_
3	us	_	PRP	PRP	_	2	dobj	_	_
4	with	_	IN	IN	_	2	prep	_	_
5	good	_	JJ	JJ	_	6	amod	_	_
6	advice	_	NN	NN	_	4	pobj	_	_
7	about	_	IN	IN	_	2	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	spot	_	NN	NN	_	7	pobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	eat	_	VB	VB	_	9	vmod	_	_
12	and	_	CC	CC	_	9	cc	_	_
13	parking	_	NN	NN	_	9	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	5	mark	_	_
2	she	_	PRP	PRP	_	5	nsubj	_	_
3	does	_	VBZ	VBZ	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	know	_	VB	VB	_	13	advcl	_	_
6	the	_	DT	DT	_	7	det	_	_
7	answer	_	NN	NN	_	5	dobj	_	_
8	to	_	TO	TO	_	5	prep	_	_
9	a	_	DT	DT	_	10	det	_	_
10	question	_	NN	NN	_	8	pobj	_	_
11	she	_	PRP	PRP	_	13	nsubj	_	_
12	will	_	MD	MD	_	13	aux	_	_
13	find	_	VB	VB	_	0	root	_	_
14	out	_	RP	RP	_	13	prt	_	_
15	and	_	CC	CC	_	13	cc	_	_
16	email	_	VB	VB	_	13	conj	_	_
17	you	_	PRP	PRP	_	16	dobj	_	_
18	the	_	DT	DT	_	19	det	_	_
19	result	_	NN	NN	_	13	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	root	_	_
3	forward	_	RB	RB	_	2	advmod	_	_
4	to	_	TO	TO	_	2	prep	_	_
5	more	_	JJR	JJR	_	6	amod	_	_
6	walks	_	NNS	NNS	_	4	pobj	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	her	_	PRP	PRP	_	7	pobj	_	_
9	!	_	.	.	_	0	erased	_	_

