1	Looks	_	NNS	NNS	_	6	nsubjpass	_	_
2	like	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	hotel	_	NN	NN	_	2	pobj	_	_
5	was	_	VBD	VBD	_	6	auxpass	_	_
6	renovated	_	VBN	VBN	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	Came	_	NNP	NNP	_	10	nsubj	_	_
2	here	_	RB	RB	_	10	advmod	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	5	det	_	_
5	wedding	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	place	_	NN	NN	_	5	conj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	beautiful	_	JJ	JJ	_	0	root	_	_
11	.	_	.	.	_	0	erased	_	_

1	Definitely	_	RB	RB	_	4	advmod	_	_
2	a	_	DT	DT	_	3	det	_	_
3	different	_	JJ	JJ	_	4	nsubj	_	_
4	look	_	VBP	VBP	_	0	root	_	_
5	inside	_	RB	RB	_	4	advmod	_	_
6	vs.	_	NN	NN	_	4	prep	_	_
7	outside	_	NN	NN	_	6	dep	_	_
8	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	6	nsubj	_	_
2	am	_	VBP	VBP	_	6	cop	_	_
3	a	_	DT	DT	_	6	det	_	_
4	huge	_	JJ	JJ	_	6	amod	_	_
5	Marriott	_	NN	NN	_	6	nn	_	_
6	fan	_	NN	NN	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	again	_	RB	RB	_	11	advmod	_	_
9	did	_	VBD	VBD	_	11	aux	_	_
10	n't	_	RB	RB	_	11	neg	_	_
11	leave	_	VB	VB	_	6	conj	_	_
12	disappointed	_	JJ	JJ	_	11	acomp	_	_
13	.	_	.	.	_	0	erased	_	_

