1	Such	_	PDT	PDT	_	3	predet	_	_
2	a	_	DT	DT	_	3	det	_	_
3	fun	_	NN	NN	_	0	root	_	_
4	spot	_	NN	NN	_	3	dep	_	_
5	!	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	bring	_	VB	VB	_	0	root	_	_
4	or	_	CC	CC	_	3	cc	_	_
5	order	_	VB	VB	_	3	conj	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	your	_	PRP$	PRP$	_	9	poss	_	_
8	own	_	JJ	JJ	_	9	amod	_	_
9	food	_	NN	NN	_	6	pobj	_	_
10	which	_	WDT	WDT	_	13	nsubj	_	_
11	is	_	VBZ	VBZ	_	13	cop	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	nice	_	JJ	JJ	_	9	rcmod	_	_
14	!	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	wide	_	JJ	JJ	_	5	amod	_	_
5	variety	_	NN	NN	_	2	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	beers	_	NNS	NNS	_	6	pobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	many	_	JJ	JJ	_	11	amod	_	_
10	seasonal	_	JJ	JJ	_	11	amod	_	_
11	beers	_	NNS	NNS	_	7	conj	_	_
12	too	_	RB	RB	_	5	advmod	_	_
13	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	knowledgeable	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	fun	_	NN	NN	_	5	conj	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	helpful	_	JJ	JJ	_	5	conj	_	_
10	!	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	4	mark	_	_
2	you	_	PRP	PRP	_	4	nsubj	_	_
3	are	_	VBP	VBP	_	4	aux	_	_
4	looking	_	VBG	VBG	_	15	advcl	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	8	det	_	_
7	fun	_	NN	NN	_	8	nn	_	_
8	spot	_	NN	NN	_	5	pobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	hang	_	VB	VB	_	4	xcomp	_	_
11	with	_	IN	IN	_	10	prep	_	_
12	friends	_	NNS	NNS	_	11	pobj	_	_
13	I	_	PRP	PRP	_	15	nsubj	_	_
14	highly	_	RB	RB	_	15	advmod	_	_
15	recommend	_	VBP	VBP	_	0	root	_	_
16	stopping	_	VBG	VBG	_	15	xcomp	_	_
17	by	_	IN	IN	_	16	prep	_	_
18	half	_	DT	DT	_	19	det	_	_
19	acre	_	NN	NN	_	17	pobj	_	_
20	!	_	.	.	_	0	erased	_	_

