1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	family	_	NN	NN	_	3	nsubj	_	_
3	is	_	VBZ	VBZ	_	0	root	_	_
4	from	_	IN	IN	_	3	prep	_	_
5	Chicago	_	NNP	NNP	_	4	pobj	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	we	_	PRP	PRP	_	9	nsubj	_	_
8	often	_	RB	RB	_	9	advmod	_	_
9	do	_	VBP	VBP	_	3	conj	_	_
10	touristy	_	JJ	JJ	_	11	amod	_	_
11	things	_	NNS	NNS	_	9	dobj	_	_
12	here	_	RB	RB	_	9	advmod	_	_
13	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
2	tour	_	NN	NN	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	a	_	DT	DT	_	6	det	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	way	_	NN	NN	_	0	root	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	us	_	PRP	PRP	_	7	pobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	bounce	_	VB	VB	_	6	vmod	_	_
11	around	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	Loop	_	NNP	NNP	_	11	pobj	_	_
14	and	_	CC	CC	_	10	cc	_	_
15	get	_	VB	VB	_	10	conj	_	_
16	more	_	JJR	JJR	_	17	amod	_	_
17	in-depth	_	NNS	NNS	_	15	dobj	_	_
18	with	_	IN	IN	_	15	prep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	places	_	NNS	NNS	_	18	pobj	_	_
21	we	_	PRP	PRP	_	23	nsubj	_	_
22	often	_	RB	RB	_	23	advmod	_	_
23	pass	_	VBP	VBP	_	20	rcmod	_	_
24	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	give	_	VB	VB	_	0	root	_	_
4	5	_	CD	CD	_	5	num	_	_
5	stars	_	NNS	NNS	_	3	dobj	_	_
6	if	_	IN	IN	_	10	mark	_	_
7	we	_	PRP	PRP	_	10	nsubj	_	_
8	could	_	MD	MD	_	10	aux	_	_
9	've	_	VB	VB	_	10	aux	_	_
10	picked	_	VBN	VBN	_	3	advcl	_	_
11	the	_	DT	DT	_	13	det	_	_
12	starting	_	JJ	JJ	_	13	amod	_	_
13	location	_	NN	NN	_	10	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	all	_	DT	DT	_	3	advmod	_	_
3	enjoyed	_	VBD	VBD	_	0	root	_	_
4	it	_	PRP	PRP	_	5	nsubj	_	_
5	ages	_	VBZ	VBZ	_	3	ccomp	_	_
6	53-14	_	CD	CD	_	5	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

