1	awesome	_	UH	UH	_	3	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	go	_	VB	VB	_	0	root	_	_
4	if	_	IN	IN	_	6	mark	_	_
5	you	_	PRP	PRP	_	6	nsubj	_	_
6	want	_	VBP	VBP	_	3	advcl	_	_
7	a	_	DT	DT	_	9	det	_	_
8	different	_	JJ	JJ	_	9	amod	_	_
9	experience	_	NN	NN	_	6	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	5	nsubjpass	_	_
3	are	_	VBP	VBP	_	5	auxpass	_	_
4	well	_	RB	RB	_	5	advmod	_	_
5	designed	_	VBN	VBN	_	8	ccomp	_	_
6	,	_	,	,	_	0	erased	_	_
7	we	_	PRP	PRP	_	8	nsubj	_	_
8	ended	_	VBD	VBD	_	0	root	_	_
9	up	_	RP	RP	_	8	prt	_	_
10	using	_	VBG	VBG	_	8	xcomp	_	_
11	different	_	JJ	JJ	_	12	amod	_	_
12	parts	_	NNS	NNS	_	10	dobj	_	_
13	in	_	IN	IN	_	10	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	room	_	NN	NN	_	13	pobj	_	_
16	for	_	IN	IN	_	15	prep	_	_
17	music	_	NN	NN	_	18	nn	_	_
18	pictures	_	NNS	NNS	_	16	pobj	_	_
19	for	_	IN	IN	_	18	prep	_	_
20	our	_	PRP$	PRP$	_	22	poss	_	_
21	next	_	JJ	JJ	_	22	amod	_	_
22	album	_	NN	NN	_	19	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

