1	Wow	_	UH	UH	_	5	discourse	_	_
2	.	_	.	.	_	0	erased	_	_
3	That	_	DT	DT	_	5	nsubj	_	_
4	's	_	VBZ	VBZ	_	5	cop	_	_
5	all	_	DT	DT	_	0	root	_	_
6	I	_	PRP	PRP	_	8	nsubj	_	_
7	can	_	MD	MD	_	8	aux	_	_
8	say	_	VB	VB	_	5	rcmod	_	_
9	.	_	.	.	_	0	erased	_	_

1	Just	_	RB	RB	_	2	advmod	_	_
2	recently	_	RB	RB	_	5	advmod	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	have	_	VBP	VBP	_	5	aux	_	_
5	started	_	VBN	VBN	_	0	root	_	_
6	taking	_	VBG	VBG	_	5	xcomp	_	_
7	Metra	_	NNP	NNP	_	6	dobj	_	_
8	while	_	IN	IN	_	6	prep	_	_
9	commuting	_	VBG	VBG	_	8	pcomp	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	from	_	IN	IN	_	10	conj	_	_
13	work	_	NN	NN	_	10	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Having	_	VBG	VBG	_	2	aux	_	_
2	come	_	VBN	VBN	_	12	vmod	_	_
3	from	_	IN	IN	_	2	prep	_	_
4	years	_	NNS	NNS	_	3	pobj	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	riding	_	VBG	VBG	_	5	pcomp	_	_
7	CTA/Pace	_	NNP	NNP	_	6	dobj	_	_
8	only	_	RB	RB	_	6	advmod	_	_
9	,	_	,	,	_	0	erased	_	_
10	I	_	PRP	PRP	_	12	nsubjpass	_	_
11	was	_	VBD	VBD	_	12	auxpass	_	_
12	taken	_	VBN	VBN	_	0	root	_	_
13	aback	_	RB	RB	_	12	advmod	_	_
14	the	_	DT	DT	_	16	det	_	_
15	first	_	JJ	JJ	_	16	amod	_	_
16	time	_	NN	NN	_	12	dobj	_	_
17	on	_	IN	IN	_	12	prep	_	_
18	a	_	DT	DT	_	20	det	_	_
19	Metra	_	NNP	NNP	_	20	nn	_	_
20	train	_	NN	NN	_	17	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	hours	_	NNS	NNS	_	4	nn	_	_
3	I	_	NN	NN	_	4	nn	_	_
4	work	_	NN	NN	_	6	nsubj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	overnights	_	JJ	JJ	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	so	_	IN	IN	_	6	dep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	trains	_	NNS	NNS	_	14	nsubj	_	_
11	obviously	_	RB	RB	_	14	advmod	_	_
12	are	_	VBP	VBP	_	14	cop	_	_
13	never	_	RB	RB	_	14	neg	_	_
14	overcrowded	_	JJ	JJ	_	6	ccomp	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	6	cc	_	_
17	the	_	DT	DT	_	18	det	_	_
18	fact	_	NN	NN	_	35	nsubj	_	_
19	that	_	IN	IN	_	23	mark	_	_
20	I	_	PRP	PRP	_	23	nsubj	_	_
21	can	_	MD	MD	_	23	aux	_	_
22	actually	_	RB	RB	_	23	advmod	_	_
23	stretch	_	VB	VB	_	18	dep	_	_
24	out	_	RP	RP	_	23	prt	_	_
25	on	_	IN	IN	_	23	prep	_	_
26	the	_	DT	DT	_	27	det	_	_
27	seat	_	NN	NN	_	25	pobj	_	_
28	and	_	CC	CC	_	23	cc	_	_
29	take	_	VB	VB	_	23	conj	_	_
30	a	_	DT	DT	_	31	det	_	_
31	nap	_	NN	NN	_	29	dobj	_	_
32	is	_	VBZ	VBZ	_	35	cop	_	_
33	the	_	DT	DT	_	35	det	_	_
34	best	_	JJS	JJS	_	35	amod	_	_
35	perk	_	NN	NN	_	6	conj	_	_
36	of	_	IN	IN	_	35	prep	_	_
37	them	_	PRP	PRP	_	36	pobj	_	_
38	all	_	DT	DT	_	37	det	_	_
39	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubjpass	_	_
2	can	_	MD	MD	_	4	aux	_	_
3	be	_	VB	VB	_	4	auxpass	_	_
4	found	_	VBN	VBN	_	0	root	_	_
5	taking	_	VBG	VBG	_	4	xcomp	_	_
6	the	_	DT	DT	_	8	det	_	_
7	BNSF	_	NNP	NNP	_	8	nn	_	_
8	line	_	NN	NN	_	5	dobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	4	cc	_	_
11	only	_	RB	RB	_	12	advmod	_	_
12	once	_	RB	RB	_	4	advmod	_	_
13	in	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	17	det	_	_
15	last	_	JJ	JJ	_	17	amod	_	_
16	two	_	CD	CD	_	17	num	_	_
17	months	_	NNS	NNS	_	13	pobj	_	_
18	have	_	VB	VB	_	4	conj	_	_
19	the	_	DT	DT	_	20	det	_	_
20	trains	_	NNS	NNS	_	18	dobj	_	_
21	been	_	VBN	VBN	_	22	aux	_	_
22	running	_	VBG	VBG	_	20	vmod	_	_
23	behind	_	RP	RP	_	22	prt	_	_
