1	Minutes	_	VBG	VBG	_	10	vmod	_	_
2	from	_	IN	IN	_	1	prep	_	_
3	Chicago	_	NNP	NNP	_	6	poss	_	_
4	's	_	POS	POS	_	3	possessive	_	_
5	Midway	_	NNP	NNP	_	6	nn	_	_
6	airport	_	NN	NN	_	2	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	this	_	DT	DT	_	9	det	_	_
9	motel	_	NN	NN	_	10	nsubj	_	_
10	is	_	VBZ	VBZ	_	0	root	_	_
11	conveniently	_	RB	RB	_	10	advmod	_	_
12	located	_	VBN	VBN	_	11	dep	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	downtown	_	JJ	JJ	_	15	amod	_	_
15	Chicago	_	NNP	NNP	_	13	pobj	_	_
16	either	_	CC	CC	_	13	dep	_	_
17	by	_	IN	IN	_	13	conj	_	_
18	car	_	NN	NN	_	17	pobj	_	_
19	or	_	CC	CC	_	18	cc	_	_
20	the	_	DT	DT	_	22	det	_	_
21	El	_	NNP	NNP	_	22	nn	_	_
22	train	_	NN	NN	_	18	conj	_	_
23	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	4	nsubjpass	_	_
3	is	_	VBZ	VBZ	_	4	auxpass	_	_
4	located	_	VBN	VBN	_	0	root	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	9	det	_	_
7	large	_	JJ	JJ	_	9	amod	_	_
8	hispanic	_	JJ	JJ	_	9	amod	_	_
9	neigborhood	_	NN	NN	_	5	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	were	_	VBD	VBD	_	3	cop	_	_
3	uncomfortable	_	JJ	JJ	_	0	root	_	_
4	at	_	IN	IN	_	3	prep	_	_
5	first	_	JJ	JJ	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	but	_	CC	CC	_	3	cc	_	_
8	realized	_	VBD	VBD	_	3	conj	_	_
9	it	_	PRP	PRP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	safe	_	JJ	JJ	_	8	ccomp	_	_
12	at	_	IN	IN	_	11	prep	_	_
13	all	_	DT	DT	_	14	det	_	_
14	times	_	NNS	NNS	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	clean	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	beds	_	NNS	NNS	_	8	dep	_	_
8	comfortable	_	JJ	JJ	_	4	parataxis	_	_
9	,	_	,	,	_	0	erased	_	_
10	the	_	DT	DT	_	11	det	_	_
11	staff	_	NN	NN	_	20	dep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	friendliest	_	NN	NN	_	11	dep	_	_
14	and	_	CC	CC	_	11	cc	_	_
15	most	_	RBS	RBS	_	16	advmod	_	_
16	helpful	_	JJ	JJ	_	11	conj	_	_
17	I	_	PRP	PRP	_	20	nsubj	_	_
18	have	_	VBP	VBP	_	20	aux	_	_
19	ever	_	RB	RB	_	20	advmod	_	_
