1	5	_	CD	CD	_	2	num	_	_
2	stars	_	NNS	NNS	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	an	_	DT	DT	_	7	det	_	_
5	overall	_	JJ	JJ	_	7	amod	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	experience	_	NN	NN	_	3	pobj	_	_
8	!	_	.	.	_	0	erased	_	_

1	Started	_	VBN	VBN	_	0	root	_	_
2	out	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	trip	_	NN	NN	_	2	pobj	_	_
5	with	_	IN	IN	_	1	prep	_	_
6	a	_	DT	DT	_	8	det	_	_
7	free	_	JJ	JJ	_	8	amod	_	_
8	shuttle	_	NN	NN	_	5	pobj	_	_
9	to	_	TO	TO	_	1	prep	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	from	_	IN	IN	_	9	conj	_	_
12	O'hare	_	NNP	NNP	_	13	nn	_	_
13	airport	_	NN	NN	_	9	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Shuttle	_	JJ	JJ	_	2	amod	_	_
2	drivers	_	NNS	NNS	_	5	nsubj	_	_
3	were	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	nice	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	accommodating	_	NN	NN	_	5	dep	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	professional	_	NN	NN	_	7	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	arrived	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	was	_	VBD	VBD	_	8	auxpass	_	_
8	greeted	_	VBN	VBN	_	2	conj	_	_
9	with	_	IN	IN	_	8	prep	_	_
10	friendly	_	JJ	JJ	_	11	amod	_	_
11	staff	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	clean	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	comfortable	_	JJ	JJ	_	4	conj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	housekeeping	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	excellent	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	took	_	VBD	VBD	_	4	conj	_	_
7	extra	_	JJ	JJ	_	8	amod	_	_
8	time	_	NN	NN	_	6	dobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	organize	_	VB	VB	_	6	vmod	_	_
11	our	_	PRP$	PRP$	_	12	poss	_	_
12	toiletries	_	NNS	NNS	_	10	dobj	_	_
13	in	_	IN	IN	_	10	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	bathroom	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
