1	Hello	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	My	_	PRP$	PRP$	_	4	poss	_	_
4	family	_	NN	NN	_	7	nsubj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	I	_	PRP	PRP	_	4	conj	_	_
7	visited	_	VBD	VBD	_	0	root	_	_
8	your	_	PRP$	PRP$	_	10	poss	_	_
9	wonderful	_	JJ	JJ	_	10	amod	_	_
10	city	_	NN	NN	_	7	dobj	_	_
11	over	_	IN	IN	_	7	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	Easter	_	NNP	NNP	_	14	nn	_	_
14	weekend	_	NN	NN	_	11	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	on	_	IN	IN	_	0	root	_	_
2	Saturday	_	NNP	NNP	_	1	pobj	_	_
3	April	_	NNP	NNP	_	2	dep	_	_
4	3	_	CD	CD	_	3	num	_	_
5	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	started	_	VBD	VBD	_	0	root	_	_
3	with	_	IN	IN	_	2	prep	_	_
4	your	_	PRP$	PRP$	_	5	poss	_	_
5	hop	_	NN	NN	_	3	pobj	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	hop	_	NN	NN	_	6	pobj	_	_
8	off	_	IN	IN	_	2	prep	_	_
9	tour	_	NN	NN	_	8	pobj	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	we	_	PRP	PRP	_	13	nsubj	_	_
12	first	_	RB	RB	_	13	advmod	_	_
13	got	_	VBD	VBD	_	2	conj	_	_
14	on	_	IN	IN	_	13	prep	_	_
15	a	_	DT	DT	_	17	det	_	_
16	double	_	JJ	JJ	_	17	amod	_	_
17	decker	_	NN	NN	_	14	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	and	_	CC	CC	_	2	cc	_	_
20	it	_	PRP	PRP	_	22	nsubj	_	_
21	was	_	VBD	VBD	_	22	cop	_	_
22	fun	_	NN	NN	_	2	conj	_	_
23	and	_	CC	CC	_	22	cc	_	_
24	the	_	DT	DT	_	25	det	_	_
25	guide	_	NN	NN	_	26	nsubj	_	_
26	gave	_	VBD	VBD	_	22	conj	_	_
27	some	_	DT	DT	_	30	det	_	_
28	really	_	RB	RB	_	29	advmod	_	_
29	good	_	JJ	JJ	_	30	amod	_	_
30	information	_	NN	NN	_	26	dobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	4	cc	_	_
2	then	_	RB	RB	_	4	advmod	_	_
3	we	_	PRP	PRP	_	4	nsubj	_	_
4	got	_	VBD	VBD	_	0	root	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	trolley	_	NN	NN	_	5	pobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	our	_	PRP$	PRP$	_	10	poss	_	_
10	day	_	NN	NN	_	7	conj	_	_
11	CHANGED	_	VBN	VBN	_	10	vmod	_	_
12	COMPLETELY	_	JJ	JJ	_	11	acomp	_	_
