1	My	_	PRP$	PRP$	_	2	poss	_	_
2	stay	_	NN	NN	_	8	nsubj	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	6	det	_	_
5	Ambassador	_	NNP	NNP	_	6	nn	_	_
6	East	_	NNP	NNP	_	3	pobj	_	_
7	was	_	VBD	VBD	_	8	cop	_	_
8	great	_	JJ	JJ	_	0	root	_	_
9	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	3	nsubj	_	_
3	is	_	VBZ	VBZ	_	0	root	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	location	_	NN	NN	_	4	pobj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	13	det	_	_
10	charming	_	JJ	JJ	_	13	amod	_	_
11	Gold	_	NNP	NNP	_	13	nn	_	_
12	Coast	_	NNP	NNP	_	13	nn	_	_
13	neighborhood	_	NN	NN	_	8	pobj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	downtown	_	JJ	JJ	_	16	amod	_	_
16	Chicago	_	NNP	NNP	_	14	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Gave	_	VB	VB	_	0	root	_	_
2	me	_	PRP	PRP	_	1	dobj	_	_
3	the	_	DT	DT	_	4	det	_	_
4	feeling	_	NN	NN	_	1	nsubj	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	staying	_	VBG	VBG	_	5	pcomp	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	10	det	_	_
9	Chicago	_	NNP	NNP	_	10	nn	_	_
10	neighborhood	_	NN	NN	_	7	pobj	_	_
11	vs.	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	concrete	_	JJ	JJ	_	14	amod	_	_
14	jungle	_	NN	NN	_	11	pobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	downtown	_	NN	NN	_	15	pobj	_	_
17	,	_	,	,	_	0	erased	_	_
18	but	_	CC	CC	_	1	cc	_	_
19	the	_	DT	DT	_	21	det	_	_
20	Magnificent	_	NNP	NNP	_	21	nn	_	_
21	Mile	_	NNP	NNP	_	25	nsubj	_	_
22	and	_	CC	CC	_	21	cc	_	_
23	Rush	_	NNP	NNP	_	24	nn	_	_
24	Street	_	NNP	NNP	_	21	conj	_	_
25	are	_	VBP	VBP	_	1	conj	_	_
26	just	_	RB	RB	_	28	quantmod	_	_
27	a	_	DT	DT	_	28	quantmod	_	_
28	few	_	JJ	JJ	_	29	num	_	_
29	blocks	_	NNS	NNS	_	30	npadvmod	_	_
30	from	_	IN	IN	_	25	prep	_	_
31	the	_	DT	DT	_	33	det	_	_
32	front	_	JJ	JJ	_	33	amod	_	_
33	door	_	NN	NN	_	30	pobj	_	_
34	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	friendly	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	Also	_	RB	RB	_	4	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	really	_	RB	RB	_	4	advmod	_	_
4	enjoyed	_	VBD	VBD	_	0	root	_	_
5	having	_	VBG	VBG	_	4	xcomp	_	_
6	drinks	_	NNS	NNS	_	5	dobj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	11	det	_	_
9	historic	_	JJ	JJ	_	11	amod	_	_
10	Pump	_	NNP	NNP	_	11	nn	_	_
11	Room	_	NNP	NNP	_	7	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	live	_	JJ	JJ	_	5	amod	_	_
5	band	_	NN	NN	_	2	dobj	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	Saturday	_	NNP	NNP	_	6	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	2	cc	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	really	_	RB	RB	_	12	advmod	_	_
12	enjoyed	_	VBD	VBD	_	2	conj	_	_
13	looking	_	VBG	VBG	_	12	xcomp	_	_
14	at	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	16	det	_	_
16	pictures	_	NNS	NNS	_	14	pobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	celebrities	_	NNS	NNS	_	17	pobj	_	_
20	throughout	_	IN	IN	_	13	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	lounge	_	NN	NN	_	20	pobj	_	_
23	that	_	WDT	WDT	_	24	nsubj	_	_
24	visited	_	VBD	VBD	_	22	rcmod	_	_
25	from	_	IN	IN	_	24	prep	_	_
26	years	_	NNS	NNS	_	25	pobj	_	_
27	gone	_	VBN	VBN	_	26	vmod	_	_
28	by	_	IN	IN	_	27	prep	_	_
29	.	_	.	.	_	0	erased	_	_

1	Definitely	_	NNP	NNP	_	2	nsubj	_	_
2	recommend	_	VBP	VBP	_	0	root	_	_
3	it	_	PRP	PRP	_	2	dobj	_	_
4	.	_	.	.	_	0	erased	_	_

