1	Wow	_	UH	UH	_	8	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	8	nsubj	_	_
4	really	_	RB	RB	_	8	advmod	_	_
5	could	_	MD	MD	_	8	aux	_	_
6	not	_	RB	RB	_	8	neg	_	_
7	have	_	VB	VB	_	8	aux	_	_
8	had	_	VBN	VBN	_	0	root	_	_
9	a	_	DT	DT	_	11	det	_	_
10	better	_	JJR	JJR	_	11	amod	_	_
11	experience	_	NN	NN	_	8	dobj	_	_
12	with	_	IN	IN	_	8	prep	_	_
13	this	_	DT	DT	_	14	det	_	_
14	company	_	NN	NN	_	12	pobj	_	_
15	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	wanted	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	do	_	VB	VB	_	2	xcomp	_	_
5	something	_	NN	NN	_	4	dobj	_	_
6	out	_	RP	RP	_	4	prt	_	_
7	of	_	IN	IN	_	4	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	ordinary	_	JJ	JJ	_	7	pobj	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	my	_	PRP$	PRP$	_	13	poss	_	_
12	27th	_	JJ	JJ	_	13	amod	_	_
13	birthday	_	NN	NN	_	10	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	so	_	RB	RB	_	2	advmod	_	_
16	why	_	WRB	WRB	_	17	advmod	_	_
17	not	_	RB	RB	_	18	advmod	_	_
18	attempt	_	NN	NN	_	2	parataxis	_	_
19	to	_	TO	TO	_	18	prep	_	_
20	contact	_	NN	NN	_	21	nn	_	_
21	ghosts	_	NNS	NNS	_	19	pobj	_	_
22	?	_	.	.	_	0	erased	_	_

1	From	_	IN	IN	_	12	prep	_	_
2	start	_	NN	NN	_	1	pobj	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	finish	_	VB	VB	_	2	vmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	working	_	VBG	VBG	_	12	csubj	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	Karen	_	NNP	NNP	_	7	pobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	organize	_	VB	VB	_	6	xcomp	_	_
11	everything	_	NN	NN	_	10	dobj	_	_
12	went	_	VBD	VBD	_	0	root	_	_
13	seemlessly	_	RB	RB	_	12	advmod	_	_
14	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	tell	_	VB	VB	_	0	root	_	_
4	that	_	IN	IN	_	6	mark	_	_
5	she	_	PRP	PRP	_	6	nsubj	_	_
6	loves	_	VBZ	VBZ	_	3	ccomp	_	_
7	what	_	WP	WP	_	9	dobj	_	_
8	she	_	PRP	PRP	_	9	nsubj	_	_
9	does	_	VBZ	VBZ	_	6	ccomp	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	really	_	RB	RB	_	12	advmod	_	_
12	wants	_	VBZ	VBZ	_	9	conj	_	_
13	every	_	DT	DT	_	14	det	_	_
14	customer	_	NN	NN	_	12	dobj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	get	_	VB	VB	_	14	vmod	_	_
