1	5	_	CD	CD	_	2	num	_	_
2	Stars	_	NNS	NNS	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	9	det	_	_
5	Rental	_	JJ	JJ	_	9	amod	_	_
6	Car	_	NN	NN	_	9	nn	_	_
7	Company	_	NNP	NNP	_	9	nn	_	_
8	?	_	.	.	_	0	erased	_	_
9	Well	_	NNP	NNP	_	3	pobj	_	_
10	...	_	:	:	_	0	erased	_	_
11	yes	_	RB	RB	_	2	dep	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	travel	_	VBP	VBP	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	lot	_	NN	NN	_	2	dobj	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	business	_	NN	NN	_	5	pobj	_	_
7	so	_	IN	IN	_	42	mark	_	_
8	when	_	WRB	WRB	_	20	advmod	_	_
9	a	_	DT	DT	_	12	det	_	_
10	rental	_	JJ	JJ	_	12	amod	_	_
11	car	_	NN	NN	_	12	nn	_	_
12	company	_	NN	NN	_	20	nsubj	_	_
13	,	_	,	,	_	0	erased	_	_
14	hotel	_	NN	NN	_	12	appos	_	_
15	,	_	,	,	_	0	erased	_	_
16	airline	_	NN	NN	_	14	appos	_	_
17	,	_	,	,	_	0	erased	_	_
18	etc.	_	FW	FW	_	14	dep	_	_
19	,	_	,	,	_	0	erased	_	_
20	goes	_	VBZ	VBZ	_	42	advcl	_	_
21	above	_	IN	IN	_	20	prep	_	_
22	and	_	CC	CC	_	21	cc	_	_
23	beyond	_	IN	IN	_	21	conj	_	_
24	the	_	DT	DT	_	25	det	_	_
25	average	_	NN	NN	_	21	pobj	_	_
26	,	_	,	,	_	0	erased	_	_
27	or	_	CC	CC	_	20	cc	_	_
28	is	_	VBZ	VBZ	_	30	cop	_	_
29	so	_	RB	RB	_	30	advmod	_	_
30	notable	_	JJ	JJ	_	20	conj	_	_
31	that	_	IN	IN	_	33	mark	_	_
32	I	_	PRP	PRP	_	33	nsubj	_	_
33	remember	_	VBP	VBP	_	30	ccomp	_	_
34	to	_	TO	TO	_	35	aux	_	_
35	tell	_	VB	VB	_	33	xcomp	_	_
36	other	_	JJ	JJ	_	37	amod	_	_
37	people	_	NNS	NNS	_	35	dobj	_	_
38	about	_	IN	IN	_	35	prep	_	_
39	it	_	PRP	PRP	_	38	pobj	_	_
40	,	_	,	,	_	0	erased	_	_
41	that	_	DT	DT	_	42	nsubj	_	_
42	warrants	_	VBZ	VBZ	_	2	advcl	_	_
43	a	_	DT	DT	_	45	det	_	_
44	great	_	JJ	JJ	_	45	amod	_	_
45	review	_	NN	NN	_	42	dobj	_	_
46	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	rented	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	car	_	NN	NN	_	2	dobj	_	_
5	last	_	JJ	JJ	_	6	amod	_	_
6	month	_	NN	NN	_	2	tmod	_	_
7	from	_	IN	IN	_	2	prep	_	_
8	the	_	DT	DT	_	11	det	_	_
9	Chicago	_	NNP	NNP	_	11	nn	_	_
10	O'Hare	_	NNP	NNP	_	11	nn	_	_
11	location	_	NN	NN	_	7	pobj	_	_
