1	Wow	_	UH	UH	_	2	discourse	_	_
2	nicest	_	VB	VB	_	0	root	_	_
3	agency	_	NN	NN	_	2	dobj	_	_
4	for	_	IN	IN	_	2	prep	_	_
5	getting	_	VBG	VBG	_	4	pcomp	_	_
6	your	_	PRP$	PRP$	_	7	poss	_	_
7	documents	_	NNS	NNS	_	5	dobj	_	_
8	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	0	root	_	_
3	5	_	CD	CD	_	4	num	_	_
4	hours	_	NNS	NNS	_	2	dobj	_	_
5	away	_	RB	RB	_	2	advmod	_	_
6	,	_	,	,	_	0	erased	_	_
7	when	_	WRB	WRB	_	9	advmod	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	planned	_	VBD	VBD	_	2	advcl	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	trip	_	NN	NN	_	9	dobj	_	_
12	I	_	PRP	PRP	_	14	nsubj	_	_
13	only	_	RB	RB	_	14	advmod	_	_
14	left	_	VBD	VBD	_	9	dep	_	_
15	30mins	_	NNS	NNS	_	14	dobj	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	spare	_	VB	VB	_	14	vmod	_	_
18	.	_	.	.	_	0	erased	_	_

1	Huge	_	JJ	JJ	_	2	amod	_	_
2	mistake	_	NN	NN	_	10	nsubj	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	did	_	VBD	VBD	_	6	aux	_	_
5	not	_	RB	RB	_	6	neg	_	_
6	factor	_	VB	VB	_	2	rcmod	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	morning	_	NN	NN	_	9	nn	_	_
9	traffic	_	NN	NN	_	7	pobj	_	_
10	spent	_	VBD	VBD	_	0	root	_	_
11	about	_	RB	RB	_	12	quantmod	_	_
12	1h30min	_	CD	CD	_	10	dobj	_	_
13	in	_	IN	IN	_	10	prep	_	_
14	traffic	_	NN	NN	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	frustrated	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	was	_	VBD	VBD	_	7	aux	_	_
7	about	_	IN	IN	_	4	conj	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	turn	_	VB	VB	_	7	xcomp	_	_
10	around	_	RB	RB	_	9	advmod	_	_
11	but	_	CC	CC	_	13	cc	_	_
12	I	_	PRP	PRP	_	13	nsubj	_	_
13	'm	_	VBP	VBP	_	9	parataxis	_	_
14	like	_	IN	IN	_	16	mark	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	traveled	_	VBD	VBD	_	13	advcl	_	_
17	4hours	_	CD	CD	_	16	dobj	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	just	_	RB	RB	_	17	advmod	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	turn	_	VB	VB	_	16	vmod	_	_
22	around	_	RP	RP	_	21	prt	_	_
23	,	_	,	,	_	0	erased	_	_
24	the	_	DT	DT	_	25	det	_	_
25	worst	_	JJS	JJS	_	13	dep	_	_
26	they	_	PRP	PRP	_	28	nsubj	_	_
27	could	_	MD	MD	_	28	aux	_	_
28	do	_	VB	VB	_	25	rcmod	_	_
29	is	_	VBZ	VBZ	_	28	ccomp	_	_
30	say	_	VB	VB	_	31	dep	_	_
31	no	_	RB	RB	_	29	advmod	_	_
32	.	_	.	.	_	0	erased	_	_
33	if	_	IN	IN	_	43	mark	_	_
34	so	_	RB	RB	_	38	advmod	_	_
35	I	_	PRP	PRP	_	38	nsubj	_	_
36	'll	_	MD	MD	_	38	aux	_	_
37	just	_	RB	RB	_	38	advmod	_	_
38	have	_	VB	VB	_	43	dep	_	_
39	some	_	DT	DT	_	41	det	_	_
40	chicago	_	NNP	NNP	_	41	nn	_	_
41	pizza	_	NN	NN	_	38	dobj	_	_
42	,	_	,	,	_	0	erased	_	_
43	relax	_	VB	VB	_	9	advcl	_	_
44	then	_	RB	RB	_	43	advmod	_	_
45	drive	_	VB	VB	_	43	dep	_	_
46	home	_	NN	NN	_	45	dobj	_	_
47	.	_	.	.	_	0	erased	_	_

1	So	_	IN	IN	_	4	dep	_	_
2	my	_	PRP$	PRP$	_	3	poss	_	_
3	appointment	_	NN	NN	_	4	nsubj	_	_
4	was	_	VBD	VBD	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	8:30	_	CD	CD	_	5	pobj	_	_
7	am	_	RB	RB	_	6	advmod	_	_
8	after	_	IN	IN	_	4	prep	_	_
9	traffic	_	NN	NN	_	19	nsubj	_	_
10	,	_	,	,	_	0	erased	_	_
11	parking	_	NN	NN	_	9	appos	_	_
12	,	_	,	,	_	0	erased	_	_
13	security	_	NN	NN	_	14	nn	_	_
14	screening	_	NN	NN	_	11	appos	_	_
15	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
16	10min	_	NNP	NNP	_	14	appos	_	_
17	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
18	,	_	,	,	_	0	erased	_	_
19	waiting	_	VBG	VBG	_	8	pcomp	_	_
20	in	_	IN	IN	_	19	prep	_	_
21	line	_	NN	NN	_	20	pobj	_	_
22	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
23	5min	_	NNP	NNP	_	21	appos	_	_
24	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
25	it	_	PRP	PRP	_	28	nsubj	_	_
26	was	_	VBD	VBD	_	28	cop	_	_
27	10:12	_	CD	CD	_	28	number	_	_
28	am	_	CD	CD	_	21	rcmod	_	_
29	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	gave	_	VBD	VBD	_	11	ccomp	_	_
3	her	_	PRP	PRP	_	2	iobj	_	_
4	my	_	PRP$	PRP$	_	6	poss	_	_
5	confirmation	_	NN	NN	_	6	nn	_	_
6	number	_	NN	NN	_	2	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	she	_	PRP	PRP	_	11	nsubj	_	_
9	did	_	VBD	VBD	_	11	aux	_	_
10	not	_	RB	RB	_	11	neg	_	_
11	say	_	VB	VB	_	0	root	_	_
12	anything	_	NN	NN	_	11	dobj	_	_
13	about	_	IN	IN	_	11	prep	_	_
14	being	_	VBG	VBG	_	15	cop	_	_
15	late	_	JJ	JJ	_	13	pcomp	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	brought	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	6	det	_	_
