1	Wow	_	UH	UH	_	6	discourse	_	_
2	.	_	.	.	_	0	erased	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	've	_	VBP	VBP	_	6	aux	_	_
5	been	_	VBN	VBN	_	6	aux	_	_
6	going	_	VBG	VBG	_	0	root	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	Devon	_	NNP	NNP	_	9	nn	_	_
9	Street	_	NNP	NNP	_	7	pobj	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	several	_	JJ	JJ	_	12	amod	_	_
12	years	_	NNS	NNS	_	10	pobj	_	_
13	and	_	CC	CC	_	6	cc	_	_
14	thought	_	VBD	VBD	_	6	conj	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	knew	_	VBD	VBD	_	14	ccomp	_	_
17	everything	_	NN	NN	_	16	dobj	_	_
18	about	_	IN	IN	_	17	prep	_	_
19	...	_	:	:	_	0	erased	_	_
20	ok	_	NN	NN	_	18	pobj	_	_
21	,	_	,	,	_	0	erased	_	_
22	somewhat	_	RB	RB	_	20	advmod	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	joined	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	friend	_	NN	NN	_	2	dobj	_	_
5	for	_	IN	IN	_	2	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	Spice	_	NN	NN	_	5	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	Life	_	NNP	NNP	_	10	nn	_	_
10	Tour	_	NNP	NNP	_	8	pobj	_	_
11	and	_	CC	CC	_	2	cc	_	_
12	found	_	VBD	VBD	_	2	conj	_	_
13	that	_	IN	IN	_	15	mark	_	_
14	there	_	EX	EX	_	15	expl	_	_
15	was	_	VBD	VBD	_	12	ccomp	_	_
16	much	_	RB	RB	_	17	advmod	_	_
17	more	_	JJR	JJR	_	15	acomp	_	_
18	than	_	IN	IN	_	20	mark	_	_
19	I	_	PRP	PRP	_	20	nsubj	_	_
20	expected	_	VBD	VBD	_	17	ccomp	_	_
21	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	group	_	NN	NN	_	3	nsubj	_	_
3	met	_	VBD	VBD	_	0	root	_	_
4	at	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	Book/Media	_	NNP	NNP	_	7	nn	_	_
7	store	_	NN	NN	_	4	pobj	_	_
8	that	_	WDT	WDT	_	9	nsubj	_	_
9	gives	_	VBZ	VBZ	_	7	rcmod	_	_
10	you	_	PRP	PRP	_	9	iobj	_	_
11	the	_	DT	DT	_	12	det	_	_
12	option	_	NN	NN	_	9	dobj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	get	_	VB	VB	_	12	vmod	_	_
15	an	_	DT	DT	_	16	det	_	_
16	idea	_	NN	NN	_	14	dobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	Indian/Pakistan	_	NNP	NNP	_	19	nn	_	_
19	culture	_	NN	NN	_	17	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	guide	_	NN	NN	_	7	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	Ali	_	NNP	NNP	_	3	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	gives	_	VBZ	VBZ	_	0	root	_	_
8	a	_	DT	DT	_	10	det	_	_
9	brief	_	JJ	JJ	_	10	amod	_	_
10	taste	_	NN	NN	_	7	dobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	some	_	DT	DT	_	13	det	_	_
13	food	_	NN	NN	_	11	pobj	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	drinks	_	NNS	NNS	_	13	conj	_	_
16	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friend	_	NN	NN	_	3	nsubj	_	_
3	received	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	6	det	_	_
5	Henna	_	NNP	NNP	_	6	nn	_	_
6	Tattoo	_	NNP	NNP	_	3	dobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	which	_	WDT	WDT	_	11	nsubj	_	_
9	was	_	VBD	VBD	_	11	cop	_	_
10	really	_	RB	RB	_	11	advmod	_	_
11	cool	_	JJ	JJ	_	6	rcmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	tour	_	NN	NN	_	3	nsubj	_	_
3	goes	_	VBZ	VBZ	_	0	root	_	_
4	through	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	few	_	JJ	JJ	_	7	amod	_	_
7	restaurants	_	NNS	NNS	_	4	pobj	_	_
8	to	_	TO	TO	_	3	prep	_	_
9	sample	_	NN	NN	_	11	nn	_	_
10	various	_	JJ	JJ	_	11	amod	_	_
11	foods	_	NNS	NNS	_	8	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	love	_	VBP	VBP	_	0	root	_	_
3	Indian	_	JJ	JJ	_	4	amod	_	_
4	food	_	NN	NN	_	2	dobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	not	_	RB	RB	_	7	neg	_	_
7	afraid	_	JJ	JJ	_	2	conj	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	try	_	VB	VB	_	7	xcomp	_	_
10	something	_	NN	NN	_	9	dobj	_	_
11	new	_	JJ	JJ	_	10	amod	_	_
12	.	_	.	.	_	0	erased	_	_

1	However	_	RB	RB	_	14	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	if	_	IN	IN	_	7	mark	_	_
4	you	_	PRP	PRP	_	7	nsubj	_	_
5	've	_	VBP	VBP	_	7	aux	_	_
6	never	_	RB	RB	_	7	neg	_	_
7	had	_	VBN	VBN	_	14	advcl	_	_
8	it	_	PRP	PRP	_	7	dobj	_	_
9	before	_	RB	RB	_	7	advmod	_	_
10	it	_	PRP	PRP	_	14	nsubj	_	_
11	can	_	MD	MD	_	14	aux	_	_
12	be	_	VB	VB	_	14	cop	_	_
13	rather	_	RB	RB	_	14	advmod	_	_
14	confusing	_	JJ	JJ	_	0	root	_	_
15	on	_	IN	IN	_	14	prep	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	try	_	VB	VB	_	14	xcomp	_	_
18	.	_	.	.	_	0	erased	_	_

1	Ali	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	helpful	_	JJ	JJ	_	0	root	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	explaining	_	VBG	VBG	_	5	pcomp	_	_
7	what	_	WP	WP	_	14	pobj	_	_
8	some	_	DT	DT	_	13	nsubjpass	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	foods	_	NNS	NNS	_	9	pobj	_	_
