1	OK	_	UH	UH	_	11	discourse	_	_
2	.	_	.	.	_	0	erased	_	_
3	So	_	RB	RB	_	11	advmod	_	_
4	,	_	,	,	_	0	erased	_	_
5	thanks	_	NNS	NNS	_	11	nsubj	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	Yelp	_	NNP	NNP	_	6	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	I	_	PRP	PRP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	able	_	JJ	JJ	_	0	root	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	get	_	VB	VB	_	11	xcomp	_	_
14	the	_	DT	DT	_	15	det	_	_
15	ladies	_	NNS	NNS	_	13	dobj	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	town	_	NN	NN	_	16	pobj	_	_
18	during	_	IN	IN	_	13	prep	_	_
19	Lolla	_	NNP	NNP	_	20	nn	_	_
20	weekend	_	NN	NN	_	18	pobj	_	_
21	for	_	IN	IN	_	13	prep	_	_
22	one	_	CD	CD	_	21	pobj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	their	_	PRP$	PRP$	_	26	poss	_	_
25	bachelorette	_	JJ	JJ	_	26	amod	_	_
26	's	_	NNS	NNS	_	23	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	9	cc	_	_
2	,	_	,	,	_	0	erased	_	_
3	despite	_	IN	IN	_	9	prep	_	_
4	already	_	RB	RB	_	6	advmod	_	_
5	being	_	VBG	VBG	_	6	auxpass	_	_
6	overbooked	_	VBN	VBN	_	3	pcomp	_	_
7	,	_	,	,	_	0	erased	_	_
8	they	_	PRP	PRP	_	9	nsubj	_	_
9	accommodated	_	VBZ	VBZ	_	0	root	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	plea	_	NN	NN	_	9	dobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	pick	_	VB	VB	_	11	vmod	_	_
14	up	_	RP	RP	_	13	prt	_	_
15	the	_	DT	DT	_	16	det	_	_
16	ladies	_	NNS	NNS	_	13	dobj	_	_
17	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
18	of	_	IN	IN	_	13	dep	_	_
19	course	_	NN	NN	_	18	pobj	_	_
20	,	_	,	,	_	0	erased	_	_
21	who	_	WP	WP	_	23	nsubj	_	_
22	were	_	VBD	VBD	_	23	aux	_	_
23	traveling	_	VBG	VBG	_	19	rcmod	_	_
24	to	_	TO	TO	_	23	prep	_	_
25	Midway	_	NNP	NNP	_	24	pobj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	Ohare	_	NNP	NNP	_	25	conj	_	_
28	,	_	,	,	_	0	erased	_	_
29	at	_	IN	IN	_	23	prep	_	_
30	all	_	DT	DT	_	31	det	_	_
31	hours	_	NNS	NNS	_	29	pobj	_	_
32	of	_	IN	IN	_	31	prep	_	_
33	the	_	DT	DT	_	34	det	_	_
34	night	_	NN	NN	_	32	pobj	_	_
35	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
36	,	_	,	,	_	0	erased	_	_
37	and	_	CC	CC	_	13	cc	_	_
38	save	_	VB	VB	_	13	conj	_	_
39	me	_	PRP	PRP	_	38	iobj	_	_
40	about	_	RB	RB	_	41	quantmod	_	_
41	5	_	CD	CD	_	42	num	_	_
42	hours	_	NNS	NNS	_	38	dobj	_	_
43	of	_	IN	IN	_	42	prep	_	_
44	a	_	DT	DT	_	45	det	_	_
45	migraine	_	NN	NN	_	43	pobj	_	_
46	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	one	_	CD	CD	_	5	num	_	_
4	more	_	JJR	JJR	_	5	amod	_	_
5	reservation	_	NN	NN	_	2	dobj	_	_
6	left	_	VBN	VBN	_	5	vmod	_	_
7	on	_	IN	IN	_	6	prep	_	_
8	my	_	PRP$	PRP$	_	10	poss	_	_
9	Yelp	_	NNP	NNP	_	10	nn	_	_
10	deal	_	NN	NN	_	7	pobj	_	_
11	--	_	:	:	_	0	erased	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	keep	_	VB	VB	_	6	ccomp	_	_
14	up	_	RP	RP	_	13	prt	_	_
15	the	_	DT	DT	_	17	det	_	_
16	good	_	JJ	JJ	_	17	amod	_	_
17	work	_	NN	NN	_	13	dobj	_	_
18	!	_	.	.	_	0	erased	_	_

