1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	use	_	VBP	VBP	_	11	dep	_	_
6	this	_	DT	DT	_	7	det	_	_
7	company	_	NN	NN	_	5	iobj	_	_
8	every	_	DT	DT	_	9	det	_	_
9	time	_	NN	NN	_	5	dobj	_	_
10	we	_	PRP	PRP	_	11	nsubj	_	_
11	fly	_	VBP	VBP	_	0	root	_	_
12	out	_	RP	RP	_	11	prt	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	Midway	_	NNP	NNP	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	never	_	RB	RB	_	2	neg	_	_
4	a	_	DT	DT	_	5	det	_	_
5	problem	_	NN	NN	_	2	nsubj	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	parking	_	VBG	VBG	_	6	pcomp	_	_
8	the	_	DT	DT	_	9	det	_	_
9	car	_	NN	NN	_	7	dobj	_	_
10	to	_	TO	TO	_	7	prep	_	_
11	final	_	JJ	JJ	_	12	amod	_	_
12	pick-up	_	NN	NN	_	10	pobj	_	_
13	from	_	IN	IN	_	7	prep	_	_
14	airport	_	NN	NN	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	always	_	RB	RB	_	5	advmod	_	_
5	friendly	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	helpful	_	JJ	JJ	_	5	conj	_	_
8	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	honestly	_	RB	RB	_	5	advmod	_	_
3	would	_	MD	MD	_	5	aux	_	_
4	not	_	RB	RB	_	5	neg	_	_
5	park	_	VB	VB	_	0	root	_	_
6	anywhere	_	RB	RB	_	7	advmod	_	_
7	else	_	RB	RB	_	5	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	In	_	IN	IN	_	5	prep	_	_
2	addition	_	NN	NN	_	1	pobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	there	_	EX	EX	_	5	expl	_	_
5	is	_	VBZ	VBZ	_	0	root	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	comfort	_	NN	NN	_	5	nsubj	_	_
8	knowing	_	VBG	VBG	_	7	vmod	_	_
9	the	_	DT	DT	_	10	det	_	_
10	car	_	NN	NN	_	12	nsubj	_	_
11	is	_	VBZ	VBZ	_	12	cop	_	_
12	safe	_	JJ	JJ	_	8	ccomp	_	_
13	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	6	nsubj	_	_
2	is	_	VBZ	VBZ	_	6	cop	_	_
3	always	_	RB	RB	_	6	advmod	_	_
4	one	_	CD	CD	_	6	num	_	_
5	less	_	JJR	JJR	_	6	amod	_	_
6	thing	_	NN	NN	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	worry	_	VB	VB	_	6	vmod	_	_
9	about	_	RP	RP	_	8	prt	_	_
10	before	_	IN	IN	_	8	prep	_	_
11	stepping	_	VBG	VBG	_	10	pcomp	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	14	det	_	_
14	plane	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Keep	_	VB	VB	_	14	ccomp	_	_
2	the	_	DT	DT	_	4	det	_	_
3	yellow	_	JJ	JJ	_	4	amod	_	_
4	card	_	NN	NN	_	1	dobj	_	_
5	you	_	PRP	PRP	_	7	nsubjpass	_	_
6	are	_	VBP	VBP	_	7	auxpass	_	_
7	given	_	VBN	VBN	_	1	dep	_	_
8	when	_	WRB	WRB	_	10	advmod	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	park	_	VB	VB	_	7	advcl	_	_
11	.	_	.	.	_	0	erased	_	_
12	It	_	PRP	PRP	_	14	nsubj	_	_
13	has	_	VBZ	VBZ	_	14	aux	_	_
14	on	_	IN	IN	_	0	root	_	_
15	it	_	PRP	PRP	_	14	pobj	_	_
16	the	_	DT	DT	_	18	det	_	_
17	space	_	NN	NN	_	18	nn	_	_
18	number	_	NN	NN	_	15	dep	_	_
19	.	_	.	.	_	0	erased	_	_

1	Without	_	IN	IN	_	6	prep	_	_
2	it	_	PRP	PRP	_	1	pobj	_	_
3	the	_	DT	DT	_	4	det	_	_
4	driver	_	NN	NN	_	6	nsubj	_	_
5	still	_	RB	RB	_	6	advmod	_	_
6	helps	_	VBZ	VBZ	_	0	root	_	_
7	you	_	PRP	PRP	_	8	nsubj	_	_
8	locate	_	VB	VB	_	6	ccomp	_	_
9	the	_	DT	DT	_	10	det	_	_
10	car	_	NN	NN	_	8	dobj	_	_
11	but	_	CC	CC	_	6	cc	_	_
12	it	_	PRP	PRP	_	13	nsubj	_	_
13	takes	_	VBZ	VBZ	_	6	conj	_	_
14	a	_	DT	DT	_	15	det	_	_
15	lot	_	RB	RB	_	16	npadvmod	_	_
16	longer	_	RBR	RBR	_	13	advmod	_	_
17	then	_	RB	RB	_	20	advmod	_	_
18	if	_	IN	IN	_	20	mark	_	_
19	you	_	PRP	PRP	_	20	nsubj	_	_
20	have	_	VBP	VBP	_	16	advcl	_	_
21	the	_	DT	DT	_	22	det	_	_
22	card	_	NN	NN	_	23	nsubj	_	_
23	ready	_	JJ	JJ	_	20	xcomp	_	_
24	to	_	TO	TO	_	25	aux	_	_
25	give	_	VB	VB	_	23	xcomp	_	_
26	him	_	PRP	PRP	_	25	dobj	_	_
27	.	_	.	.	_	0	erased	_	_

