1	Ok	_	UH	UH	_	4	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	it	_	PRP	PRP	_	4	nsubj	_	_
4	gets	_	VBZ	VBZ	_	0	root	_	_
5	5	_	CD	CD	_	6	num	_	_
6	stars	_	NNS	NNS	_	4	dobj	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	location	_	NN	NN	_	7	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	value	_	NN	NN	_	8	appos	_	_
11	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
12	$	_	$	$	_	10	dep	_	_
13	129	_	CD	CD	_	12	num	_	_
14	Groupon	_	JJ	JJ	_	15	amod	_	_
15	price	_	NN	NN	_	12	dep	_	_
16	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
17	and	_	CC	CC	_	4	cc	_	_
18	the	_	DT	DT	_	22	det	_	_
19	BEST	_	NNP	NNP	_	22	nn	_	_
20	HOTEL	_	NNP	NNP	_	22	nn	_	_
21	BED	_	NNP	NNP	_	22	nn	_	_
22	EVAH	_	NNP	NNP	_	23	nsubj	_	_
23	!!!	_	VBD	VBD	_	4	conj	_	_
24	I	_	PRP	PRP	_	27	nsubj	_	_
25	'm	_	VBP	VBP	_	27	cop	_	_
26	really	_	RB	RB	_	27	advmod	_	_
27	picky	_	JJ	JJ	_	23	ccomp	_	_
28	particularly	_	RB	RB	_	27	advmod	_	_
29	about	_	IN	IN	_	27	prep	_	_
30	the	_	DT	DT	_	32	det	_	_
31	A/C	_	NNP	NNP	_	32	nn	_	_
32	issue	_	NN	NN	_	29	pobj	_	_
33	I	_	PRP	PRP	_	35	nsubj	_	_
34	've	_	VBP	VBP	_	35	aux	_	_
35	read	_	VBN	VBN	_	32	rcmod	_	_
36	about	_	IN	IN	_	35	prep	_	_
37	...	_	:	:	_	0	erased	_	_
38	our	_	PRP$	PRP$	_	39	poss	_	_
39	room	_	NN	NN	_	40	nsubj	_	_
40	has	_	VBZ	VBZ	_	48	dep	_	_
41	afternoon	_	NN	NN	_	40	dobj	_	_
42	facing	_	VBG	VBG	_	41	vmod	_	_
43	sun	_	NN	NN	_	42	dobj	_	_
44	and	_	CC	CC	_	43	cc	_	_
45	Voila	_	NNP	NNP	_	47	nn	_	_
46	,	_	,	,	_	0	erased	_	_
47	A/C	_	NNP	NNP	_	43	conj	_	_
48	worked	_	VBD	VBD	_	4	parataxis	_	_
49	perfectly	_	RB	RB	_	48	advmod	_	_
50	keeping	_	VBG	VBG	_	48	xcomp	_	_
51	us	_	PRP	PRP	_	50	dobj	_	_
52	at	_	IN	IN	_	50	prep	_	_
53	68	_	CD	CD	_	54	num	_	_
54	degrees	_	NNS	NNS	_	52	pobj	_	_
55	even	_	RB	RB	_	60	advmod	_	_
56	though	_	IN	IN	_	60	mark	_	_
57	it	_	PRP	PRP	_	60	nsubj	_	_
58	was	_	VBD	VBD	_	60	cop	_	_
59	moderately	_	RB	RB	_	60	advmod	_	_
60	hot	_	JJ	JJ	_	50	advcl	_	_
61	and	_	CC	CC	_	60	cc	_	_
62	humid	_	JJ	JJ	_	60	conj	_	_
63	outside	_	RB	RB	_	48	nsubj	_	_
64	.	_	.	.	_	0	erased	_	_
65	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	gym	_	NN	NN	_	3	nn	_	_
3	facility	_	NN	NN	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	pretty	_	RB	RB	_	6	advmod	_	_
6	good	_	JJ	JJ	_	0	root	_	_
7	too	_	RB	RB	_	6	advmod	_	_
8	...	_	:	:	_	0	erased	_	_
9	we	_	PRP	PRP	_	10	nsubj	_	_
10	worked	_	VBD	VBD	_	6	parataxis	_	_
11	out	_	RP	RP	_	10	prt	_	_
12	at	_	IN	IN	_	10	prep	_	_
13	1PM	_	CD	CD	_	12	pobj	_	_
14	so	_	IN	IN	_	16	mark	_	_
15	was	_	VBD	VBD	_	16	cop	_	_
16	empty	_	JJ	JJ	_	10	advcl	_	_
17	,	_	,	,	_	0	erased	_	_
18	but	_	CC	CC	_	16	cc	_	_
19	can	_	MD	MD	_	20	aux	_	_
20	imagine	_	VB	VB	_	16	conj	_	_
21	prime	_	JJ	JJ	_	22	amod	_	_
22	time	_	NN	NN	_	25	nsubj	_	_
23	can	_	MD	MD	_	25	aux	_	_
24	get	_	VB	VB	_	25	dep	_	_
25	crowded	_	JJ	JJ	_	20	ccomp	_	_
26	,	_	,	,	_	0	erased	_	_
27	but	_	CC	CC	_	10	cc	_	_
28	it	_	PRP	PRP	_	30	nsubj	_	_
29	was	_	VBD	VBD	_	30	cop	_	_
30	good	_	JJ	JJ	_	10	conj	_	_
31	for	_	IN	IN	_	30	prep	_	_
32	us	_	PRP	PRP	_	31	pobj	_	_
33	...	_	.	.	_	0	erased	_	_

