1	My	_	PRP$	PRP$	_	3	poss	_	_
2	adult	_	JJ	JJ	_	3	amod	_	_
3	son	_	NN	NN	_	6	nsubj	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	I	_	PRP	PRP	_	3	conj	_	_
6	took	_	VBD	VBD	_	0	root	_	_
7	the	_	DT	DT	_	12	det	_	_
8	Frank	_	NNP	NNP	_	12	nn	_	_
9	Lloyd	_	NNP	NNP	_	12	nn	_	_
10	Wright	_	NNP	NNP	_	12	nn	_	_
11	Oak	_	NNP	NNP	_	12	nn	_	_
12	Park	_	NNP	NNP	_	13	nsubj	_	_
13	buss	_	VBZ	VBZ	_	6	ccomp	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	walking	_	VBG	VBG	_	16	amod	_	_
16	tour	_	NN	NN	_	13	conj	_	_
17	yesterday	_	NN	NN	_	16	tmod	_	_
18	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	director	_	NN	NN	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	very	_	RB	RB	_	6	advmod	_	_
6	knowledgable	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	enthusiastic	_	JJ	JJ	_	6	conj	_	_
9	about	_	IN	IN	_	6	prep	_	_
10	Frank	_	NNP	NNP	_	12	nn	_	_
11	Lloyd	_	NNP	NNP	_	12	nn	_	_
12	Wright	_	NNP	NNP	_	9	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	He	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	able	_	JJ	JJ	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	include	_	VB	VB	_	3	xcomp	_	_
6	information	_	NN	NN	_	5	dobj	_	_
7	on	_	IN	IN	_	5	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	architectural	_	JJ	JJ	_	10	amod	_	_
10	ideas	_	NNS	NNS	_	7	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	other	_	JJ	JJ	_	13	amod	_	_
13	architects	_	NNS	NNS	_	10	conj	_	_
14	designing	_	VBG	VBG	_	13	vmod	_	_
15	at	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	time	_	NN	NN	_	15	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	we	_	PRP	PRP	_	3	nsubj	_	_
3	looked	_	VBD	VBD	_	13	advcl	_	_
4	at	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	8	det	_	_
6	Oak	_	NNP	NNP	_	8	nn	_	_
7	Park	_	NNP	NNP	_	8	nn	_	_
8	Wright	_	NNP	NNP	_	4	pobj	_	_
9	designed	_	VBN	VBN	_	8	vmod	_	_
10	homes	_	NNS	NNS	_	9	dobj	_	_
11	he	_	PRP	PRP	_	13	nsubj	_	_
12	could	_	MD	MD	_	13	aux	_	_
13	answer	_	VB	VB	_	0	root	_	_
14	any	_	DT	DT	_	15	det	_	_
15	questions	_	NNS	NNS	_	13	dobj	_	_
16	that	_	IN	IN	_	19	mark	_	_
17	that	_	DT	DT	_	19	nsubjpass	_	_
18	were	_	VBD	VBD	_	19	auxpass	_	_
19	asked	_	VBN	VBN	_	13	ccomp	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	recommend	_	VBP	VBP	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	tour	_	NN	NN	_	2	dobj	_	_
5	to	_	TO	TO	_	2	prep	_	_
6	anyone	_	NN	NN	_	5	pobj	_	_
7	interested	_	VBN	VBN	_	6	vmod	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	Wright.h	_	NNP	NNP	_	8	pobj	_	_

