1	Okay	_	UH	UH	_	5	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	so	_	RB	RB	_	5	advmod	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	heard	_	VBD	VBD	_	0	root	_	_
6	all	_	PDT	PDT	_	8	predet	_	_
7	this	_	DT	DT	_	8	det	_	_
8	talk	_	NN	NN	_	5	dobj	_	_
9	about	_	IN	IN	_	5	prep	_	_
10	the	_	DT	DT	_	14	det	_	_
11	new	_	JJ	JJ	_	14	amod	_	_
12	Westin	_	NNP	NNP	_	14	nn	_	_
13	Hotel	_	NNP	NNP	_	14	nn	_	_
14	restaurant	_	NN	NN	_	9	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	so	_	IN	IN	_	18	mark	_	_
17	I	_	PRP	PRP	_	18	nsubj	_	_
18	decided	_	VBD	VBD	_	5	advcl	_	_
19	to	_	TO	TO	_	20	aux	_	_
20	go	_	VB	VB	_	18	xcomp	_	_
21	check	_	VB	VB	_	20	xcomp	_	_
22	it	_	PRP	PRP	_	21	dobj	_	_
23	out	_	RP	RP	_	21	prt	_	_
24	one	_	CD	CD	_	25	num	_	_
25	day	_	NN	NN	_	21	tmod	_	_
26	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	6	cc	_	_
2	the	_	DT	DT	_	3	det	_	_
3	food	_	NN	NN	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	amazing	_	JJ	JJ	_	6	amod	_	_
6	!!	_	NNS	NNS	_	0	root	_	_

1	The	_	DT	DT	_	2	det	_	_
2	potions	_	NNS	NNS	_	5	nsubj	_	_
3	were	_	VBD	VBD	_	5	cop	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	big	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	chicken	_	NN	NN	_	12	nsubj	_	_
9	here	_	RB	RB	_	12	advmod	_	_
10	was	_	VBD	VBD	_	12	cop	_	_
11	the	_	DT	DT	_	12	det	_	_
12	best	_	JJS	JJS	_	5	conj	_	_
13	!	_	.	.	_	0	erased	_	_

1	All	_	PDT	PDT	_	3	predet	_	_
2	the	_	DT	DT	_	3	det	_	_
3	food	_	NN	NN	_	6	nsubj	_	_
4	here	_	RB	RB	_	6	advmod	_	_
5	was	_	VBD	VBD	_	6	cop	_	_
6	fresh	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	right	_	JJ	JJ	_	6	conj	_	_
9	out	_	RB	RB	_	6	advmod	_	_
10	of	_	IN	IN	_	6	prep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	oven	_	NN	NN	_	13	nn	_	_
13	!!	_	NN	NN	_	10	pobj	_	_

1	The	_	DT	DT	_	2	det	_	_
2	service	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	good	_	JJ	JJ	_	0	root	_	_
6	too	_	RB	RB	_	5	advmod	_	_
7	.	_	.	.	_	0	erased	_	_

1	However	_	RB	RB	_	8	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	4	det	_	_
4	meal	_	NN	NN	_	8	nsubj	_	_
5	was	_	VBD	VBD	_	8	cop	_	_
6	a	_	DT	DT	_	7	det	_	_
7	bit	_	RB	RB	_	8	npadvmod	_	_
8	expensive	_	JJ	JJ	_	0	root	_	_
9	--	_	:	:	_	0	erased	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	would	_	MD	MD	_	12	aux	_	_
12	suggest	_	VB	VB	_	8	parataxis	_	_
13	saving	_	VBG	VBG	_	12	xcomp	_	_
14	this	_	DT	DT	_	15	det	_	_
15	place	_	NN	NN	_	13	dobj	_	_
16	for	_	IN	IN	_	15	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	nice	_	JJ	JJ	_	19	amod	_	_
19	night	_	NN	NN	_	16	pobj	_	_
20	out	_	RB	RB	_	13	advmod	_	_
21	!	_	.	.	_	0	erased	_	_

