1	Wow	_	UH	UH	_	3	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	what	_	WP	WP	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	charmer	_	NN	NN	_	3	dep	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	so	_	RB	RB	_	11	advmod	_	_
8	near	_	JJ	JJ	_	11	amod	_	_
9	Water	_	NNP	NNP	_	11	nn	_	_
10	Tower	_	NNP	NNP	_	11	nn	_	_
11	Place	_	NNP	NNP	_	3	conj	_	_
12	plus	_	CC	CC	_	11	prep	_	_
13	plus	_	IN	IN	_	14	amod	_	_
14	plus	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	city	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	treated	_	VBD	VBD	_	2	conj	_	_
8	myself	_	PRP	PRP	_	7	dobj	_	_
9	to	_	TO	TO	_	7	prep	_	_
10	a	_	DT	DT	_	11	det	_	_
11	night	_	NN	NN	_	9	pobj	_	_
12	at	_	IN	IN	_	11	prep	_	_
13	Affinia	_	NNP	NNP	_	12	pobj	_	_
14	where	_	WRB	WRB	_	16	advmod	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	got	_	VBD	VBD	_	7	advcl	_	_
17	a	_	DT	DT	_	19	det	_	_
18	great	_	JJ	JJ	_	19	amod	_	_
19	rate	_	NN	NN	_	16	dobj	_	_
20	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
21	no	_	RB	RB	_	26	nsubj	_	_
22	,	_	,	,	_	0	erased	_	_
23	I	_	PRP	PRP	_	26	nsubj	_	_
24	do	_	VBP	VBP	_	26	aux	_	_
25	n't	_	RB	RB	_	26	neg	_	_
26	remember	_	VB	VB	_	16	parataxis	_	_
27	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
28	mostly	_	RB	RB	_	31	advmod	_	_
29	because	_	IN	IN	_	31	mark	_	_
30	I	_	PRP	PRP	_	31	nsubj	_	_
31	wanted	_	VBD	VBD	_	16	advcl	_	_
32	to	_	TO	TO	_	33	aux	_	_
33	try	_	VB	VB	_	31	xcomp	_	_
34	out	_	RP	RP	_	33	prt	_	_
35	C-House	_	NN	NN	_	33	dobj	_	_
36	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	room	_	NN	NN	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	just	_	RB	RB	_	6	advmod	_	_
5	a	_	DT	DT	_	6	det	_	_
6	treat	_	NN	NN	_	0	root	_	_
7	--	_	:	:	_	0	erased	_	_
8	I	_	PRP	PRP	_	10	nsubj	_	_
9	only	_	RB	RB	_	10	advmod	_	_
10	regret	_	VBP	VBP	_	6	parataxis	_	_
11	spending	_	VBG	VBG	_	10	xcomp	_	_
12	so	_	RB	RB	_	14	advmod	_	_
13	little	_	JJ	JJ	_	14	amod	_	_
14	time	_	NN	NN	_	11	dobj	_	_
15	in	_	IN	IN	_	11	prep	_	_
16	it	_	PRP	PRP	_	15	pobj	_	_
17	because	_	IN	IN	_	21	mark	_	_
18	C-House	_	NNP	NNP	_	21	nsubj	_	_
19	was	_	VBD	VBD	_	21	cop	_	_
20	so	_	RB	RB	_	21	advmod	_	_
21	great	_	JJ	JJ	_	11	advcl	_	_
22	we	_	PRP	PRP	_	23	nsubj	_	_
23	stayed	_	VBD	VBD	_	21	ccomp	_	_
24	until	_	IN	IN	_	23	prep	_	_
25	after	_	IN	IN	_	24	pcomp	_	_
26	11:00	_	CD	CD	_	25	pobj	_	_
27	and	_	CC	CC	_	23	cc	_	_
28	I	_	PRP	PRP	_	29	nsubj	_	_
29	had	_	VBD	VBD	_	23	conj	_	_
30	to	_	TO	TO	_	31	aux	_	_
31	go	_	VB	VB	_	29	xcomp	_	_
32	to	_	TO	TO	_	33	aux	_	_
33	work	_	VB	VB	_	31	xcomp	_	_
34	the	_	DT	DT	_	36	det	_	_
35	next	_	JJ	JJ	_	36	amod	_	_
36	morning	_	NN	NN	_	33	tmod	_	_
37	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	13	nsubj	_	_
3	--	_	:	:	_	0	erased	_	_
4	1607	_	CD	CD	_	2	dep	_	_
5	--	_	:	:	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	desk	_	NN	NN	_	4	dep	_	_
8	was	_	VBD	VBD	_	13	aux	_	_
9	near	_	IN	IN	_	13	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	entry	_	NN	NN	_	12	nn	_	_
12	door	_	NN	NN	_	9	pobj	_	_
13	overlooking	_	VBG	VBG	_	0	root	_	_
14	the	_	DT	DT	_	19	det	_	_
15	`	_	``	``	_	0	erased	_	_
16	bedroom	_	NN	NN	_	19	amod	_	_
17	'	_	''	''	_	0	erased	_	_
18	three	_	CD	CD	_	19	num	_	_
19	steps	_	NNS	NNS	_	13	dobj	_	_
20	above	_	IN	IN	_	13	prep	_	_
21	the	_	DT	DT	_	23	det	_	_
22	main	_	JJ	JJ	_	23	amod	_	_
23	room	_	NN	NN	_	20	pobj	_	_
