1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	reason	_	NN	NN	_	2	nsubj	_	_
5	that	_	IN	IN	_	14	mark	_	_
6	Fortune	_	CD	CD	_	7	number	_	_
7	500	_	CD	CD	_	8	num	_	_
8	Companies	_	NNS	NNS	_	14	nsubj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	Hollywood	_	NNP	NNP	_	13	poss	_	_
11	's	_	POS	POS	_	10	possessive	_	_
12	Film	_	NNP	NNP	_	13	nn	_	_
13	Industry	_	NNP	NNP	_	8	conj	_	_
14	use	_	VBP	VBP	_	2	ccomp	_	_
15	Suite	_	NNP	NNP	_	17	nn	_	_
16	Home	_	NNP	NNP	_	17	nn	_	_
17	Chicago	_	NNP	NNP	_	14	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	4	mark	_	_
2	you	_	PRP	PRP	_	4	nsubj	_	_
3	are	_	VBP	VBP	_	4	aux	_	_
4	looking	_	VBG	VBG	_	25	advcl	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	rent	_	VB	VB	_	4	xcomp	_	_
7	a	_	DT	DT	_	9	det	_	_
8	furnished	_	JJ	JJ	_	9	amod	_	_
9	apartment	_	NN	NN	_	6	dobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	17	det	_	_
12	Gold	_	NNP	NNP	_	17	nn	_	_
13	Coast	_	NNP	NNP	_	17	nn	_	_
14	/	_	NNP	NNP	_	17	nn	_	_
15	River	_	NNP	NNP	_	17	nn	_	_
16	North	_	NNP	NNP	_	17	nn	_	_
17	area	_	NN	NN	_	10	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	Suite	_	NNP	NNP	_	21	nn	_	_
20	Home	_	NNP	NNP	_	21	nn	_	_
21	Chicago	_	NNP	NNP	_	23	poss	_	_
22	's	_	POS	POS	_	21	possessive	_	_
23	apartments	_	NNS	NNS	_	25	nsubj	_	_
24	will	_	MD	MD	_	25	aux	_	_
25	provide	_	VB	VB	_	0	root	_	_
26	you	_	PRP	PRP	_	25	dobj	_	_
27	with	_	IN	IN	_	25	prep	_	_
28	the	_	DT	DT	_	30	det	_	_
29	highest	_	JJS	JJS	_	30	amod	_	_
30	quality	_	NN	NN	_	27	pobj	_	_
31	of	_	IN	IN	_	30	prep	_	_
32	furnishings	_	NNS	NNS	_	31	pobj	_	_
33	,	_	,	,	_	0	erased	_	_
34	amenities	_	NNS	NNS	_	32	conj	_	_
35	,	_	,	,	_	0	erased	_	_
36	services	_	NNS	NNS	_	32	conj	_	_
37	,	_	,	,	_	0	erased	_	_
38	and	_	CC	CC	_	32	cc	_	_
39	customer	_	NN	NN	_	32	conj	_	_
40	service	_	NN	NN	_	41	dep	_	_
41	for	_	IN	IN	_	25	prep	_	_
42	your	_	PRP$	PRP$	_	46	poss	_	_
43	short-term	_	JJ	JJ	_	46	amod	_	_
44	or	_	CC	CC	_	43	cc	_	_
45	long-term	_	JJ	JJ	_	43	conj	_	_
46	stay	_	NN	NN	_	41	pobj	_	_
47	here	_	RB	RB	_	41	advmod	_	_
48	in	_	IN	IN	_	25	prep	_	_
49	Chicago	_	NNP	NNP	_	48	pobj	_	_
50	.	_	.	.	_	0	erased	_	_

