1	Such	_	PDT	PDT	_	4	predet	_	_
2	a	_	DT	DT	_	4	det	_	_
3	fun	_	NN	NN	_	4	nn	_	_
4	time	_	NN	NN	_	0	root	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	our	_	PRP$	PRP$	_	7	poss	_	_
7	kids	_	NNS	NNS	_	5	pobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	family	_	NN	NN	_	7	conj	_	_
10	!	_	.	.	_	0	erased	_	_

1	Joseph	_	NNP	NNP	_	6	nsubj	_	_
2	is	_	VBZ	VBZ	_	6	cop	_	_
3	the	_	DT	DT	_	6	det	_	_
4	best	_	JJS	JJS	_	6	amod	_	_
5	tour	_	NN	NN	_	6	nn	_	_
6	guide	_	NN	NN	_	0	root	_	_
7	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	have	_	VBP	VBP	_	3	aux	_	_
3	lived	_	VBN	VBN	_	0	root	_	_
4	here	_	RB	RB	_	3	advmod	_	_
5	for	_	IN	IN	_	3	prep	_	_
6	years	_	NNS	NNS	_	5	pobj	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	never	_	RB	RB	_	9	neg	_	_
9	seen	_	VBN	VBN	_	3	conj	_	_
10	such	_	JJ	JJ	_	12	amod	_	_
11	pretty	_	JJ	JJ	_	12	amod	_	_
12	sites	_	NNS	NNS	_	9	dobj	_	_
13	!!	_	VBG	VBG	_	9	xcomp	_	_
14	Great	_	JJ	JJ	_	16	amod	_	_
15	tour	_	NN	NN	_	16	nn	_	_
16	!!!	_	NNS	NNS	_	13	dobj	_	_

