1	Stayed	_	VBN	VBN	_	7	csubj	_	_
2	here	_	RB	RB	_	1	advmod	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	Valentine	_	NNP	NNP	_	3	pobj	_	_
5	's	_	VBZ	VBZ	_	7	cop	_	_
6	this	_	DT	DT	_	7	det	_	_
7	year	_	NN	NN	_	0	root	_	_
8	-	_	:	:	_	0	erased	_	_
9	in	_	IN	IN	_	7	prep	_	_
10	a	_	DT	DT	_	12	det	_	_
11	junior	_	JJ	JJ	_	12	amod	_	_
12	suite	_	NN	NN	_	9	pobj	_	_
13	facing	_	VBG	VBG	_	12	vmod	_	_
14	NW	_	NNP	NNP	_	13	dobj	_	_
15	-	_	:	:	_	0	erased	_	_
16	very	_	RB	RB	_	17	advmod	_	_
17	nice	_	JJ	JJ	_	7	amod	_	_
18	room	_	NN	NN	_	17	dep	_	_
19	,	_	,	,	_	0	erased	_	_
20	clean	_	JJ	JJ	_	17	conj	_	_
21	and	_	CC	CC	_	17	cc	_	_
22	very	_	RB	RB	_	23	advmod	_	_
23	comfortable	_	JJ	JJ	_	17	conj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Will	_	MD	MD	_	3	aux	_	_
2	definitely	_	NNP	NNP	_	3	nsubj	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	dobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	others	_	NNS	NNS	_	6	pobj	_	_
8	!	_	.	.	_	0	erased	_	_

1	Great	_	NNP	NNP	_	0	root	_	_
2	style	_	NN	NN	_	1	dep	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	service	_	NN	NN	_	2	conj	_	_
5	.	_	.	.	_	0	erased	_	_

1	Overnight	_	JJ	JJ	_	2	amod	_	_
2	parking	_	NN	NN	_	13	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	however	_	RB	RB	_	13	advmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	at	_	IN	IN	_	13	prep	_	_
7	$	_	$	$	_	6	pobj	_	_
8	67	_	CD	CD	_	7	num	_	_
9	,	_	,	,	_	0	erased	_	_
10	is	_	VBZ	VBZ	_	13	cop	_	_
11	a	_	DT	DT	_	12	det	_	_
12	bit	_	RB	RB	_	13	npadvmod	_	_
13	insane	_	JJ	JJ	_	0	root	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	13	cc	_	_
16	we	_	PRP	PRP	_	18	nsubj	_	_
17	really	_	RB	RB	_	18	advmod	_	_
18	enjoyed	_	VBD	VBD	_	13	conj	_	_
19	our	_	PRP$	PRP$	_	20	poss	_	_
20	stay	_	NN	NN	_	18	dobj	_	_
21	.	_	.	.	_	0	erased	_	_

