1	Wow	_	UH	UH	_	7	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	what	_	WP	WP	_	7	dep	_	_
4	a	_	DT	DT	_	6	det	_	_
5	GREAT	_	JJ	JJ	_	6	amod	_	_
6	hotel	_	NN	NN	_	7	nsubj	_	_
7	!!	_	VBZ	VBZ	_	0	root	_	_
8	Great	_	JJ	JJ	_	9	amod	_	_
9	amenities	_	NNS	NNS	_	7	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	friendly	_	JJ	JJ	_	12	amod	_	_
12	staff	_	NN	NN	_	9	appos	_	_
13	,	_	,	,	_	0	erased	_	_
14	great	_	JJ	JJ	_	16	amod	_	_
15	honor	_	NN	NN	_	16	nn	_	_
16	bar	_	NN	NN	_	12	appos	_	_
17	and	_	CC	CC	_	7	cc	_	_
18	walking	_	VBG	VBG	_	7	conj	_	_
19	distance	_	NN	NN	_	18	dobj	_	_
20	to	_	TO	TO	_	18	prep	_	_
21	Wrigley	_	NNP	NNP	_	22	nn	_	_
22	field	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	Comfortable	_	JJ	JJ	_	2	amod	_	_
2	beds	_	NNS	NNS	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	large	_	JJ	JJ	_	5	amod	_	_
5	rooms	_	NNS	NNS	_	2	appos	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	inexpensive	_	JJ	JJ	_	8	amod	_	_
8	parking	_	NN	NN	_	5	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	$	_	$	$	_	2	appos	_	_
11	22	_	CD	CD	_	10	num	_	_
12	.	_	.	.	_	0	erased	_	_

1	Speaking	_	VBG	VBG	_	9	vmod	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	inexpensive	_	JJ	JJ	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	this	_	DT	DT	_	9	nsubj	_	_
6	is	_	VBZ	VBZ	_	9	cop	_	_
7	the	_	DT	DT	_	9	det	_	_
8	first	_	JJ	JJ	_	9	amod	_	_
9	hotel	_	NN	NN	_	0	root	_	_
10	that	_	WDT	WDT	_	11	nsubj	_	_
11	has	_	VBZ	VBZ	_	9	rcmod	_	_
12	a	_	DT	DT	_	16	det	_	_
13	reasonably	_	RB	RB	_	14	advmod	_	_
14	priced	_	VBN	VBN	_	16	amod	_	_
15	honor	_	NN	NN	_	16	nn	_	_
16	bar	_	NN	NN	_	11	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	$	_	$	$	_	0	root	_	_
2	1	_	CD	CD	_	1	num	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	snacks	_	NNS	NNS	_	3	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	$	_	$	$	_	4	appos	_	_
7	2.50	_	CD	CD	_	6	num	_	_
8	for	_	IN	IN	_	1	prep	_	_
9	beers	_	NNS	NNS	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Awesome	_	VB	VB	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

