1	Ah	_	UH	UH	_	5	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	5	det	_	_
4	venerable	_	JJ	JJ	_	5	amod	_	_
5	Intercontinental	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	definitely	_	RB	RB	_	3	advmod	_	_
3	get	_	VBP	VBP	_	0	root	_	_
4	the	_	DT	DT	_	5	det	_	_
5	charm	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	an	_	DT	DT	_	11	det	_	_
8	old	_	JJ	JJ	_	9	dep	_	_
9	fashioned	_	VBN	VBN	_	11	amod	_	_
10	grand	_	JJ	JJ	_	11	amod	_	_
11	hotel	_	NN	NN	_	6	pobj	_	_
12	here	_	RB	RB	_	3	advmod	_	_
13	.	_	.	.	_	0	erased	_	_

1	Lobby	_	NNP	NNP	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	spacious	_	RB	RB	_	5	advmod	_	_
4	yet	_	RB	RB	_	5	advmod	_	_
5	comfortable	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	navigable	_	JJ	JJ	_	5	conj	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	pool	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	special	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	if	_	IN	IN	_	8	mark	_	_
7	you	_	PRP	PRP	_	8	nsubj	_	_
8	like	_	VBP	VBP	_	4	advcl	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	hang	_	VB	VB	_	8	xcomp	_	_
11	out	_	RP	RP	_	10	prt	_	_
12	at	_	IN	IN	_	10	prep	_	_
13	indoor	_	JJ	JJ	_	14	amod	_	_
14	pools	_	NNS	NNS	_	12	pobj	_	_
