1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	a	_	DT	DT	_	11	det	_	_
9	short	_	JJ	JJ	_	11	amod	_	_
10	get-away	_	JJ	JJ	_	11	amod	_	_
11	weekend	_	NN	NN	_	7	pobj	_	_
12	and	_	CC	CC	_	5	cc	_	_
13	loved	_	VBD	VBD	_	5	conj	_	_
14	it	_	PRP	PRP	_	13	dobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubjpass	_	_
2	is	_	VBZ	VBZ	_	5	auxpass	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	conveniently	_	RB	RB	_	5	advmod	_	_
5	located	_	VBN	VBN	_	0	root	_	_
6	close	_	JJ	JJ	_	5	xcomp	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	Navy	_	NNP	NNP	_	9	nn	_	_
9	Pier	_	NNP	NNP	_	7	pobj	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	Michigan	_	NNP	NNP	_	12	nn	_	_
12	Ave.	_	NNP	NNP	_	9	conj	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	helpful	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	room	_	NN	NN	_	10	nsubj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	great	_	JJ	JJ	_	5	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	2	nsubj	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	definitely	_	RB	RB	_	2	advmod	_	_
4	worth	_	IN	IN	_	2	prep	_	_
5	every	_	DT	DT	_	6	det	_	_
6	penny	_	NN	NN	_	4	pobj	_	_
7	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	dobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	anyone	_	NN	NN	_	6	pobj	_	_
8	visiting	_	VBG	VBG	_	7	vmod	_	_
9	Chicago	_	NNP	NNP	_	8	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

