1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	no	_	DT	DT	_	4	neg	_	_
4	place	_	NN	NN	_	2	nsubj	_	_
5	I	_	PRP	PRP	_	9	nsubj	_	_
6	would	_	MD	MD	_	9	aux	_	_
7	rather	_	RB	RB	_	9	advmod	_	_
8	ever	_	RB	RB	_	9	advmod	_	_
9	stay	_	VB	VB	_	4	rcmod	_	_
10	than	_	IN	IN	_	9	prep	_	_
11	here	_	RB	RB	_	10	pobj	_	_
12	when	_	WRB	WRB	_	14	advmod	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	visit	_	VBP	VBP	_	9	advcl	_	_
15	Chicago	_	NNP	NNP	_	14	dobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	11	nsubj	_	_
3	is	_	VBZ	VBZ	_	11	cop	_	_
4	clean	_	JJ	JJ	_	11	amod	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	affordable	_	JJ	JJ	_	7	amod	_	_
7	rates	_	NNS	NNS	_	5	pobj	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	even	_	RB	RB	_	10	advmod	_	_
10	nicer	_	JJR	JJR	_	4	conj	_	_
11	staff	_	NN	NN	_	0	root	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	visited	_	VBD	VBD	_	0	root	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	business	_	NN	NN	_	3	pobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	had	_	VBD	VBD	_	2	conj	_	_
7	an	_	DT	DT	_	9	det	_	_
8	amazing	_	JJ	JJ	_	9	amod	_	_
9	time	_	NN	NN	_	6	dobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	city	_	NN	NN	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

