1	Had	_	VBD	VBD	_	13	advcl	_	_
2	a	_	DT	DT	_	4	det	_	_
3	great	_	JJ	JJ	_	4	amod	_	_
4	time	_	NN	NN	_	1	nsubj	_	_
5	,	_	,	,	_	0	erased	_	_
6	awesome	_	JJ	JJ	_	8	amod	_	_
7	customer	_	NN	NN	_	8	nn	_	_
8	service	_	NN	NN	_	4	appos	_	_
9	,	_	,	,	_	0	erased	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	'm	_	VBP	VBP	_	13	cop	_	_
12	really	_	RB	RB	_	13	advmod	_	_
13	particular	_	JJ	JJ	_	0	root	_	_
14	with	_	IN	IN	_	13	prep	_	_
15	everything	_	NN	NN	_	14	pobj	_	_
16	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
17	haha	_	NNP	NNP	_	15	appos	_	_
18	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
19	and	_	CC	CC	_	13	cc	_	_
20	I	_	PRP	PRP	_	23	nsubj	_	_
21	would	_	MD	MD	_	23	aux	_	_
22	n't	_	RB	RB	_	23	neg	_	_
23	go	_	VB	VB	_	13	conj	_	_
24	anywhere	_	RB	RB	_	25	advmod	_	_
25	else	_	RB	RB	_	23	dobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	Book	_	VB	VB	_	0	root	_	_
2	them	_	PRP	PRP	_	4	nsubj	_	_
3	now	_	RB	RB	_	4	advmod	_	_
4	!!	_	JJ	JJ	_	1	xcomp	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	wo	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	regret	_	VB	VB	_	0	root	_	_
5	it	_	PRP	PRP	_	4	dobj	_	_
6	.	_	.	.	_	0	erased	_	_

