1	All	_	PDT	PDT	_	4	predet	_	_
2	the	_	DT	DT	_	4	det	_	_
3	other	_	JJ	JJ	_	4	amod	_	_
4	reviews	_	NNS	NNS	_	5	nsubj	_	_
5	talk	_	VBP	VBP	_	0	root	_	_
6	about	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	10	det	_	_
8	``	_	``	``	_	0	erased	_	_
9	ugly	_	JJ	JJ	_	10	amod	_	_
10	train	_	NN	NN	_	6	pobj	_	_
11	.	_	.	.	_	0	erased	_	_
12	''	_	''	''	_	0	erased	_	_

1	What	_	WP	WP	_	0	root	_	_
2	is	_	VBZ	VBZ	_	1	cop	_	_
3	an	_	DT	DT	_	5	det	_	_
4	attractive	_	JJ	JJ	_	5	amod	_	_
5	train	_	NN	NN	_	1	nsubj	_	_
6	?	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	2	nsubj	_	_
2	gets	_	VBZ	VBZ	_	60	ccomp	_	_
3	you	_	PRP	PRP	_	2	dobj	_	_
4	from	_	IN	IN	_	2	prep	_	_
5	A	_	NNP	NNP	_	4	pobj	_	_
6	to	_	TO	TO	_	2	prep	_	_
7	B	_	NNP	NNP	_	6	pobj	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	8	_	CD	CD	_	10	num	_	_
10	bucks	_	NNS	NNS	_	8	pobj	_	_
11	with	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	ability	_	NN	NN	_	11	pobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	drink	_	VB	VB	_	13	vmod	_	_
16	booz	_	NN	NN	_	15	dobj	_	_
17	and	_	CC	CC	_	15	cc	_	_
18	make	_	VB	VB	_	15	conj	_	_
19	fun	_	NN	NN	_	18	dobj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	tourists	_	NNS	NNS	_	20	pobj	_	_
23	who	_	WP	WP	_	24	nsubj	_	_
24	try	_	VBP	VBP	_	22	rcmod	_	_
25	to	_	TO	TO	_	26	aux	_	_
26	put	_	VB	VB	_	24	xcomp	_	_
27	their	_	PRP$	PRP$	_	33	poss	_	_
28	`	_	``	``	_	0	erased	_	_
29	American	_	JJ	JJ	_	33	amod	_	_
30	Girl	_	NNP	NNP	_	31	nn	_	_
31	Place	_	NNP	NNP	_	33	poss	_	_
32	'	_	POS	POS	_	0	erased	_	_
33	bags	_	NN	NN	_	26	dobj	_	_
34	on	_	IN	IN	_	26	prep	_	_
35	the	_	DT	DT	_	36	det	_	_
36	seats	_	NNS	NNS	_	34	pobj	_	_
37	only	_	RB	RB	_	36	advmod	_	_
38	to	_	TO	TO	_	40	aux	_	_
39	be	_	VB	VB	_	40	auxpass	_	_
40	scolded	_	VBN	VBN	_	26	vmod	_	_
41	by	_	IN	IN	_	40	prep	_	_
42	the	_	DT	DT	_	46	det	_	_
43	blunt	_	JJ	JJ	_	46	amod	_	_
44	and	_	CC	CC	_	43	cc	_	_
45	semi-abrasive	_	JJ	JJ	_	43	conj	_	_
46	conductors	_	NNS	NNS	_	41	pobj	_	_
47	:	_	:	:	_	0	erased	_	_
48	``	_	``	``	_	0	erased	_	_
49	you	_	PRP	PRP	_	50	nsubj	_	_
50	need	_	VBP	VBP	_	2	dep	_	_
51	to	_	TO	TO	_	52	aux	_	_
52	put	_	VB	VB	_	50	xcomp	_	_
53	your	_	PRP$	PRP$	_	54	poss	_	_
54	bags	_	NNS	NNS	_	52	dobj	_	_
55	in	_	IN	IN	_	52	prep	_	_
56	the	_	DT	DT	_	57	det	_	_
57	overhead	_	NN	NN	_	55	pobj	_	_
58	,	_	,	,	_	0	erased	_	_
59	we	_	PRP	PRP	_	60	nsubj	_	_
60	have	_	VBP	VBP	_	0	root	_	_
61	a	_	DT	DT	_	63	det	_	_
62	full	_	JJ	JJ	_	63	amod	_	_
63	train	_	NN	NN	_	60	iobj	_	_
64	tonight	_	NN	NN	_	60	dobj	_	_
65	.	_	.	.	_	0	erased	_	_
66	''	_	''	''	_	0	erased	_	_

1	great	_	JJ	JJ	_	2	amod	_	_
2	train	_	NN	NN	_	6	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	convenient	_	JJ	JJ	_	2	amod	_	_
5	,	_	,	,	_	0	erased	_	_
6	dependable	_	VBD	VBD	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	and	_	CC	CC	_	6	cc	_	_
9	CHEAP	_	VBP	VBP	_	6	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	What	_	WP	WP	_	2	det	_	_
2	more	_	JJR	JJR	_	5	dobj	_	_
3	do	_	VBP	VBP	_	5	aux	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	want	_	VB	VB	_	0	root	_	_
6	?	_	.	.	_	0	erased	_	_

