1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	did	_	VBD	VBD	_	0	root	_	_
6	the	_	DT	DT	_	8	det	_	_
7	9:00	_	CD	CD	_	8	num	_	_
8	tour	_	NN	NN	_	5	dobj	_	_
9	on	_	IN	IN	_	5	prep	_	_
10	Saturday	_	NNP	NNP	_	9	pobj	_	_
11	with	_	IN	IN	_	5	prep	_	_
12	Hank	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	wonderful	_	JJ	JJ	_	5	amod	_	_
5	time	_	NN	NN	_	2	dobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Interesting	_	VBG	VBG	_	5	dep	_	_
2	stops	_	NNS	NNS	_	1	dobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	good	_	JJ	JJ	_	5	amod	_	_
5	pace	_	NN	NN	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	fun	_	NN	NN	_	8	nn	_	_
8	way	_	NN	NN	_	5	conj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	see	_	VB	VB	_	5	vmod	_	_
11	different	_	JJ	JJ	_	12	amod	_	_
12	parts	_	NNS	NNS	_	10	dobj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	city	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Nice	_	NNP	NNP	_	2	nsubj	_	_
2	break	_	VBP	VBP	_	0	root	_	_
3	from	_	IN	IN	_	2	prep	_	_
4	museums	_	NNS	NNS	_	3	pobj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	shopping	_	NN	NN	_	4	conj	_	_
7	.	_	.	.	_	0	erased	_	_

