1	Wow	_	UH	UH	_	6	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	have	_	VBP	VBP	_	6	aux	_	_
5	been	_	VBN	VBN	_	6	aux	_	_
6	waiting	_	VBG	VBG	_	0	root	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	Elysian	_	NNP	NNP	_	7	pobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	open	_	VB	VB	_	6	xcomp	_	_
12	for	_	IN	IN	_	11	prep	_	_
13	months	_	NNS	NNS	_	12	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	As	_	RB	RB	_	2	advmod	_	_
2	soon	_	RB	RB	_	14	advmod	_	_
3	as	_	IN	IN	_	14	prep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	husband	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	9	cc	_	_
7	I	_	PRP	PRP	_	9	nsubj	_	_
8	could	_	MD	MD	_	9	aux	_	_
9	make	_	VB	VB	_	14	parataxis	_	_
10	a	_	DT	DT	_	11	det	_	_
11	trip	_	NN	NN	_	9	dobj	_	_
12	to	_	TO	TO	_	9	prep	_	_
13	Chicago	_	NNP	NNP	_	12	pobj	_	_
14	was	_	VBD	VBD	_	0	root	_	_
15	2	_	CD	CD	_	16	num	_	_
16	days	_	NNS	NNS	_	20	dep	_	_
17	after	_	IN	IN	_	20	mark	_	_
18	Christmas-and	_	NNP	NNP	_	19	nn	_	_
19	God	_	NNP	NNP	_	20	nsubj	_	_
20	was	_	VBD	VBD	_	14	dep	_	_
21	it	_	PRP	PRP	_	22	nsubj	_	_
22	cold	_	JJ	JJ	_	20	xcomp	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	the	_	DT	DT	_	27	det	_	_
25	``	_	``	``	_	0	erased	_	_
26	Windy	_	NNP	NNP	_	27	nn	_	_
27	City	_	NNP	NNP	_	23	pobj	_	_
28	''	_	''	''	_	0	erased	_	_
29	.	_	.	.	_	0	erased	_	_

1	Warmed	_	JJ	JJ	_	0	root	_	_
2	by	_	IN	IN	_	1	prep	_	_
3	our	_	PRP$	PRP$	_	2	pobj	_	_
4	in	_	IN	IN	_	1	prep	_	_
5	suite	_	NN	NN	_	6	nn	_	_
6	fireplace	_	NN	NN	_	4	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	excellant	_	NN	NN	_	9	nn	_	_
9	wine	_	NN	NN	_	6	conj	_	_
10	we	_	PRP	PRP	_	11	nsubj	_	_
11	had	_	VBD	VBD	_	6	rcmod	_	_
12	the	_	DT	DT	_	17	det	_	_
13	most	_	RBS	RBS	_	14	advmod	_	_
14	relaxing	_	JJ	JJ	_	17	amod	_	_
15	,	_	,	,	_	0	erased	_	_
16	delightful	_	JJ	JJ	_	17	amod	_	_
17	escape	_	NN	NN	_	11	dobj	_	_
18	followed	_	VBN	VBN	_	11	prep	_	_
19	by	_	IN	IN	_	18	pcomp	_	_
20	excellant	_	JJ	JJ	_	21	amod	_	_
21	shopping	_	NN	NN	_	19	pobj	_	_
22	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	help	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	friendly	_	JJ	JJ	_	0	root	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	max	_	NN	NN	_	5	pobj	_	_
8	--	_	:	:	_	0	erased	_	_
9	and	_	CC	CC	_	4	cc	_	_
10	would	_	MD	MD	_	12	aux	_	_
11	not	_	RB	RB	_	12	neg	_	_
12	except	_	VB	VB	_	4	conj	_	_
13	a	_	DT	DT	_	14	det	_	_
14	tip	_	NN	NN	_	12	dobj	_	_
15	for	_	IN	IN	_	14	prep	_	_
16	any	_	DT	DT	_	17	det	_	_
17	service	_	NN	NN	_	15	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	the	_	DT	DT	_	21	det	_	_
20	Spa	_	NNP	NNP	_	21	nn	_	_
21	services	_	NNS	NNS	_	22	nsubj	_	_
22	outstanding	_	JJ	JJ	_	12	xcomp	_	_
23	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
24	the	_	DT	DT	_	27	det	_	_
25	best	_	RBS	RBS	_	27	advmod	_	_
26	facial	_	JJ	JJ	_	27	amod	_	_
27	I	_	NN	NN	_	30	nsubj	_	_
28	've	_	VBP	VBP	_	30	aux	_	_
29	ever	_	RB	RB	_	30	advmod	_	_
30	had	_	VBN	VBN	_	4	dep	_	_
31	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
32	and	_	CC	CC	_	4	cc	_	_
33	truly	_	RB	RB	_	37	advmod	_	_
34	the	_	DT	DT	_	36	det	_	_
35	most	_	JJS	JJS	_	36	amod	_	_
36	personable	_	NN	NN	_	37	nsubj	_	_
37	greeting	_	VBG	VBG	_	4	conj	_	_
38	every	_	DT	DT	_	39	det	_	_
39	time	_	NN	NN	_	37	dobj	_	_
40	we	_	PRP	PRP	_	41	nsubj	_	_
41	left	_	VBD	VBD	_	39	rcmod	_	_
42	or	_	CC	CC	_	41	cc	_	_
43	returned	_	VBD	VBD	_	41	conj	_	_
44	to	_	TO	TO	_	41	prep	_	_
45	the	_	DT	DT	_	46	det	_	_
46	hotel	_	NN	NN	_	44	pobj	_	_
47	!	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	8	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	are	_	VBP	VBP	_	8	cop	_	_
6	spoiled-our	_	JJ	JJ	_	8	amod	_	_
7	own	_	JJ	JJ	_	8	amod	_	_
8	home	_	NN	NN	_	0	root	_	_
9	is	_	VBZ	VBZ	_	10	cop	_	_
10	beautiful	_	JJ	JJ	_	8	rcmod	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	hard	_	JJ	JJ	_	10	conj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	leave	_	VB	VB	_	10	xcomp	_	_
15	and	_	CC	CC	_	8	cc	_	_
16	we	_	PRP	PRP	_	18	nsubj	_	_
17	always	_	RB	RB	_	18	advmod	_	_
18	choose	_	VBP	VBP	_	8	conj	_	_
19	our	_	PRP$	PRP$	_	20	poss	_	_
20	hotels	_	NNS	NNS	_	18	dobj	_	_
21	very	_	RB	RB	_	22	advmod	_	_
22	carefully	_	RB	RB	_	18	advmod	_	_
23	-	_	:	:	_	0	erased	_	_
24	The	_	DT	DT	_	25	det	_	_
25	Elysian	_	NNP	NNP	_	26	nsubj	_	_
26	was	_	VBD	VBD	_	8	parataxis	_	_
27	truly	_	RB	RB	_	26	advmod	_	_
28	a	_	DT	DT	_	29	det	_	_
29	home	_	NN	NN	_	30	npadvmod	_	_
30	away	_	RB	RB	_	31	advmod	_	_
31	from	_	IN	IN	_	26	prep	_	_
32	home	_	NN	NN	_	31	pobj	_	_
