1	Ah	_	UH	UH	_	3	discourse	_	_
2	Midway	_	NNP	NNP	_	3	nsubj	_	_
3	let	_	VBP	VBP	_	0	root	_	_
4	me	_	PRP	PRP	_	5	nsubj	_	_
5	count	_	VB	VB	_	3	ccomp	_	_
6	the	_	DT	DT	_	7	det	_	_
7	ways	_	NNS	NNS	_	5	dobj	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	love	_	VBP	VBP	_	5	dep	_	_
10	thee	_	PRP	PRP	_	9	dobj	_	_
11	...	_	:	:	_	0	erased	_	_
12	1	_	LS	LS	_	15	dep	_	_
13	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
14	Your	_	PRP$	PRP$	_	15	nsubj	_	_
15	close	_	VBP	VBP	_	3	parataxis	_	_
16	to	_	TO	TO	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	CTA	_	NNP	NNP	_	16	pobj	_	_
19	from	_	IN	IN	_	15	prep	_	_
20	my	_	PRP$	PRP$	_	21	poss	_	_
21	home	_	NN	NN	_	19	pobj	_	_
22	and	_	CC	CC	_	15	cc	_	_
23	one	_	CD	CD	_	24	num	_	_
24	transfer	_	NN	NN	_	25	npadvmod	_	_
25	later	_	RB	RB	_	27	advmod	_	_
26	I	_	PRP	PRP	_	27	nsubj	_	_
27	'm	_	VBP	VBP	_	15	conj	_	_
28	here	_	RB	RB	_	27	advmod	_	_
29	.	_	.	.	_	0	erased	_	_

1	2	_	LS	LS	_	4	dep	_	_
2	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
3	You	_	PRP	PRP	_	4	nsubj	_	_
4	serve	_	VBP	VBP	_	0	root	_	_
5	beer	_	NN	NN	_	8	nn	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	good	_	JJ	JJ	_	5	conj	_	_
8	beers	_	NNS	NNS	_	4	dobj	_	_
9	at	_	IN	IN	_	8	prep	_	_
10	that	_	DT	DT	_	9	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	3	_	LS	LS	_	8	dep	_	_
2	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
3	TSA	_	NNP	NNP	_	8	nsubj	_	_
4	is	_	VBZ	VBZ	_	8	cop	_	_
5	still	_	RB	RB	_	8	advmod	_	_
6	a	_	DT	DT	_	7	det	_	_
7	little	_	RB	RB	_	8	npadvmod	_	_
8	rude	_	JJ	JJ	_	0	root	_	_
9	but	_	CC	CC	_	8	cc	_	_
10	the	_	DT	DT	_	11	det	_	_
11	secert	_	NN	NN	_	20	nsubj	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	getting	_	VBG	VBG	_	12	pcomp	_	_
14	a	_	DT	DT	_	15	det	_	_
15	smile	_	NN	NN	_	13	dobj	_	_
16	from	_	IN	IN	_	13	prep	_	_
17	those	_	DT	DT	_	18	det	_	_
18	guys	_	NNS	NNS	_	16	pobj	_	_
19	is	_	VBZ	VBZ	_	20	aux	_	_
20	asking	_	VBG	VBG	_	8	conj	_	_
21	``	_	``	``	_	0	erased	_	_
22	How	_	WRB	WRB	_	24	advmod	_	_
23	are	_	VBP	VBP	_	24	cop	_	_
24	you	_	PRP	PRP	_	20	ccomp	_	_
25	?	_	.	.	_	0	erased	_	_
26	''	_	''	''	_	0	erased	_	_

1	Works	_	NNP	NNP	_	2	nsubj	_	_
2	everytime	_	VBP	VBP	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	4	_	LS	LS	_	6	dep	_	_
2	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
3	No	_	DT	DT	_	6	neg	_	_
4	crazy	_	JJ	JJ	_	6	amod	_	_
5	crowd	_	NN	NN	_	6	nn	_	_
6	+	_	NN	NN	_	9	nsubj	_	_
7	Wednesday	_	NNP	NNP	_	6	appos	_	_
8	night	_	NN	NN	_	9	nsubj	_	_
9	=	_	VBP	VBP	_	0	root	_	_
10	not	_	RB	RB	_	9	neg	_	_
11	so	_	RB	RB	_	12	advmod	_	_
12	crazy	_	JJ	JJ	_	9	acomp	_	_
13	.	_	.	.	_	0	erased	_	_

1	5	_	CD	CD	_	2	num	_	_
2	-RRB-	_	NNS	NNS	_	0	erased	_	_
3	You	_	PRP	PRP	_	4	nsubj	_	_
4	have	_	VBP	VBP	_	2	rcmod	_	_
5	Southwest	_	NNP	NNP	_	7	nn	_	_
6	Airlines	_	NNPS	NNPS	_	7	nn	_	_
7	Their	_	NNP	NNP	_	4	dobj	_	_
8	are	_	VBP	VBP	_	10	cop	_	_
9	more	_	JJR	JJR	_	10	amod	_	_
10	reasons	_	NNS	NNS	_	0	root	_	_
11	but	_	CC	CC	_	10	cc	_	_
12	these	_	DT	DT	_	15	nsubj	_	_
13	are	_	VBP	VBP	_	15	cop	_	_
14	my	_	PRP$	PRP$	_	15	poss	_	_
15	top	_	NN	NN	_	10	conj	_	_
16	five	_	CD	CD	_	15	dep	_	_
17	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	1	dobj	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	not	_	RB	RB	_	6	neg	_	_
5	being	_	VBG	VBG	_	6	cop	_	_
6	O'Hare	_	NNP	NNP	_	3	pcomp	_	_
7	.	_	.	.	_	0	erased	_	_

