1	Let	_	NNP	NNP	_	3	nsubj	_	_
2	's	_	POS	POS	_	1	possessive	_	_
3	have	_	VBP	VBP	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	round	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	applause	_	NN	NN	_	6	pobj	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	restaurant	_	NN	NN	_	11	nn	_	_
11	selection	_	NN	NN	_	8	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Finally	_	RB	RB	_	4	dep	_	_
2	fresh	_	JJ	JJ	_	4	dep	_	_
3	fast	_	:	:	_	4	punct	_	_
4	food	_	NN	NN	_	0	root	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	an	_	DT	DT	_	7	det	_	_
7	airport	_	NN	NN	_	5	pobj	_	_
8	!	_	.	.	_	0	erased	_	_

