1	My	_	PRP$	PRP$	_	2	poss	_	_
2	girlfriends	_	NNS	NNS	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	Hyatt	_	NNP	NNP	_	6	pobj	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	Chicago	_	NNP	NNP	_	9	pobj	_	_
11	during	_	IN	IN	_	5	prep	_	_
12	a	_	DT	DT	_	14	det	_	_
13	shopping	_	NN	NN	_	14	nn	_	_
14	trip	_	NN	NN	_	11	pobj	_	_
15	to	_	TO	TO	_	5	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	city	_	NN	NN	_	15	pobj	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	June	_	NNP	NNP	_	18	pobj	_	_
20	2010	_	CD	CD	_	19	num	_	_
21	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	found	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	deal	_	NN	NN	_	2	dobj	_	_
6	on	_	IN	IN	_	2	prep	_	_
7	Orbitz.com	_	NNP	NNP	_	6	pobj	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	decided	_	VBD	VBD	_	2	conj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	give	_	VB	VB	_	9	xcomp	_	_
12	it	_	PRP	PRP	_	11	iobj	_	_
13	a	_	DT	DT	_	14	det	_	_
14	try	_	NN	NN	_	11	dobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	perfect	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	just	_	RB	RB	_	7	advmod	_	_
7	off	_	IN	IN	_	4	prep	_	_
8	Michigan	_	NNP	NNP	_	9	nn	_	_
9	Avenue	_	NNP	NNP	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	on	_	IN	IN	_	7	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	Chicago	_	NNP	NNP	_	14	nn	_	_
14	River	_	NNP	NNP	_	11	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	so	_	IN	IN	_	4	dep	_	_
17	it	_	PRP	PRP	_	19	nsubj	_	_
18	was	_	VBD	VBD	_	19	cop	_	_
19	easy	_	JJ	JJ	_	4	parataxis	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	walk	_	VB	VB	_	19	xcomp	_	_
22	down	_	RP	RP	_	21	prt	_	_
23	the	_	DT	DT	_	25	det	_	_
24	Mag	_	NNP	NNP	_	25	nn	_	_
25	Mile	_	NNP	NNP	_	21	dobj	_	_
26	and	_	CC	CC	_	21	cc	_	_
27	get	_	VB	VB	_	21	conj	_	_
28	to	_	TO	TO	_	27	prep	_	_
29	all	_	DT	DT	_	28	pobj	_	_
30	of	_	IN	IN	_	29	prep	_	_
31	the	_	DT	DT	_	32	det	_	_
32	shops	_	NNS	NNS	_	30	pobj	_	_
33	without	_	IN	IN	_	27	prep	_	_
34	having	_	VBG	VBG	_	33	pcomp	_	_
35	to	_	TO	TO	_	36	aux	_	_
36	pay	_	VB	VB	_	34	xcomp	_	_
37	for	_	IN	IN	_	36	prep	_	_
38	cabs	_	NNS	NNS	_	37	pobj	_	_
39	or	_	CC	CC	_	36	cc	_	_
40	rent	_	VB	VB	_	36	conj	_	_
41	a	_	DT	DT	_	42	det	_	_
42	car	_	NN	NN	_	40	dobj	_	_
43	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	right	_	JJ	JJ	_	0	root	_	_
5	next	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	9	det	_	_
7	The	_	NNP	NNP	_	9	nn	_	_
8	Palm	_	NNP	NNP	_	9	nn	_	_
9	restaurant	_	NN	NN	_	5	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	within	_	IN	IN	_	5	conj	_	_
13	walking	_	VBG	VBG	_	12	pcomp	_	_
