1	Stayed	_	VBN	VBN	_	17	vmod	_	_
2	here	_	RB	RB	_	1	advmod	_	_
3	during	_	IN	IN	_	1	prep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	visit	_	NN	NN	_	3	pobj	_	_
6	to	_	TO	TO	_	1	prep	_	_
7	Chicago	_	NNP	NNP	_	6	pobj	_	_
8	and	_	CC	CC	_	1	cc	_	_
9	absolutely	_	RB	RB	_	10	advmod	_	_
10	LOVED	_	VBD	VBD	_	1	conj	_	_
11	it	_	PRP	PRP	_	10	dobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	the	_	DT	DT	_	14	det	_	_
14	staff	_	NN	NN	_	17	nsubj	_	_
15	were	_	VBD	VBD	_	17	cop	_	_
16	super	_	RB	RB	_	17	advmod	_	_
17	friendly	_	JJ	JJ	_	0	root	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	helpful	_	JJ	JJ	_	17	conj	_	_
20	and	_	CC	CC	_	17	cc	_	_
21	the	_	DT	DT	_	22	det	_	_
22	location	_	NN	NN	_	24	nsubj	_	_
23	was	_	VBD	VBD	_	24	cop	_	_
24	superb	_	JJ	JJ	_	17	conj	_	_
25	.	_	.	.	_	0	erased	_	_

1	Will	_	NNP	NNP	_	3	nsubj	_	_
2	definitely	_	RB	RB	_	3	advmod	_	_
3	recommend	_	VBP	VBP	_	12	dep	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	friends	_	NNS	NNS	_	4	pobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	family	_	NN	NN	_	5	conj	_	_
8	and	_	CC	CC	_	3	cc	_	_
9	definitely	_	RB	RB	_	10	advmod	_	_
10	return	_	JJ	JJ	_	3	conj	_	_
11	again	_	RB	RB	_	12	advmod	_	_
12	!!	_	VBD	VBD	_	0	root	_	_
13	Thank	_	VB	VB	_	12	ccomp	_	_
14	you	_	PRP	PRP	_	13	dobj	_	_
15	Wrigley	_	NNP	NNP	_	16	nn	_	_
16	Hostel	_	NNP	NNP	_	12	nsubj	_	_

