1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	weekend	_	NN	NN	_	7	pobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	and	_	CC	CC	_	5	cc	_	_
13	had	_	VBD	VBD	_	5	conj	_	_
14	an	_	DT	DT	_	16	det	_	_
15	okay	_	JJ	JJ	_	16	amod	_	_
16	experience	_	NN	NN	_	13	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	10	nsubj	_	_
3	contrary	_	JJ	JJ	_	10	advmod	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	other	_	JJ	JJ	_	6	amod	_	_
6	reviews	_	NNS	NNS	_	4	pobj	_	_
7	is	_	VBZ	VBZ	_	10	cop	_	_
8	not	_	RB	RB	_	10	neg	_	_
9	very	_	RB	RB	_	10	advmod	_	_
10	good	_	JJ	JJ	_	0	root	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	a	_	DT	DT	_	15	det	_	_
13	downtown	_	JJ	JJ	_	15	amod	_	_
14	Chicago	_	NNP	NNP	_	15	nn	_	_
15	hotel	_	NN	NN	_	11	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Everything	_	NNP	NNP	_	8	nsubj	_	_
2	is	_	VBZ	VBZ	_	8	cop	_	_
3	at	_	IN	IN	_	8	advmod	_	_
4	least	_	JJS	JJS	_	3	pobj	_	_
5	a	_	DT	DT	_	8	det	_	_
6	fifteen	_	CD	CD	_	8	num	_	_
7	minute	_	NN	NN	_	8	nn	_	_
8	walk	_	NN	NN	_	0	root	_	_
9	which	_	WDT	WDT	_	15	nsubj	_	_
10	in	_	IN	IN	_	15	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	winter	_	NN	NN	_	10	pobj	_	_
13	in	_	IN	IN	_	12	prep	_	_
14	Chicago	_	NNP	NNP	_	13	pobj	_	_
15	means	_	VBZ	VBZ	_	8	rcmod	_	_
16	a	_	DT	DT	_	18	det	_	_
17	taxi	_	NN	NN	_	18	nn	_	_
18	ride	_	NN	NN	_	15	dobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	other	_	JJ	JJ	_	3	amod	_	_
3	thing	_	NN	NN	_	11	nsubj	_	_
4	that	_	IN	IN	_	7	mark	_	_
5	you	_	PRP	PRP	_	7	nsubj	_	_
6	should	_	MD	MD	_	7	aux	_	_
7	know	_	VB	VB	_	3	dep	_	_
8	about	_	IN	IN	_	7	prep	_	_
9	this	_	DT	DT	_	10	det	_	_
10	hotel	_	NN	NN	_	8	pobj	_	_
11	is	_	VBZ	VBZ	_	0	root	_	_
12	that	_	IN	IN	_	14	mark	_	_
13	they	_	PRP	PRP	_	14	nsubj	_	_
14	allow	_	VBP	VBP	_	11	ccomp	_	_
15	smoking	_	NN	NN	_	14	dobj	_	_
16	everywhere	_	RB	RB	_	14	advmod	_	_
17	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	do	_	VBP	VBP	_	5	aux	_	_
3	n't	_	RB	RB	_	5	neg	_	_
4	necessarily	_	RB	RB	_	5	advmod	_	_
5	mind	_	VB	VB	_	0	root	_	_
6	people	_	NNS	NNS	_	7	nn	_	_
7	smoking	_	NN	NN	_	5	dobj	_	_
8	but	_	CC	CC	_	5	cc	_	_
9	the	_	DT	DT	_	10	det	_	_
10	lobby	_	NN	NN	_	21	nsubj	_	_
11	,	_	,	,	_	0	erased	_	_
12	the	_	DT	DT	_	14	det	_	_
13	elevator	_	NN	NN	_	14	nn	_	_
14	lobbies	_	NNS	NNS	_	10	conj	_	_
15	and	_	CC	CC	_	10	cc	_	_
16	any	_	DT	DT	_	17	det	_	_
17	area	_	NN	NN	_	10	conj	_	_
18	that	_	WDT	WDT	_	20	nsubj	_	_
19	was	_	VBD	VBD	_	20	cop	_	_
20	public	_	JJ	JJ	_	17	rcmod	_	_
21	had	_	VBD	VBD	_	5	conj	_	_
22	tons	_	NNS	NNS	_	21	dobj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	people	_	NNS	NNS	_	25	nn	_	_
25	smoking	_	NN	NN	_	23	pobj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	ashtrays	_	NNS	NNS	_	25	conj	_	_
28	everywhere	_	RB	RB	_	21	advmod	_	_
29	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	pool/spa/excercise	_	JJ	JJ	_	3	amod	_	_
3	room	_	NN	NN	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	not	_	RB	RB	_	7	neg	_	_
6	very	_	RB	RB	_	7	advmod	_	_
7	impressive	_	JJ	JJ	_	0	root	_	_
8	either	_	RB	RB	_	7	advmod	_	_
9	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	accessible	_	JJ	JJ	_	0	root	_	_
4	by	_	IN	IN	_	3	prep	_	_
5	walking	_	VBG	VBG	_	4	pcomp	_	_
6	through	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	10	det	_	_
8	business	_	NN	NN	_	10	nn	_	_
9	center	_	NN	NN	_	10	nn	_	_
10	corridor	_	NN	NN	_	6	pobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	wondering	_	VBG	VBG	_	5	conj	_	_
13	if	_	IN	IN	_	16	mark	_	_
14	you	_	PRP	PRP	_	16	nsubj	_	_
15	're	_	VBP	VBP	_	16	aux	_	_
16	going	_	VBG	VBG	_	12	advcl	_	_
17	the	_	DT	DT	_	19	det	_	_
18	right	_	JJ	JJ	_	19	amod	_	_
19	way	_	NN	NN	_	16	dobj	_	_
20	and	_	CC	CC	_	5	cc	_	_
21	then	_	RB	RB	_	22	advmod	_	_
22	coming	_	VBG	VBG	_	5	conj	_	_
23	to	_	TO	TO	_	22	prep	_	_
24	a	_	DT	DT	_	25	det	_	_
25	pool	_	NN	NN	_	23	pobj	_	_
26	that	_	WDT	WDT	_	29	nsubj	_	_
27	is	_	VBZ	VBZ	_	29	cop	_	_
28	extremely	_	RB	RB	_	29	advmod	_	_
29	small	_	JJ	JJ	_	25	rcmod	_	_
30	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	also	_	RB	RB	_	2	advmod	_	_
4	no	_	DT	DT	_	6	neg	_	_
5	hot	_	JJ	JJ	_	6	amod	_	_
6	tub	_	NN	NN	_	2	nsubj	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	the	_	DT	DT	_	10	det	_	_
9	``	_	``	``	_	0	erased	_	_
10	spa	_	NN	NN	_	14	nsubj	_	_
11	''	_	''	''	_	0	erased	_	_
12	is	_	VBZ	VBZ	_	14	cop	_	_
13	a	_	DT	DT	_	14	det	_	_
14	closet	_	NN	NN	_	2	conj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	a	_	DT	DT	_	18	det	_	_
17	massage	_	NN	NN	_	18	nn	_	_
18	table	_	NN	NN	_	15	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	concierge	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	helpful	_	JJ	JJ	_	0	root	_	_
5	but	_	CC	CC	_	7	cc	_	_
6	the	_	DT	DT	_	7	det	_	_
7	people	_	NNS	NNS	_	4	dep	_	_
8	that	_	WDT	WDT	_	9	nsubj	_	_
9	answer	_	VBP	VBP	_	7	rcmod	_	_
10	the	_	DT	DT	_	15	det	_	_
11	``	_	``	``	_	0	erased	_	_
12	sheraton	_	JJ	JJ	_	15	amod	_	_
13	promise	_	NN	NN	_	15	nn	_	_
14	''	_	''	''	_	0	erased	_	_
15	phone	_	NN	NN	_	16	nsubj	_	_
16	told	_	VBD	VBD	_	9	ccomp	_	_
17	me	_	PRP	PRP	_	16	dobj	_	_
18	that	_	IN	IN	_	20	mark	_	_
