1	my	_	PRP$	PRP$	_	3	poss	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	time	_	NN	NN	_	12	nsubjpass	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	6	det	_	_
6	hostel	_	NN	NN	_	4	dep	_	_
7	.	_	.	.	_	0	erased	_	_
8	.	_	.	.	_	0	erased	_	_
9	do	_	VBP	VBP	_	12	aux	_	_
10	n't	_	RB	RB	_	12	neg	_	_
11	be	_	VB	VB	_	12	auxpass	_	_
12	scared	_	VBN	VBN	_	0	root	_	_
13	...	_	:	:	_	0	erased	_	_
14	try	_	VB	VB	_	12	dep	_	_
15	it	_	PRP	PRP	_	14	dobj	_	_
16	!	_	.	.	_	0	erased	_	_

1	outstanding	_	JJ	JJ	_	2	amod	_	_
2	location	_	NN	NN	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	very	_	RB	RB	_	2	advmod	_	_
2	clean	_	RB	RB	_	9	dep	_	_
3	.	_	.	.	_	0	erased	_	_
4	.	_	.	.	_	0	erased	_	_
5	the	_	DT	DT	_	6	det	_	_
6	theme	_	NN	NN	_	9	nsubj	_	_
7	is	_	VBZ	VBZ	_	9	cop	_	_
8	minimalism	_	NN	NN	_	9	nn	_	_
9	room	_	NN	NN	_	0	root	_	_
10	wise	_	JJ	JJ	_	9	amod	_	_
11	...	_	:	:	_	0	erased	_	_
12	but	_	CC	CC	_	9	cc	_	_
13	you	_	PRP	PRP	_	16	nsubj	_	_
14	will	_	MD	MD	_	16	aux	_	_
15	quickly	_	RB	RB	_	16	advmod	_	_
16	learn	_	VB	VB	_	9	conj	_	_
17	all	_	DT	DT	_	16	dobj	_	_
18	you	_	PRP	PRP	_	20	nsubj	_	_
19	really	_	RB	RB	_	20	advmod	_	_
20	need	_	VBP	VBP	_	17	rcmod	_	_
21	are	_	VBP	VBP	_	23	cop	_	_
22	the	_	DT	DT	_	23	det	_	_
23	basics	_	NNS	NNS	_	20	ccomp	_	_
24	because	_	IN	IN	_	27	mark	_	_
25	the	_	DT	DT	_	26	det	_	_
26	city	_	NN	NN	_	27	nsubj	_	_
27	has	_	VBZ	VBZ	_	23	advcl	_	_
28	all	_	DT	DT	_	27	dobj	_	_
29	you	_	PRP	PRP	_	30	nsubj	_	_
30	need	_	VBP	VBP	_	28	rcmod	_	_
31	.	_	.	.	_	0	erased	_	_

1	i	_	FW	FW	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	hesitate	_	VB	VB	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	stay	_	VB	VB	_	4	xcomp	_	_
7	again	_	RB	RB	_	6	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

1	great	_	JJ	JJ	_	2	amod	_	_
2	experience	_	NN	NN	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	diane	_	NN	NN	_	0	root	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	chrissy	_	NNP	NNP	_	1	conj	_	_
4	.	_	.	.	_	0	erased	_	_
5	.	_	.	.	_	0	erased	_	_
6	south	_	:	:	_	1	punct	_	_
7	bend	_	RB	RB	_	1	dep	_	_

