1	Hello	_	UH	UH	_	3	discourse	_	_
2	?	_	.	.	_	0	erased	_	_
3	Chciago	_	VB	VB	_	0	root	_	_
4	midway	_	JJ	JJ	_	5	amod	_	_
5	airport	_	NN	NN	_	3	dobj	_	_
6	?	_	.	.	_	0	erased	_	_

1	How	_	WRB	WRB	_	5	advmod	_	_
2	about	_	RB	RB	_	4	advmod	_	_
3	some	_	DT	DT	_	4	det	_	_
4	seating	_	NN	NN	_	5	nsubj	_	_
5	?!?	_	VBZ	VBZ	_	22	advcl	_	_
6	When	_	WRB	WRB	_	7	advmod	_	_
7	youmlook	_	VB	VB	_	5	advcl	_	_
8	around	_	RP	RP	_	7	prt	_	_
9	and	_	CC	CC	_	7	cc	_	_
10	see	_	VB	VB	_	7	conj	_	_
11	literally	_	RB	RB	_	10	advmod	_	_
12	hundreds	_	NNS	NNS	_	10	dobj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	people	_	NNS	NNS	_	13	pobj	_	_
15	sitting	_	VBG	VBG	_	14	vmod	_	_
16	on	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	floor	_	NN	NN	_	16	pobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	maybe	_	RB	RB	_	21	advmod	_	_
21	you	_	PRP	PRP	_	22	nsubj	_	_
22	think	_	VBP	VBP	_	0	root	_	_
23	about	_	IN	IN	_	22	prep	_	_
24	adding	_	VBG	VBG	_	23	pcomp	_	_
25	some	_	DT	DT	_	27	det	_	_
26	more	_	JJR	JJR	_	27	amod	_	_
27	seating	_	NN	NN	_	24	dobj	_	_
28	?	_	.	.	_	0	erased	_	_

1	Other	_	JJ	JJ	_	0	root	_	_
2	than	_	IN	IN	_	1	prep	_	_
3	that	_	DT	DT	_	2	pobj	_	_
4	...	_	:	:	_	0	erased	_	_
5	Impressed	_	NNP	NNP	_	1	dep	_	_
6	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	food	_	NN	NN	_	3	nn	_	_
3	offerings	_	NNS	NNS	_	6	nsubj	_	_
4	are	_	VBP	VBP	_	6	cop	_	_
5	super	_	RB	RB	_	6	advmod	_	_
6	cool	_	JJ	JJ	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	Love	_	NN	NN	_	0	root	_	_
2	being	_	VBG	VBG	_	3	cop	_	_
3	able	_	JJ	JJ	_	1	vmod	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	get	_	VB	VB	_	3	xcomp	_	_
6	a	_	DT	DT	_	7	det	_	_
7	taste	_	NN	NN	_	5	dobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	local	_	JJ	JJ	_	11	amod	_	_
11	fair	_	NN	NN	_	8	pobj	_	_
12	instead	_	RB	RB	_	13	advmod	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	just	_	RB	RB	_	18	advmod	_	_
15	the	_	DT	DT	_	18	det	_	_
16	same	_	JJ	JJ	_	18	amod	_	_
17	old	_	JJ	JJ	_	18	amod	_	_
18	chains	_	NNS	NNS	_	13	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

