1	Such	_	PDT	PDT	_	4	predet	_	_
2	a	_	DT	DT	_	4	det	_	_
3	fun	_	NN	NN	_	4	nn	_	_
4	way	_	NN	NN	_	6	nsubj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	get	_	VB	VB	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	know	_	VB	VB	_	6	xcomp	_	_
9	Chicago	_	NNP	NNP	_	8	dobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	guide	_	NN	NN	_	7	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	Gabe	_	NNP	NNP	_	3	appos	_	_
6	was	_	VBD	VBD	_	7	cop	_	_
7	awesome	_	JJ	JJ	_	0	root	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	kept	_	VBD	VBD	_	7	conj	_	_
10	us	_	PRP	PRP	_	11	nsubj	_	_
11	moving	_	VBG	VBG	_	9	dep	_	_
12	through	_	IN	IN	_	11	prep	_	_
13	traffic	_	NN	NN	_	12	pobj	_	_
14	and	_	CC	CC	_	9	cc	_	_
15	entertained	_	VBD	VBD	_	9	conj	_	_
16	us	_	PRP	PRP	_	15	dobj	_	_
17	with	_	IN	IN	_	15	prep	_	_
18	great	_	JJ	JJ	_	20	amod	_	_
19	Chicago	_	NNP	NNP	_	20	nn	_	_
20	history	_	NN	NN	_	17	pobj	_	_
21	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	Bikes	_	NNPS	NNPS	_	4	nn	_	_
3	,	_	,	,	_	0	erased	_	_
4	Bites	_	NNP	NNP	_	9	nsubj	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	4	cc	_	_
7	Brews	_	NNP	NNP	_	8	nn	_	_
8	tour	_	NN	NN	_	4	conj	_	_
9	makes	_	VBZ	VBZ	_	0	root	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	13	det	_	_
12	FUN	_	NNP	NNP	_	13	nn	_	_
13	afternoon	_	NN	NN	_	10	pobj	_	_
14	in	_	IN	IN	_	9	prep	_	_
15	Chicago	_	NNP	NNP	_	14	pobj	_	_
16	!	_	.	.	_	0	erased	_	_

