1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friends	_	NNS	NNS	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	i	_	FW	FW	_	2	conj	_	_
5	are	_	VBP	VBP	_	0	root	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	west	_	JJ	JJ	_	9	amod	_	_
9	coast	_	NN	NN	_	6	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	never	_	RB	RB	_	13	neg	_	_
13	heard	_	VBN	VBN	_	5	conj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	a	_	DT	DT	_	17	det	_	_
16	dining	_	NN	NN	_	17	nn	_	_
17	tour	_	NN	NN	_	14	pobj	_	_
18	before	_	RB	RB	_	21	advmod	_	_
19	so	_	IN	IN	_	21	mark	_	_
20	we	_	PRP	PRP	_	21	nsubj	_	_
21	decided	_	VBD	VBD	_	13	advcl	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	sign	_	VB	VB	_	21	xcomp	_	_
24	up	_	RP	RP	_	23	prt	_	_
25	and	_	CC	CC	_	23	cc	_	_
26	try	_	VB	VB	_	23	conj	_	_
27	something	_	NN	NN	_	26	dobj	_	_
28	new	_	JJ	JJ	_	27	amod	_	_
29	.	_	.	.	_	0	erased	_	_

1	Going	_	VBG	VBG	_	6	vmod	_	_
2	into	_	IN	IN	_	1	prep	_	_
3	it	_	PRP	PRP	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	we	_	PRP	PRP	_	6	nsubj	_	_
6	had	_	VBD	VBD	_	0	root	_	_
7	no	_	DT	DT	_	8	neg	_	_
8	idea	_	NN	NN	_	6	dobj	_	_
9	what	_	WP	WP	_	11	nsubj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	expect	_	VB	VB	_	8	rcmod	_	_
12	but	_	CC	CC	_	17	cc	_	_
13	it	_	PRP	PRP	_	17	nsubj	_	_
14	was	_	VBD	VBD	_	17	cop	_	_
15	an	_	DT	DT	_	17	det	_	_
16	awesome	_	JJ	JJ	_	17	amod	_	_
17	tour	_	NN	NN	_	11	ccomp	_	_
18	with	_	IN	IN	_	17	prep	_	_
19	outstanding	_	JJ	JJ	_	20	amod	_	_
20	food	_	NN	NN	_	18	pobj	_	_
21	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	guide	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	great	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	even	_	RB	RB	_	9	advmod	_	_
9	pointed	_	JJ	JJ	_	5	conj	_	_
10	out	_	IN	IN	_	5	prep	_	_
11	different	_	JJ	JJ	_	12	amod	_	_
12	attractions	_	NNS	NNS	_	10	pobj	_	_
13	as	_	IN	IN	_	16	mark	_	_
14	we	_	PRP	PRP	_	16	nsubj	_	_
15	were	_	VBD	VBD	_	16	aux	_	_
16	driving	_	VBG	VBG	_	5	advcl	_	_
17	to	_	TO	TO	_	16	prep	_	_
18	the	_	DT	DT	_	20	det	_	_
19	different	_	JJ	JJ	_	20	amod	_	_
20	restaurants	_	NNS	NNS	_	17	pobj	_	_
21	,	_	,	,	_	0	erased	_	_
22	and	_	CC	CC	_	16	cc	_	_
23	even	_	RB	RB	_	24	advmod	_	_
24	initiated	_	VBD	VBD	_	16	conj	_	_
25	Karaoke	_	NNP	NNP	_	24	dobj	_	_
26	on	_	IN	IN	_	25	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	bus	_	NN	NN	_	26	pobj	_	_
29	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	am	_	VBP	VBP	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	going	_	VBG	VBG	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	sign	_	VB	VB	_	4	xcomp	_	_
7	up	_	RP	RP	_	6	prt	_	_
8	for	_	IN	IN	_	6	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	tour	_	NN	NN	_	8	pobj	_	_
11	again	_	RB	RB	_	14	advmod	_	_
12	when	_	WRB	WRB	_	14	advmod	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	am	_	VBP	VBP	_	6	advcl	_	_
15	in	_	IN	IN	_	14	prep	_	_
16	town	_	NN	NN	_	15	pobj	_	_
17	next	_	JJ	JJ	_	14	advmod	_	_
18	!	_	.	.	_	0	erased	_	_

