1	Well	_	UH	UH	_	2	discourse	_	_
2	woth	_	VB	VB	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	money	_	NN	NN	_	2	dobj	_	_
5	!	_	.	.	_	0	erased	_	_

1	Very	_	VB	VB	_	0	root	_	_
2	clean	_	JJ	JJ	_	5	amod	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	beautiful	_	JJ	JJ	_	2	conj	_	_
5	room	_	NN	NN	_	1	dobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Having	_	VBG	VBG	_	0	root	_	_
2	ice	_	NN	NN	_	1	dobj	_	_
3	in	_	IN	IN	_	1	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	room	_	NN	NN	_	3	pobj	_	_
6	when	_	WRB	WRB	_	8	advmod	_	_
7	you	_	PRP	PRP	_	8	nsubj	_	_
8	returned	_	VBD	VBD	_	5	rcmod	_	_
9	@	_	SYM	SYM	_	8	dep	_	_
10	nice	_	VBG	VBG	_	8	xcomp	_	_
11	a	_	DT	DT	_	13	det	_	_
12	great	_	JJ	JJ	_	13	amod	_	_
13	touch	_	NN	NN	_	10	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Very	_	NNP	NNP	_	2	nn	_	_
2	Modern	_	NNP	NNP	_	3	dep	_	_
3	techology	_	JJ	JJ	_	0	root	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	lights	_	NNS	NNS	_	4	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	AC	_	NNP	NNP	_	6	conj	_	_
9	and	_	CC	CC	_	6	cc	_	_
10	TV	_	NN	NN	_	6	conj	_	_
11	...	_	:	:	_	0	erased	_	_
12	people	_	NNS	NNS	_	14	dep	_	_
13	very	_	RB	RB	_	14	advmod	_	_
14	friendly	_	JJ	JJ	_	3	parataxis	_	_
15	.	_	.	.	_	0	erased	_	_

1	Great	_	NNP	NNP	_	2	nsubj	_	_
2	bar	_	NN	NN	_	0	root	_	_
3	staff	_	NN	NN	_	2	dobj	_	_
4	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	bar	_	NN	NN	_	3	nn	_	_
3	manager	_	NN	NN	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	waitress	_	NN	NN	_	6	nn	_	_
6	extreamly	_	NN	NN	_	3	conj	_	_
7	efficient	_	JJ	JJ	_	3	amod	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	friendly	_	JJ	JJ	_	7	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	go	_	VB	VB	_	0	root	_	_
4	back	_	RB	RB	_	5	advmod	_	_
5	anytime	_	RB	RB	_	3	advmod	_	_
6	in	_	IN	IN	_	3	prep	_	_
7	th	_	NNP	NNP	_	9	nn	_	_
8	Windy	_	NNP	NNP	_	9	nn	_	_
9	City	_	NNP	NNP	_	6	pobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	restaurant	_	NN	NN	_	3	nn	_	_
3	downstairs	_	NNS	NNS	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	delicious	_	JJ	JJ	_	0	root	_	_
6	as	_	IN	IN	_	5	prep	_	_
7	well	_	NN	NN	_	10	nn	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	resonable	_	NN	NN	_	7	conj	_	_
10	prices	_	NNS	NNS	_	6	pobj	_	_
11	!	_	.	.	_	0	erased	_	_

