1	Wait	_	CD	CD	_	2	number	_	_
2	times	_	NNS	NNS	_	3	num	_	_
3	kinda	_	NN	NN	_	4	npadvmod	_	_
4	long	_	RB	RB	_	8	advmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	8	cc	_	_
7	food	_	NN	NN	_	8	nsubj	_	_
8	is	_	VBZ	VBZ	_	0	root	_	_
9	n't	_	RB	RB	_	8	neg	_	_
10	like	_	IN	IN	_	8	prep	_	_
11	a	_	DT	DT	_	13	det	_	_
12	big	_	JJ	JJ	_	13	amod	_	_
13	lunch	_	NN	NN	_	10	pobj	_	_
14	so	_	IN	IN	_	8	dep	_	_
15	that	_	DT	DT	_	17	nsubj	_	_
16	's	_	VBZ	VBZ	_	17	cop	_	_
17	good	_	JJ	JJ	_	8	parataxis	_	_
18	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	's	_	VBZ	VBZ	_	0	root	_	_
3	no	_	DT	DT	_	5	neg	_	_
4	free	_	JJ	JJ	_	5	amod	_	_
5	wifi	_	NN	NN	_	2	nsubj	_	_
6	too	_	RB	RB	_	2	advmod	_	_

