1	One	_	CD	CD	_	2	num	_	_
2	star	_	NN	NN	_	6	nsubj	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	ultra	_	NN	NN	_	3	pobj	_	_
6	butch	_	VBP	VBP	_	0	root	_	_
7	lesbian	_	JJ	JJ	_	9	amod	_	_
8	security	_	NN	NN	_	9	nn	_	_
9	personnel	_	NNS	NNS	_	6	dobj	_	_
10	that	_	WDT	WDT	_	11	nsubj	_	_
11	harassed	_	VBD	VBD	_	9	rcmod	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	wife	_	NN	NN	_	11	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	walked	_	VBD	VBD	_	8	ccomp	_	_
3	into	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	believe	_	VBP	VBP	_	0	root	_	_
9	she	_	PRP	PRP	_	10	nsubj	_	_
10	did	_	VBD	VBD	_	8	ccomp	_	_
11	security	_	NN	NN	_	10	dobj	_	_
12	for	_	IN	IN	_	10	prep	_	_
13	the	_	DT	DT	_	15	det	_	_
14	roof	_	NN	NN	_	15	nn	_	_
15	top	_	NN	NN	_	12	pobj	_	_
16	...	_	:	:	_	0	erased	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	she	_	PRP	PRP	_	3	nsubj	_	_
3	places	_	VBZ	VBZ	_	0	root	_	_
4	her	_	PRP$	PRP$	_	5	poss	_	_
5	hand	_	NN	NN	_	3	dobj	_	_
6	down	_	IN	IN	_	3	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	swell	_	NN	NN	_	6	pobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	her	_	PRP$	PRP$	_	11	poss	_	_
11	back	_	NN	NN	_	9	pobj	_	_
12	and	_	CC	CC	_	3	cc	_	_
13	asked	_	VBD	VBD	_	3	conj	_	_
14	if	_	IN	IN	_	16	mark	_	_
15	she	_	PRP	PRP	_	16	nsubj	_	_
16	was	_	VBD	VBD	_	13	advcl	_	_
17	,	_	,	,	_	0	erased	_	_
18	``	_	``	``	_	0	erased	_	_
19	Happily	_	NNP	NNP	_	16	dobj	_	_
20	,	_	,	,	_	0	erased	_	_
21	''	_	''	''	_	0	erased	_	_
22	married	_	VBN	VBN	_	19	amod	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	recommend	_	VB	VB	_	0	root	_	_
5	this	_	DT	DT	_	7	det	_	_
6	unprofessional	_	JJ	JJ	_	7	amod	_	_
7	staff	_	NN	NN	_	4	dobj	_	_
8	to	_	TO	TO	_	4	prep	_	_
9	anyone	_	NN	NN	_	8	pobj	_	_
10	considering	_	VBG	VBG	_	9	vmod	_	_
11	a	_	DT	DT	_	12	det	_	_
12	stay	_	NN	NN	_	10	dobj	_	_
13	from	_	IN	IN	_	10	prep	_	_
14	out	_	NN	NN	_	13	pobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	town	_	NN	NN	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Or	_	CC	CC	_	2	cc	_	_
2	in-town	_	NN	NN	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	that	_	DT	DT	_	5	det	_	_
5	matter	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Horrendous	_	NNS	NNS	_	2	nsubj	_	_
2	unprofessionalism	_	VBP	VBP	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	'd	_	MD	MD	_	4	aux	_	_
3	rather	_	RB	RB	_	4	advmod	_	_
4	stay	_	VB	VB	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	J	_	NNP	NNP	_	7	nn	_	_
7	Parker	_	NNP	NNP	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	Palmer	_	NNP	NNP	_	10	nn	_	_
10	House	_	NNP	NNP	_	7	appos	_	_
11	,	_	,	,	_	0	erased	_	_
12	etc.	_	FW	FW	_	7	appos	_	_
13	.	_	.	.	_	0	erased	_	_
14	.	_	.	.	_	0	erased	_	_
15	Lots	_	NNP	NNP	_	7	dep	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	better	_	JJR	JJR	_	18	amod	_	_
18	options	_	NNS	NNS	_	16	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

