1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	last	_	JJ	JJ	_	3	amod	_	_
3	stay	_	NN	NN	_	9	nsubj	_	_
4	at	_	IN	IN	_	3	prep	_	_
5	this	_	DT	DT	_	6	det	_	_
6	hotel	_	NN	NN	_	4	pobj	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	a	_	DT	DT	_	9	det	_	_
9	disaster	_	NN	NN	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	Terrible	_	VBZ	VBZ	_	0	root	_	_
2	customer	_	NN	NN	_	9	nn	_	_
3	service	_	NN	NN	_	9	nn	_	_
4	!!!!!!	_	NNP	NNP	_	9	nn	_	_
5	DO	_	NNP	NNP	_	9	nn	_	_
6	NOT	_	NNP	NNP	_	9	nn	_	_
7	STAY	_	NNP	NNP	_	9	nn	_	_
8	HERE	_	NNP	NNP	_	9	nn	_	_
9	!!!!	_	NNP	NNP	_	1	nsubj	_	_

