1	My	_	PRP$	PRP$	_	2	poss	_	_
2	experience	_	NN	NN	_	8	nsubjpass	_	_
3	with	_	IN	IN	_	2	prep	_	_
4	boutique	_	NN	NN	_	5	nn	_	_
5	hotels	_	NNS	NNS	_	3	pobj	_	_
6	has	_	VBZ	VBZ	_	8	aux	_	_
7	been	_	VBN	VBN	_	8	auxpass	_	_
8	hit	_	VBN	VBN	_	0	root	_	_
9	or	_	CC	CC	_	8	cc	_	_
10	miss	_	VBP	VBP	_	8	conj	_	_
11	,	_	,	,	_	0	erased	_	_
12	so	_	IN	IN	_	8	dep	_	_
13	I	_	PRP	PRP	_	16	nsubj	_	_
14	was	_	VBD	VBD	_	16	cop	_	_
15	somewhat	_	RB	RB	_	16	advmod	_	_
16	tentative	_	JJ	JJ	_	8	parataxis	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	staying	_	VBG	VBG	_	17	pcomp	_	_
19	at	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	22	det	_	_
21	Affinia	_	NNP	NNP	_	22	nn	_	_
22	Chicago	_	NNP	NNP	_	19	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	Let	_	VB	VB	_	0	root	_	_
2	me	_	PRP	PRP	_	3	nsubj	_	_
3	say	_	VBP	VBP	_	1	ccomp	_	_
4	that	_	IN	IN	_	8	mark	_	_
5	I	_	PRP	PRP	_	8	nsubj	_	_
6	was	_	VBD	VBD	_	8	cop	_	_
7	pleasantly	_	RB	RB	_	8	advmod	_	_
8	surprised	_	JJ	JJ	_	3	ccomp	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	would	_	MD	MD	_	12	aux	_	_
11	happily	_	RB	RB	_	12	advmod	_	_
12	recommend	_	VB	VB	_	8	conj	_	_
13	this	_	DT	DT	_	14	det	_	_
14	hotel	_	NN	NN	_	12	dobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	All	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	warm	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	friendly	_	JJ	JJ	_	4	dep	_	_
7	,	_	,	,	_	0	erased	_	_
8	just	_	RB	RB	_	4	advmod	_	_
9	very	_	RB	RB	_	10	advmod	_	_
10	welcoming	_	JJ	JJ	_	4	dep	_	_
11	.	_	.	.	_	0	erased	_	_

