1	Wow	_	UH	UH	_	4	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	We	_	PRP	PRP	_	4	nsubj	_	_
4	had	_	VBD	VBD	_	0	root	_	_
5	an	_	DT	DT	_	7	det	_	_
6	amazing	_	JJ	JJ	_	7	amod	_	_
7	room	_	NN	NN	_	4	dobj	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	we	_	PRP	PRP	_	11	nsubjpass	_	_
10	were	_	VBD	VBD	_	11	auxpass	_	_
11	upgraded	_	VBN	VBN	_	4	conj	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	a	_	DT	DT	_	14	det	_	_
14	suite	_	NN	NN	_	12	pobj	_	_
15	for	_	IN	IN	_	11	prep	_	_
16	free	_	JJ	JJ	_	15	pobj	_	_
17	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	stayed	_	VBD	VBD	_	11	dep	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	6	det	_	_
5	26th	_	JJ	JJ	_	6	amod	_	_
6	floor	_	NN	NN	_	3	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	the	_	DT	DT	_	9	det	_	_
9	room	_	NN	NN	_	6	conj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	about	_	IN	IN	_	0	root	_	_
12	900-1000	_	CD	CD	_	14	num	_	_
13	sq	_	NN	NN	_	14	nn	_	_
14	ft.	_	NN	NN	_	11	nsubj	_	_

1	Everything	_	NNP	NNP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	clean	_	JJ	JJ	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	cozy	_	JJ	JJ	_	3	conj	_	_
6	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bathroom	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	beautiful	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	all	_	PDT	PDT	_	8	predet	_	_
7	the	_	DT	DT	_	8	det	_	_
8	products	_	NNS	NNS	_	11	nsubj	_	_
9	were	_	VBD	VBD	_	11	cop	_	_
10	high	_	JJ	JJ	_	11	amod	_	_
11	quality	_	NN	NN	_	4	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	BF	_	NN	NN	_	3	nsubj	_	_
3	ordered	_	VBD	VBD	_	0	root	_	_
4	champagne	_	CD	CD	_	8	num	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	a	_	DT	DT	_	7	det	_	_
7	dozen	_	NN	NN	_	4	conj	_	_
8	roses	_	NNS	NNS	_	3	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	were	_	VBD	VBD	_	4	cop	_	_
3	absolutely	_	RB	RB	_	4	advmod	_	_
4	beautiful	_	JJ	JJ	_	0	root	_	_
5	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	posted	_	VBD	VBD	_	4	parataxis	_	_
8	a	_	DT	DT	_	9	det	_	_
9	picture	_	NN	NN	_	7	dobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	them	_	PRP	PRP	_	10	pobj	_	_
12	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
13	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	chocolate	_	NN	NN	_	3	nsubj	_	_
3	covered	_	VBD	VBD	_	0	root	_	_
4	strawberries	_	NNS	NNS	_	7	nsubj	_	_
5	were	_	VBD	VBD	_	7	cop	_	_
6	also	_	RB	RB	_	7	advmod	_	_
7	worth	_	JJ	JJ	_	3	ccomp	_	_
8	getting	_	VBG	VBG	_	7	xcomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	5	det	_	_
2	gym	_	NN	NN	_	5	nn	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	spa	_	NN	NN	_	2	conj	_	_
5	facilities	_	NNS	NNS	_	7	nsubj	_	_
6	were	_	VBD	VBD	_	7	cop	_	_
7	great	_	JJ	JJ	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubjpass	_	_
