1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	lots	_	NNS	NNS	_	2	nsubj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	fun	_	NN	NN	_	6	nn	_	_
6	places	_	NNS	NNS	_	4	pobj	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	eat	_	VB	VB	_	3	vmod	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	shop	_	VB	VB	_	8	conj	_	_
11	but	_	CC	CC	_	12	cc	_	_
12	still	_	RB	RB	_	8	dep	_	_
13	close	_	RB	RB	_	14	advmod	_	_
14	enough	_	RB	RB	_	12	dep	_	_
15	to	_	TO	TO	_	8	conj	_	_
16	the	_	DT	DT	_	18	det	_	_
17	Red	_	NNP	NNP	_	18	nn	_	_
18	Line	_	NNP	NNP	_	15	pobj	_	_
19	for	_	IN	IN	_	18	prep	_	_
20	all	_	DT	DT	_	19	pobj	_	_
21	the	_	DT	DT	_	24	det	_	_
22	other	_	JJ	JJ	_	24	amod	_	_
23	Chicago	_	NNP	NNP	_	24	nn	_	_
24	attractions.That	_	NN	NN	_	25	nsubj	_	_
25	is	_	VBZ	VBZ	_	20	rcmod	_	_
26	what	_	WP	WP	_	28	dobj	_	_
27	I	_	PRP	PRP	_	28	nsubj	_	_
28	get	_	VBP	VBP	_	25	ccomp	_	_
29	from	_	IN	IN	_	28	prep	_	_
30	other	_	JJ	JJ	_	31	amod	_	_
31	reviews	_	NNS	NNS	_	29	pobj	_	_
32	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	5	cc	_	_
2	thereality	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	cruel	_	JJ	JJ	_	0	root	_	_
6	that	_	IN	IN	_	8	mark	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	have	_	VBP	VBP	_	5	ccomp	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	say	_	VB	VB	_	8	xcomp	_	_
11	something	_	NN	NN	_	10	dobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Although	_	IN	IN	_	6	mark	_	_
2	the	_	DT	DT	_	3	det	_	_
3	price	_	NN	NN	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	cop	_	_
5	just	_	RB	RB	_	6	advmod	_	_
6	okay	_	JJ	JJ	_	14	advcl	_	_
7	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
8	$	_	$	$	_	6	dep	_	_
9	180/nigh	_	CD	CD	_	8	num	_	_
10	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
11	,	_	,	,	_	0	erased	_	_
12	but	_	CC	CC	_	14	cc	_	_
13	I	_	PRP	PRP	_	14	conj	_	_
14	think	_	VBP	VBP	_	0	root	_	_
15	te	_	NN	NN	_	16	nsubj	_	_
16	arranged	_	VBD	VBD	_	14	ccomp	_	_
17	room	_	NN	NN	_	20	nsubj	_	_
18	is	_	VBZ	VBZ	_	20	cop	_	_
19	not	_	RB	RB	_	20	neg	_	_
20	big	_	JJ	JJ	_	16	ccomp	_	_
21	enough.Secondly	_	RB	RB	_	20	advmod	_	_
22	,	_	,	,	_	0	erased	_	_
23	we	_	PRP	PRP	_	26	nsubj	_	_
24	did	_	VBD	VBD	_	26	aux	_	_
25	n't	_	RB	RB	_	26	neg	_	_
26	find	_	VB	VB	_	14	dep	_	_
27	proper	_	JJ	JJ	_	29	amod	_	_
28	parking	_	NN	NN	_	29	nn	_	_
29	space	_	NN	NN	_	26	dobj	_	_
30	,	_	,	,	_	0	erased	_	_
31	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	waiter	_	NN	NN	_	5	nsubj	_	_
3	did	_	VBD	VBD	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	have	_	VB	VB	_	0	root	_	_
6	so	_	RB	RB	_	7	advmod	_	_
7	much	_	JJ	JJ	_	8	amod	_	_
8	enthusiasm	_	NN	NN	_	5	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	appearance	_	NN	NN	_	0	root	_	_
3	of	_	IN	IN	_	2	dep	_	_
4	a	_	DT	DT	_	5	det	_	_
5	pair	_	NN	NN	_	3	pobj	_	_
6	is	_	VBZ	VBZ	_	7	aux	_	_
7	idling	_	VBG	VBG	_	5	rcmod	_	_
8	about	_	IN	IN	_	7	dep	_	_
9	.	_	.	.	_	0	erased	_	_
10	.	_	.	.	_	0	erased	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	have	_	VBP	VBP	_	2	rcmod	_	_
13	no	_	DT	DT	_	14	neg	_	_
14	ideas	_	NNS	NNS	_	12	dobj	_	_

