1	Stayed	_	VBN	VBN	_	8	csubj	_	_
2	at	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	5	det	_	_
4	Chicago	_	NNP	NNP	_	5	nn	_	_
5	Affinia	_	NNP	NNP	_	2	pobj	_	_
6	Dec	_	NNP	NNP	_	1	dobj	_	_
7	10	_	CD	CD	_	6	num	_	_
8	thru	_	VBD	VBD	_	0	root	_	_
9	Dec	_	NNP	NNP	_	8	dobj	_	_
10	12	_	CD	CD	_	9	num	_	_
11	and	_	CC	CC	_	8	cc	_	_
12	was	_	VBD	VBD	_	14	cop	_	_
13	very	_	RB	RB	_	14	advmod	_	_
14	impressed	_	JJ	JJ	_	8	conj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	staff	_	NN	NN	_	15	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	the	_	DT	DT	_	20	det	_	_
20	room	_	NN	NN	_	17	conj	_	_
21	,	_	,	,	_	0	erased	_	_
22	and	_	CC	CC	_	17	cc	_	_
23	the	_	DT	DT	_	24	det	_	_
24	location	_	NN	NN	_	17	conj	_	_
25	.	_	.	.	_	0	erased	_	_

1	Close	_	NNP	NNP	_	11	nsubj	_	_
2	to	_	TO	TO	_	1	prep	_	_
3	shopping	_	NN	NN	_	2	pobj	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	the	_	DT	DT	_	7	det	_	_
6	pizza	_	NN	NN	_	7	nn	_	_
7	place	_	NN	NN	_	3	conj	_	_
8	next	_	JJ	JJ	_	11	advmod	_	_
9	door	_	NN	NN	_	8	dep	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	great	_	JJ	JJ	_	0	root	_	_
12	.	_	.	.	_	0	erased	_	_

1	Of	_	IN	IN	_	5	prep	_	_
2	course	_	NN	NN	_	1	pobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	there	_	EX	EX	_	5	expl	_	_
5	were	_	VBD	VBD	_	0	root	_	_
6	many	_	JJ	JJ	_	8	amod	_	_
7	other	_	JJ	JJ	_	8	amod	_	_
8	restaraunts	_	NNS	NNS	_	5	nsubj	_	_
9	nearby	_	RB	RB	_	8	advmod	_	_
10	as	_	RB	RB	_	11	advmod	_	_
11	well	_	RB	RB	_	5	advmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	little	_	JJ	JJ	_	5	amod	_	_
5	trouble	_	NN	NN	_	2	dobj	_	_
6	figuring	_	VBG	VBG	_	5	vmod	_	_
7	out	_	RP	RP	_	6	prt	_	_
8	the	_	DT	DT	_	9	det	_	_
9	heat	_	NN	NN	_	6	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	but	_	CC	CC	_	2	cc	_	_
12	it	_	PRP	PRP	_	14	nsubj	_	_
13	was	_	VBD	VBD	_	14	cop	_	_
14	fine	_	JJ	JJ	_	2	conj	_	_
15	once	_	IN	IN	_	17	mark	_	_
16	I	_	PRP	PRP	_	17	nsubj	_	_
17	learned	_	VBD	VBD	_	14	advcl	_	_
18	how	_	WRB	WRB	_	20	advmod	_	_
19	to	_	TO	TO	_	20	aux	_	_
20	set	_	VB	VB	_	17	ccomp	_	_
21	it	_	PRP	PRP	_	20	dobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	were	_	VBD	VBD	_	3	aux	_	_
3	working	_	VBG	VBG	_	0	root	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	hotel	_	NN	NN	_	4	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	so	_	IN	IN	_	3	dep	_	_
