1	Wow	_	UH	UH	_	3	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	Fantastic	_	VB	VB	_	0	root	_	_
4	way	_	NN	NN	_	3	dobj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	get	_	VB	VB	_	3	vmod	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	Midway	_	NNP	NNP	_	10	nn	_	_
9	!	_	.	.	_	0	erased	_	_
10	Coming	_	NNP	NNP	_	7	pobj	_	_
11	from	_	IN	IN	_	6	prep	_	_
12	NW	_	NNP	NNP	_	13	nn	_	_
13	Indiana	_	NNP	NNP	_	11	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	we	_	PRP	PRP	_	13	appos	_	_
16	considered	_	VBN	VBN	_	15	vmod	_	_
17	taking	_	VBG	VBG	_	16	xcomp	_	_
18	the	_	DT	DT	_	20	det	_	_
19	Tri-State	_	JJ	JJ	_	20	amod	_	_
20	Bus	_	NN	NN	_	17	dobj	_	_
21	to	_	TO	TO	_	17	prep	_	_
22	and	_	CC	CC	_	21	cc	_	_
23	from	_	IN	IN	_	21	conj	_	_
24	the	_	DT	DT	_	25	det	_	_
25	airport	_	NN	NN	_	21	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	However	_	RB	RB	_	6	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	this	_	DT	DT	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	rather	_	RB	RB	_	6	advmod	_	_
6	costly	_	JJ	JJ	_	0	root	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	family	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	four	_	CD	CD	_	10	pobj	_	_
12	and	_	CC	CC	_	6	cc	_	_
13	their	_	PRP$	PRP$	_	14	poss	_	_
14	schedule	_	NN	NN	_	20	nsubj	_	_
15	for	_	IN	IN	_	14	prep	_	_
16	tansportation	_	NN	NN	_	15	pobj	_	_
17	does	_	VBZ	VBZ	_	20	aux	_	_
18	n't	_	RB	RB	_	20	neg	_	_
19	always	_	RB	RB	_	20	advmod	_	_
20	coincide	_	VB	VB	_	6	conj	_	_
21	with	_	IN	IN	_	20	prep	_	_
22	flight	_	NN	NN	_	23	nn	_	_
23	schedules	_	NNS	NNS	_	21	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Since	_	IN	IN	_	5	mark	_	_
2	our	_	PRP$	PRP$	_	3	poss	_	_
3	flight	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	aux	_	_
5	leaving	_	VBG	VBG	_	21	advcl	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	6am	_	CD	CD	_	6	pobj	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	our	_	PRP$	PRP$	_	11	poss	_	_
10	return	_	NN	NN	_	11	nn	_	_
11	flight	_	NN	NN	_	13	nsubjpass	_	_
12	was	_	VBD	VBD	_	13	auxpass	_	_
13	scheduled	_	VBN	VBN	_	5	conj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	land	_	VB	VB	_	13	xcomp	_	_
16	at	_	IN	IN	_	15	prep	_	_
17	11:45	_	CD	CD	_	18	num	_	_
18	pm	_	NN	NN	_	16	pobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	we	_	PRP	PRP	_	21	nsubj	_	_
21	decided	_	VBD	VBD	_	0	root	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	look	_	VB	VB	_	21	xcomp	_	_
24	into	_	IN	IN	_	23	prep	_	_
25	other	_	JJ	JJ	_	26	amod	_	_
26	options	_	NNS	NNS	_	24	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	After	_	IN	IN	_	19	prep	_	_
2	reading	_	VBG	VBG	_	1	pcomp	_	_
3	several	_	JJ	JJ	_	4	amod	_	_
4	reviews	_	NNS	NNS	_	2	dobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	seeing	_	VBG	VBG	_	2	conj	_	_
7	that	_	IN	IN	_	10	mark	_	_
8	we	_	PRP	PRP	_	10	nsubj	_	_
9	could	_	MD	MD	_	10	aux	_	_
10	get	_	VB	VB	_	6	ccomp	_	_
11	a	_	DT	DT	_	12	det	_	_
12	discount	_	NN	NN	_	10	dobj	_	_
13	for	_	IN	IN	_	12	prep	_	_
14	extended	_	JJ	JJ	_	16	amod	_	_
