1	Ok	_	UH	UH	_	5	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	just	_	RB	RB	_	5	advmod	_	_
5	feel	_	VBP	VBP	_	19	dep	_	_
6	if	_	IN	IN	_	9	mark	_	_
7	you	_	PRP	PRP	_	9	nsubj	_	_
8	're	_	VBP	VBP	_	9	aux	_	_
9	paying	_	VBG	VBG	_	5	advcl	_	_
10	well	_	RB	RB	_	9	advmod	_	_
11	over	_	IN	IN	_	9	prep	_	_
12	$	_	$	$	_	11	pobj	_	_
13	200	_	CD	CD	_	12	num	_	_
14	for	_	IN	IN	_	12	prep	_	_
15	a	_	DT	DT	_	16	det	_	_
16	room	_	NN	NN	_	14	pobj	_	_
17	you	_	PRP	PRP	_	19	nsubj	_	_
18	should	_	MD	MD	_	19	aux	_	_
19	get	_	VB	VB	_	0	root	_	_
20	something	_	NN	NN	_	19	dobj	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	show	_	VB	VB	_	19	vmod	_	_
23	for	_	IN	IN	_	22	prep	_	_
24	it	_	PRP	PRP	_	23	pobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	3	nsubj	_	_
3	was	_	VBD	VBD	_	0	root	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	Michigan	_	NNP	NNP	_	6	nn	_	_
6	Ave	_	NNP	NNP	_	4	pobj	_	_
7	but	_	CC	CC	_	3	cc	_	_
8	if	_	IN	IN	_	10	mark	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	pay	_	VBP	VBP	_	18	advcl	_	_
11	just	_	RB	RB	_	10	advmod	_	_
12	a	_	DT	DT	_	13	det	_	_
13	little	_	RB	RB	_	14	npadvmod	_	_
14	more	_	RBR	RBR	_	10	advmod	_	_
15	I	_	PRP	PRP	_	18	nsubj	_	_
16	could	_	MD	MD	_	18	aux	_	_
17	have	_	VB	VB	_	18	aux	_	_
18	had	_	VBN	VBN	_	3	conj	_	_
19	way	_	NN	NN	_	18	dobj	_	_
20	better	_	JJR	JJR	_	19	amod	_	_
21	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
22	Peninsula	_	NNP	NNP	_	27	nsubj	_	_
23	,	_	,	,	_	0	erased	_	_
24	Park	_	NNP	NNP	_	25	nn	_	_
25	Hyatt	_	NNP	NNP	_	22	appos	_	_
26	,	_	,	,	_	0	erased	_	_
27	shoot	_	VBP	VBP	_	20	dep	_	_
28	the	_	DT	DT	_	29	det	_	_
29	Omni	_	NNP	NNP	_	32	nsubj	_	_
30	was	_	VBD	VBD	_	32	cop	_	_
31	10x	_	RB	RB	_	32	advmod	_	_
32	better	_	JJR	JJR	_	27	ccomp	_	_
33	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
