1	5	_	CD	CD	_	2	num	_	_
2	stars	_	NNS	NNS	_	24	nsubj	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	Tammie	_	NNP	NNP	_	5	nn	_	_
5	!!!	_	NNP	NNP	_	3	pobj	_	_
6	Of	_	IN	IN	_	24	prep	_	_
7	all	_	PDT	PDT	_	11	predet	_	_
8	the	_	DT	DT	_	11	det	_	_
9	architectural	_	JJ	JJ	_	11	amod	_	_
10	boat	_	NN	NN	_	11	nn	_	_
11	tours	_	NNS	NNS	_	6	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	hop-on-hop-off	_	JJ	JJ	_	14	amod	_	_
14	tours	_	NNS	NNS	_	11	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	lake	_	NN	NN	_	17	nn	_	_
17	cruises	_	NNS	NNS	_	11	conj	_	_
18	,	_	,	,	_	0	erased	_	_
19	walking	_	NN	NN	_	20	nn	_	_
20	tours	_	NNS	NNS	_	11	conj	_	_
21	and	_	CC	CC	_	11	cc	_	_
22	now	_	RB	RB	_	23	advmod	_	_
23	Segway	_	NNP	NNP	_	11	conj	_	_
24	tours	_	VBZ	VBZ	_	31	ccomp	_	_
25	we	_	PRP	PRP	_	27	nsubj	_	_
26	have	_	VBP	VBP	_	27	aux	_	_
27	taken	_	VBN	VBN	_	24	ccomp	_	_
28	,	_	,	,	_	0	erased	_	_
29	I	_	PRP	PRP	_	31	nsubj	_	_
30	can	_	MD	MD	_	31	aux	_	_
31	say	_	VB	VB	_	0	root	_	_
32	that	_	IN	IN	_	38	mark	_	_
33	this	_	DT	DT	_	38	nsubj	_	_
34	is	_	VBZ	VBZ	_	38	cop	_	_
35	the	_	DT	DT	_	38	det	_	_
36	most	_	JJS	JJS	_	38	amod	_	_
37	fun	_	NN	NN	_	38	nn	_	_
38	way	_	NN	NN	_	31	ccomp	_	_
39	to	_	TO	TO	_	38	prep	_	_
40	tour	_	NN	NN	_	41	nn	_	_
41	parts	_	NNS	NNS	_	39	pobj	_	_
42	of	_	IN	IN	_	41	prep	_	_
43	downtown	_	JJ	JJ	_	44	amod	_	_
44	Chicago	_	NNP	NNP	_	42	pobj	_	_
45	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	were	_	VBD	VBD	_	3	aux	_	_
3	looking	_	VBG	VBG	_	0	root	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	6	det	_	_
6	tour	_	NN	NN	_	4	pobj	_	_
7	that	_	IN	IN	_	12	mark	_	_
8	our	_	PRP$	PRP$	_	10	poss	_	_
9	teenage	_	JJ	JJ	_	10	amod	_	_
10	son	_	NN	NN	_	12	nsubj	_	_
11	would	_	MD	MD	_	12	aux	_	_
12	enjoy	_	VB	VB	_	3	ccomp	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	that	_	WDT	WDT	_	16	nsubj	_	_
15	would	_	MD	MD	_	16	aux	_	_
16	show	_	VB	VB	_	12	conj	_	_
17	us	_	PRP	PRP	_	18	nsubj	_	_
18	parts	_	NNS	NNS	_	16	xcomp	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	21	det	_	_
21	city	_	NN	NN	_	19	pobj	_	_
22	that	_	IN	IN	_	26	mark	_	_
23	we	_	PRP	PRP	_	26	nsubj	_	_
24	had	_	VBD	VBD	_	26	aux	_	_
25	never	_	RB	RB	_	26	neg	_	_
26	seen	_	VBN	VBN	_	16	ccomp	_	_
27	and	_	CC	CC	_	3	cc	_	_
28	this	_	DT	DT	_	29	det	_	_
29	tour	_	NN	NN	_	33	nsubj	_	_
30	was	_	VBD	VBD	_	33	cop	_	_
31	the	_	DT	DT	_	33	det	_	_
32	perfect	_	JJ	JJ	_	33	amod	_	_
33	choice	_	NN	NN	_	3	conj	_	_
34	.	_	.	.	_	0	erased	_	_

1	All	_	DT	DT	_	2	nsubj	_	_
2	depends	_	VBZ	VBZ	_	0	root	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	your	_	PRP$	PRP$	_	5	poss	_	_
5	guide	_	NN	NN	_	3	pobj	_	_
6	though	_	RB	RB	_	2	advmod	_	_
7	.	_	.	.	_	0	erased	_	_

1	Tammie	_	NNP	NNP	_	2	nsubj	_	_
2	rocked	_	VBD	VBD	_	34	dep	_	_
3	it	_	PRP	PRP	_	11	nsubj	_	_
4	-	_	:	:	_	0	erased	_	_
5	did	_	VBD	VBD	_	7	aux	_	_
6	n't	_	RB	RB	_	7	neg	_	_
7	waste	_	VB	VB	_	11	parataxis	_	_
8	any	_	DT	DT	_	9	det	_	_
9	time	_	NN	NN	_	7	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	took	_	VBD	VBD	_	2	dep	_	_
12	us	_	PRP	PRP	_	11	dobj	_	_
