1	My	_	PRP$	PRP$	_	2	poss	_	_
2	family	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	went	_	VBD	VBD	_	0	root	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	boat	_	NN	NN	_	9	nn	_	_
9	ride	_	NN	NN	_	6	pobj	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	Firework	_	NNP	NNP	_	13	nn	_	_
13	show	_	NN	NN	_	10	pobj	_	_
14	last	_	JJ	JJ	_	15	amod	_	_
15	night	_	NN	NN	_	5	tmod	_	_
16	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	beautiful	_	JJ	JJ	_	0	root	_	_
4	seeing	_	VBG	VBG	_	3	dep	_	_
5	the	_	DT	DT	_	7	det	_	_
6	Chicago	_	NNP	NNP	_	7	nn	_	_
7	skyline	_	NN	NN	_	4	dobj	_	_
8	from	_	IN	IN	_	4	prep	_	_
9	Lake	_	NNP	NNP	_	10	nn	_	_
10	Michigan	_	NNP	NNP	_	8	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	n't	_	RB	RB	_	5	neg	_	_
4	too	_	RB	RB	_	5	advmod	_	_
5	happy	_	JJ	JJ	_	0	root	_	_
6	that	_	IN	IN	_	10	mark	_	_
7	all	_	DT	DT	_	10	nsubj	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	did	_	VBD	VBD	_	7	rcmod	_	_
10	was	_	VBD	VBD	_	5	ccomp	_	_
11	sit	_	VB	VB	_	10	ccomp	_	_
12	,	_	,	,	_	0	erased	_	_
13	listen	_	VB	VB	_	11	conj	_	_
14	to	_	TO	TO	_	13	prep	_	_
15	music	_	NN	NN	_	14	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	and	_	CC	CC	_	11	cc	_	_
18	see	_	VB	VB	_	11	conj	_	_
19	the	_	DT	DT	_	21	det	_	_
20	city	_	NN	NN	_	21	nn	_	_
21	skyline	_	NN	NN	_	18	dobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	ticket	_	NN	NN	_	4	nn	_	_
3	booth	_	NN	NN	_	4	nn	_	_
4	lady	_	NN	NN	_	5	nsubj	_	_
5	told	_	VBD	VBD	_	0	root	_	_
6	me	_	PRP	PRP	_	5	dobj	_	_
7	we	_	PRP	PRP	_	9	nsubj	_	_
8	would	_	MD	MD	_	9	aux	_	_
9	go	_	VB	VB	_	5	dep	_	_
10	down	_	RP	RP	_	9	prt	_	_
11	the	_	DT	DT	_	13	det	_	_
12	river	_	NN	NN	_	13	nn	_	_
13	talk	_	NN	NN	_	9	dobj	_	_
14	a	_	DT	DT	_	16	det	_	_
15	little	_	JJ	JJ	_	16	amod	_	_
16	bit	_	NN	NN	_	13	dep	_	_
17	about	_	IN	IN	_	9	prep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	buildings	_	NNS	NNS	_	17	pobj	_	_
20	and	_	CC	CC	_	9	cc	_	_
21	then	_	RB	RB	_	22	advmod	_	_
22	go	_	VB	VB	_	9	conj	_	_
23	out	_	RP	RP	_	22	prt	_	_
24	on	_	IN	IN	_	22	prep	_	_
25	the	_	DT	DT	_	26	det	_	_
26	lake	_	NN	NN	_	24	pobj	_	_
27	to	_	TO	TO	_	28	aux	_	_
28	view	_	VB	VB	_	26	vmod	_	_
29	the	_	DT	DT	_	30	det	_	_
30	skyline	_	NN	NN	_	28	dobj	_	_
31	and	_	CC	CC	_	30	cc	_	_
32	fireworks	_	NNS	NNS	_	30	conj	_	_
33	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	admit	_	VB	VB	_	2	xcomp	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	8	det	_	_
7	firework	_	NN	NN	_	8	nn	_	_
8	show	_	NN	NN	_	14	nsubj	_	_
9	from	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	boat	_	NN	NN	_	9	pobj	_	_
12	is	_	VBZ	VBZ	_	14	cop	_	_
13	amazing	_	JJ	JJ	_	14	amod	_	_
14	!!!	_	NNS	NNS	_	4	ccomp	_	_

